사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2022010600100027,2022년 1월 6일 05시,목요일,경기도 부천시 삼정동,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 교량,승합,남,52세,상해없음,승용,여,34세,경상
2022010700100636,2022년 1월 7일 23시,금요일,경기도 부천시 오정동,경상사고,0,0,1,0,차대차 - 측면충돌,차로위반,건조,맑음,단일로 - 교량,승용,남,47세,상해없음,승용,남,35세,경상
2022010900100260,2022년 1월 9일 19시,일요일,인천광역시 부평구 삼산동,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,건조,맑음,기타 - 기타,승용,남,45세,상해없음,승용,남,50세,상해없음
2022011100100156,2022년 1월 11일 10시,화요일,경기도 부천시 내동,경상사고,0,0,1,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 교량,승용,여,25세,상해없음,승용,여,38세,경상
2022011200100062,2022년 1월 12일 07시,수요일,인천광역시 부평구 청천동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 교량,승합,남,64세,상해없음,화물,남,39세,경상
2022011300100093,2022년 1월 13일 08시,목요일,경기도 부천시 내동,경상사고,0,0,2,0,차대차 - 기타,안전거리미확보,건조,맑음,기타 - 기타,승용,여,64세,경상,화물,남,62세,경상
2022011700100035,2022년 1월 17일 06시,월요일,경기도 부천시 고강동,중상사고,0,1,2,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 교량,화물,남,63세,상해없음,승용,남,62세,중상
2022011800100492,2022년 1월 18일 18시,화요일,경기도 부천시 내동,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,건조,맑음,기타 - 기타,승용,남,26세,상해없음,승용,여,34세,경상
2022011800100639,2022년 1월 18일 22시,화요일,경기도 부천시 삼정동,경상사고,0,0,7,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 기타,승합,남,30세,상해없음,승용,여,34세,경상
2022011900100066,2022년 1월 19일 07시,수요일,경기도 부천시 내동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,53세,상해없음,승용,남,38세,경상
2022011900100067,2022년 1월 19일 07시,수요일,서울특별시 양천구 신월동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,화물,남,40세,상해없음,승용,남,36세,경상
2022012000100540,2022년 1월 20일 21시,목요일,경기도 부천시 내동,중상사고,0,1,2,2,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,58세,상해없음,승용,남,59세,경상
2022012100100080,2022년 1월 21일 07시,금요일,인천광역시 부평구 청천동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,50세,상해없음,승용,남,55세,경상
2022012600100506,2022년 1월 26일 20시,수요일,인천광역시 부평구 청천동,경상사고,0,0,1,1,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,56세,상해없음,승용,남,41세,경상
2022021200100022,2022년 2월 12일 02시,토요일,경기도 부천시 삼정동,경상사고,0,0,1,0,차대차 - 측면충돌,기타,건조,맑음,단일로 - 기타,승용,남,31세,상해없음,승용,남,26세,경상
2022021300100308,2022년 2월 13일 21시,일요일,경기도 부천시 내동,중상사고,0,1,2,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 교량,승용,남,57세,상해없음,승용,여,31세,상해없음
2022022100100457,2022년 2월 21일 19시,월요일,인천광역시 부평구 청천동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,42세,상해없음,승용,남,60세,경상
2022022300100136,2022년 2월 23일 11시,수요일,인천광역시 부평구 삼산동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,32세,경상,승용,남,51세,상해없음
2022030500100421,2022년 3월 5일 21시,토요일,경기도 부천시 삼정동,경상사고,0,0,5,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 기타,승합,남,59세,상해없음,승용,여,28세,경상
2022032500100631,2022년 3월 25일 23시,금요일,경기도 부천시 내동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,젖음/습기,비,단일로 - 교량,승용,남,43세,상해없음,승용,여,52세,경상
2022040100100020,2022년 4월 1일 04시,금요일,인천광역시 부평구 청천동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,39세,상해없음,화물,남,56세,경상
2022040100100218,2022년 4월 1일 13시,금요일,인천광역시 부평구 청천동,경상사고,0,0,3,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 교량,화물,남,56세,상해없음,승용,남,32세,경상
2022040400100356,2022년 4월 4일 16시,월요일,경기도 부천시 고강동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,56세,상해없음,화물,남,60세,경상
2022040700100099,2022년 4월 7일 08시,목요일,인천광역시 계양구 효성동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,49세,상해없음,승용,남,34세,경상
2022041800100566,2022년 4월 18일 23시,월요일,인천광역시 부평구 청천동,경상사고,0,0,2,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 교량,승용,남,25세,상해없음,승용,남,22세,경상
2022042000100625,2022년 4월 20일 23시,수요일,인천광역시 계양구 서운동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,42세,상해없음,보행자,남,67세,중상
2022042300100079,2022년 4월 23일 07시,토요일,경기도 부천시 원종동,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,25세,상해없음,화물,남,53세,중상
2022042600100330,2022년 4월 26일 14시,화요일,인천광역시 계양구 효성동,경상사고,0,0,1,0,차대차 - 측면충돌,차로위반,건조,맑음,단일로 - 기타,화물,남,73세,상해없음,승용,남,23세,경상
