사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2022020200100151,2022년 2월 2일 15시,수요일,경상북도 고령군 개진면,경상사고,0,0,3,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 교량,승용,남,54세,상해없음,승용,남,66세,상해없음
2022022400100203,2022년 2월 24일 12시,목요일,경상남도 거창군 가조면,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,66세,상해없음,승용,남,47세,중상
2022030100100188,2022년 3월 1일 15시,화요일,전라북도 순창군 금과면,사망사고,1,1,1,0,차량단독 - 공작물충돌,기타,건조,맑음,단일로 - 기타,승용,여,21세,경상,,,,
2022031000100133,2022년 3월 10일 10시,목요일,전라남도 담양군 담양읍,경상사고,0,0,3,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 터널,승용,남,62세,경상,승용,여,47세,경상
2022031400100149,2022년 3월 14일 11시,월요일,전라남도 담양군 봉산면,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,젖음/습기,흐림,단일로 - 기타,승용,남,50세,상해없음,보행자,남,36세,중상
2022031400100180,2022년 3월 14일 12시,월요일,전라남도 담양군 봉산면,중상사고,0,1,1,0,차대차 - 추돌,기타,건조,맑음,단일로 - 기타,승용,여,42세,경상,화물,남,48세,중상
2022050700100233,2022년 5월 7일 13시,토요일,경상남도 함양군 지곡면,경상사고,0,0,2,0,차대차 - 기타,기타,건조,맑음,단일로 - 기타,특수,남,62세,상해없음,승용,남,49세,경상
2022052200100310,2022년 5월 22일 16시,일요일,경상북도 고령군 성산면,중상사고,0,1,5,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,39세,중상,승용,남,41세,상해없음
2022060900100275,2022년 6월 9일 14시,목요일,경상남도 거창군 가조면,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,18세,상해없음,화물,남,54세,경상
2022061500100572,2022년 6월 15일 22시,수요일,경상남도 거창군 남상면,사망사고,2,1,1,1,차대차 - 기타,기타,건조,맑음,단일로 - 기타,승용,남,44세,상해없음,화물,남,61세,사망
2022071100100103,2022년 7월 11일 08시,월요일,경상남도 거창군 남상면,경상사고,0,0,2,0,차대차 - 기타,안전운전불이행,젖음/습기,비,단일로 - 기타,승용,여,58세,상해없음,승용,여,50세,경상
2022072200100319,2022년 7월 22일 14시,금요일,경상남도 거창군 남상면,중상사고,0,1,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,56세,중상,승용,남,70세,경상
2022073100100306,2022년 7월 31일 17시,일요일,경상남도 함양군 함양읍,경상사고,0,0,2,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,29세,상해없음,승용,남,58세,경상
2022082400100570,2022년 8월 24일 21시,수요일,경상남도 거창군 가조면,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,21세,상해없음,화물,남,51세,경상
2022082800100328,2022년 8월 28일 16시,일요일,경상남도 함양군 병곡면,경상사고,0,0,2,0,차대차 - 기타,신호위반,건조,맑음,단일로 - 터널,승용,남,34세,상해없음,승용,남,54세,경상
2022111000100426,2022년 11월 10일 17시,목요일,대구광역시 달성군 옥포읍,경상사고,0,0,2,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,62세,상해없음,승용,남,37세,경상
2022112500100133,2022년 11월 25일 09시,금요일,경상남도 함양군 수동면,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,44세,상해없음,화물,남,58세,중상
2022120500100076,2022년 12월 5일 08시,월요일,경상북도 고령군 성산면,경상사고,0,0,1,0,차량단독 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,47세,경상,,,,
2022121100100130,2022년 12월 11일 11시,일요일,경상남도 거창군 남하면,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,23세,상해없음,승용,여,63세,중상
