사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2022010900100106,2022년 1월 9일 12시,일요일,경기도 여주시 대신면,중상사고,0,1,4,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 교량,승용,남,24세,상해없음,승용,남,64세,경상
2022011300100504,2022년 1월 13일 20시,목요일,경기도 여주시 대신면,경상사고,0,0,3,0,차대사람 - 기타,신호위반,건조,맑음,단일로 - 기타,승용,남,60세,상해없음,보행자,남,46세,경상
2022021100100008,2022년 2월 11일 00시,금요일,경기도 양평군 양동면,중상사고,0,2,1,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 기타,화물,남,47세,상해없음,승용,남,72세,상해없음
2022022200100307,2022년 2월 22일 16시,화요일,경기도 광주시 곤지암읍,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 터널,화물,남,49세,경상,화물,남,47세,경상
2022022800100342,2022년 2월 28일 16시,월요일,경기도 광주시 곤지암읍,경상사고,0,0,2,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,59세,상해없음,화물,남,51세,경상
2022031100100254,2022년 3월 11일 14시,금요일,경기도 광주시 곤지암읍,경상사고,0,0,3,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,42세,상해없음,승용,남,61세,상해없음
2022031100100285,2022년 3월 11일 15시,금요일,경기도 광주시 곤지암읍,중상사고,0,1,5,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,43세,상해없음,화물,남,24세,경상
2022032500100225,2022년 3월 25일 14시,금요일,강원도 원주시 지정면,경상사고,0,0,2,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 터널,승용,남,29세,상해없음,승용,남,38세,경상
2022032500100261,2022년 3월 25일 15시,금요일,강원도 원주시 지정면,중상사고,0,1,0,0,차대차 - 추돌,차로위반,건조,맑음,단일로 - 기타,승용,여,39세,상해없음,화물,남,51세,중상
2022041300100035,2022년 4월 13일 05시,수요일,경기도 여주시 금사면,부상신고사고,0,0,0,1,차대차 - 기타,안전운전불이행,젖음/습기,비,단일로 - 기타,승용,남,51세,부상신고,화물,남,31세,상해없음
2022041700100025,2022년 4월 17일 00시,일요일,경기도 광주시 곤지암읍,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,27세,상해없음,승합,남,49세,상해없음
2022042400100295,2022년 4월 24일 16시,일요일,경기도 광주시 곤지암읍,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,38세,상해없음,승용,남,56세,경상
2022050700100110,2022년 5월 7일 10시,토요일,강원도 원주시 지정면,경상사고,0,0,1,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 터널,승용,남,51세,상해없음,승용,남,47세,경상
2022050800100190,2022년 5월 8일 13시,일요일,강원도 원주시 지정면,경상사고,0,0,5,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 터널,승용,남,41세,상해없음,승용,남,42세,경상
2022050800100275,2022년 5월 8일 15시,일요일,경기도 여주시 흥천면,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,승합,남,55세,상해없음,승용,여,49세,경상
2022053100100364,2022년 5월 31일 14시,화요일,경기도 여주시 금사면,경상사고,0,0,8,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 터널,승용,남,66세,상해없음,승용,남,57세,상해없음
2022060500100380,2022년 6월 5일 20시,일요일,경기도 광주시 초월읍,경상사고,0,0,3,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,26세,상해없음,승용,남,46세,경상
2022060900100072,2022년 6월 9일 07시,목요일,경기도 여주시 대신면,중상사고,0,1,0,0,차대차 - 기타,기타,건조,맑음,단일로 - 기타,승용,남,41세,중상,승합,남,55세,상해없음
2022062500100177,2022년 6월 25일 10시,토요일,경기도 여주시 대신면,경상사고,0,0,2,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,65세,상해없음,승용,남,47세,경상
2022062700100340,2022년 6월 27일 15시,월요일,경기도 광주시 곤지암읍,경상사고,0,0,2,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,33세,상해없음,승용,남,28세,경상
2022063000100106,2022년 6월 30일 07시,목요일,경기도 여주시 북내면,중상사고,0,5,2,0,차대차 - 기타,안전운전불이행,젖음/습기,비,단일로 - 기타,승용,남,64세,중상,승용,여,51세,상해없음
2022071400100263,2022년 7월 14일 12시,목요일,경기도 광주시 초월읍,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,여,51세,상해없음,승용,남,34세,경상
2022071400100470,2022년 7월 14일 17시,목요일,경기도 광주시 곤지암읍,경상사고,0,0,2,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,주차장 - 주차장,승용,남,43세,상해없음,승용,여,18세,경상
2022071800100391,2022년 7월 18일 16시,월요일,경기도 광주시 곤지암읍,중상사고,0,1,7,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 터널,승용,남,35세,경상,승용,남,43세,상해없음
2022072200100042,2022년 7월 22일 04시,금요일,경기도 여주시 대신면,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,젖음/습기,비,단일로 - 기타,특수,남,73세,중상,승용,남,40세,상해없음
2022072500100473,2022년 7월 25일 18시,월요일,강원도 원주시 지정면,중상사고,0,2,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 터널,승용,남,29세,상해없음,승합,남,56세,경상
2022080200100194,2022년 8월 2일 11시,화요일,경기도 여주시 금사면,경상사고,0,0,6,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,58세,상해없음,승용,남,69세,경상
2022080500100038,2022년 8월 5일 04시,금요일,경기도 광주시 초월읍,경상사고,0,0,3,0,차량단독 - 공작물충돌,기타,건조,맑음,단일로 - 기타,승합,남,45세,상해없음,,,,
2022083100100403,2022년 8월 31일 17시,수요일,경기도 양평군 양동면,사망사고,1,0,0,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,특수,남,51세,상해없음,승용,남,51세,사망
2022090200100523,2022년 9월 2일 17시,금요일,경기도 광주시 곤지암읍,경상사고,0,0,5,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,45세,상해없음,승용,남,44세,상해없음
2022091600100194,2022년 9월 16일 10시,금요일,경기도 광주시 곤지암읍,중상사고,0,1,5,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 터널,특수,남,49세,상해없음,승합,남,54세,경상
2022091800100065,2022년 9월 18일 09시,일요일,강원도 원주시 지정면,중상사고,0,1,1,0,차대차 - 추돌,기타,건조,맑음,단일로 - 기타,승용,남,78세,상해없음,승용,남,36세,경상
2022100400100516,2022년 10월 4일 20시,화요일,경기도 양평군 양동면,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,젖음/습기,비,단일로 - 기타,승용,여,43세,상해없음,승용,여,24세,경상
2022101600100209,2022년 10월 16일 13시,일요일,강원도 원주시 지정면,경상사고,0,0,5,1,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 터널,승용,남,34세,상해없음,승용,남,28세,부상신고
2022102900100122,2022년 10월 29일 09시,토요일,경기도 양평군 양동면,경상사고,0,0,8,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,23세,경상,승용,남,41세,경상
2022110600100129,2022년 11월 6일 10시,일요일,강원도 원주시 지정면,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,49세,상해없음,승용,남,42세,경상
2022110800100007,2022년 11월 8일 00시,화요일,경기도 광주시 초월읍,부상신고사고,0,0,0,1,차량단독 - 공작물충돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,70세,부상신고,,,,
2022111200100504,2022년 11월 12일 18시,토요일,경기도 여주시 금사면,경상사고,0,0,5,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,38세,경상,승용,남,56세,상해없음
2022112000100387,2022년 11월 20일 19시,일요일,경기도 양평군 양동면,중상사고,0,1,1,0,차대차 - 후진중충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,63세,상해없음,승용,남,39세,경상
