사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2022011600100102,2022년 1월 16일 11시,일요일,경기도 남양주시 별내면,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,건조,맑음,단일로 - 기타,승용,남,29세,상해없음,화물,남,24세,경상
2022011700100251,2022년 1월 17일 14시,월요일,경기도 구리시 교문동,중상사고,0,2,0,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,건설기계,남,71세,상해없음,승용,남,27세,중상
2022020100100090,2022년 2월 1일 12시,화요일,경기도 구리시 교문동,경상사고,0,0,3,0,차대차 - 추돌,안전거리미확보,젖음/습기,맑음,단일로 - 기타,승용,남,29세,상해없음,승용,남,44세,경상
2022021400100139,2022년 2월 14일 10시,월요일,경기도 구리시 교문동,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 터널,승용,남,22세,상해없음,화물,남,69세,경상
2022030200100474,2022년 3월 2일 19시,수요일,경기도 구리시 교문동,부상신고사고,0,0,0,1,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,43세,상해없음,화물,남,65세,부상신고
2022030500100391,2022년 3월 5일 19시,토요일,경기도 의정부시 산곡동,경상사고,0,0,2,0,차대차 - 기타,기타,건조,맑음,단일로 - 기타,화물,남,42세,상해없음,승용,여,40세,경상
2022032100100084,2022년 3월 21일 08시,월요일,서울특별시 중랑구 신내동,경상사고,0,0,1,0,차대차 - 기타,기타,건조,맑음,단일로 - 터널,화물,남,55세,상해없음,승용,남,36세,경상
2022032100100287,2022년 3월 21일 16시,월요일,서울특별시 중랑구 신내동,중상사고,0,2,1,0,차대차 - 측면충돌,신호위반,건조,맑음,단일로 - 기타,승용,남,24세,상해없음,승용,남,67세,경상
2022032400100231,2022년 3월 24일 14시,목요일,경기도 구리시 교문동,중상사고,0,2,0,0,차대차 - 기타,신호위반,건조,맑음,단일로 - 터널,승용,남,41세,상해없음,승용,여,56세,중상
2022032400100330,2022년 3월 24일 17시,목요일,경기도 의정부시 고산동,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,승용,여,29세,상해없음,승용,남,31세,경상
2022032800100265,2022년 3월 28일 14시,월요일,경기도 구리시 갈매동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,27세,상해없음,건설기계,남,46세,경상
2022042500100080,2022년 4월 25일 07시,월요일,경기도 포천시 소흘읍,경상사고,0,0,3,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,여,45세,상해없음,승용,여,28세,경상
2022042600100178,2022년 4월 26일 09시,화요일,경기도 구리시 교문동,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 터널,승용,남,59세,상해없음,화물,남,27세,중상
2022050500100397,2022년 5월 5일 17시,목요일,경기도 남양주시 별내면,부상신고사고,0,0,0,1,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,65세,부상신고,승용,기타불명,미분류,기타불명
2022050600100297,2022년 5월 6일 13시,금요일,경기도 구리시 아천동,경상사고,0,0,2,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 터널,승용,남,65세,상해없음,승용,남,34세,경상
2022050700100122,2022년 5월 7일 10시,토요일,서울특별시 중랑구 신내동,중상사고,0,1,0,0,차대차 - 추돌,기타,건조,맑음,단일로 - 기타,승용,여,65세,상해없음,승용,여,55세,중상
2022050800100110,2022년 5월 8일 10시,일요일,경기도 구리시 갈매동,경상사고,0,0,9,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,29세,상해없음,승용,여,31세,상해없음
2022051700100358,2022년 5월 17일 15시,화요일,경기도 구리시 토평동,부상신고사고,0,0,0,1,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,38세,상해없음,승용,남,43세,부상신고
2022052300100161,2022년 5월 23일 09시,월요일,경기도 포천시 군내면,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,특수,남,61세,상해없음,화물,남,43세,경상
2022053000100102,2022년 5월 30일 08시,월요일,경기도 구리시 교문동,경상사고,0,0,11,6,차대차 - 추돌,신호위반,건조,맑음,단일로 - 터널,화물,남,68세,상해없음,승용,남,56세,경상
2022060400100238,2022년 6월 4일 11시,토요일,경기도 포천시 군내면,경상사고,0,0,2,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,28세,상해없음,화물,남,28세,경상
2022063000100082,2022년 6월 30일 06시,목요일,경기도 남양주시 별내동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,젖음/습기,비,단일로 - 기타,승용,남,34세,상해없음,승용,남,33세,경상
2022070600100206,2022년 7월 6일 11시,수요일,경기도 남양주시 퇴계원읍,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,건설기계,남,43세,상해없음,승용,남,49세,중상
2022070700100411,2022년 7월 7일 16시,목요일,경기도 의정부시 고산동,경상사고,0,0,2,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,화물,남,59세,상해없음,승용,남,53세,경상
2022071800100121,2022년 7월 18일 08시,월요일,경기도 의정부시 민락동,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,기타불명,기타불명,미분류,기타불명,화물,남,65세,중상
2022072200100179,2022년 7월 22일 10시,금요일,경기도 포천시 군내면,경상사고,0,0,10,1,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,59세,상해없음,승합,남,54세,경상
2022072300100145,2022년 7월 23일 10시,토요일,경기도 남양주시 별내면,경상사고,0,0,4,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,44세,상해없음,승용,남,63세,경상
2022073000100115,2022년 7월 30일 08시,토요일,경기도 구리시 갈매동,경상사고,0,0,2,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,47세,경상,승용,남,52세,상해없음
2022080300100088,2022년 8월 3일 07시,수요일,경기도 구리시 교문동,중상사고,0,3,3,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 터널,화물,남,58세,상해없음,승용,여,62세,중상
2022082700100076,2022년 8월 27일 05시,토요일,경기도 양주시 회암동,경상사고,0,0,1,0,차량단독 - 공작물충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,30세,상해없음,,,,
2022090800100716,2022년 9월 8일 19시,목요일,경기도 의정부시 산곡동,경상사고,0,0,2,0,차대차 - 정면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,26세,경상,건설기계,남,71세,경상
2022091000100220,2022년 9월 10일 14시,토요일,경기도 의정부시 고산동,경상사고,0,0,3,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,47세,상해없음,승용,남,30세,경상
2022092400100627,2022년 9월 24일 22시,토요일,경기도 의정부시 산곡동,중상사고,0,1,1,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,43세,상해없음,승용,남,61세,경상
2022092600100135,2022년 9월 26일 08시,월요일,경기도 포천시 소흘읍,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,64세,상해없음,승용,남,29세,경상
2022092700100127,2022년 9월 27일 08시,화요일,경기도 구리시 교문동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,승합,남,55세,상해없음,승용,여,24세,경상
2022092800100570,2022년 9월 28일 21시,수요일,경기도 남양주시 퇴계원읍,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,58세,상해없음,화물,남,33세,경상
2022100300100076,2022년 10월 3일 07시,월요일,경기도 구리시 갈매동,경상사고,0,0,4,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,66세,경상,승용,남,39세,경상
2022100800100105,2022년 10월 8일 07시,토요일,경기도 구리시 갈매동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,22세,상해없음,승용,여,52세,경상
2022100800100645,2022년 10월 8일 22시,토요일,경기도 포천시 가산면,경상사고,0,0,2,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,41세,상해없음,승용,남,48세,경상
2022101300100214,2022년 10월 13일 10시,목요일,경기도 의정부시 민락동,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,44세,상해없음,승용,여,40세,중상
2022102800100088,2022년 10월 28일 07시,금요일,경기도 구리시 토평동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,31세,상해없음,승용,남,40세,경상
2022102900100526,2022년 10월 29일 19시,토요일,경기도 의정부시 산곡동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,52세,상해없음,화물,남,52세,경상
2022110600100114,2022년 11월 6일 09시,일요일,경기도 포천시 소흘읍,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,56세,상해없음,승합,남,53세,경상
2022110800100420,2022년 11월 8일 16시,화요일,경기도 포천시 소흘읍,경상사고,0,0,2,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,60세,상해없음,화물,남,58세,상해없음
2022111300100324,2022년 11월 13일 17시,일요일,경기도 구리시 교문동,중상사고,0,1,2,0,차대차 - 기타,신호위반,건조,맑음,단일로 - 터널,승용,남,54세,상해없음,승합,남,73세,상해없음
2022111400100053,2022년 11월 14일 06시,월요일,경기도 남양주시 퇴계원읍,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,기타,단일로 - 기타,승용,남,54세,상해없음,승용,여,30세,상해없음
2022111800100472,2022년 11월 18일 17시,금요일,경기도 구리시 교문동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,22세,상해없음,승용,남,25세,경상
2022112000100250,2022년 11월 20일 15시,일요일,경기도 의정부시 산곡동,경상사고,0,0,3,0,차대차 - 후진중충돌,안전운전불이행,건조,맑음,주차장 - 주차장,승용,남,48세,상해없음,승용,남,45세,경상
2022112300100123,2022년 11월 23일 09시,수요일,경기도 포천시 소흘읍,경상사고,0,0,1,0,차대차 - 기타,기타,건조,맑음,단일로 - 기타,화물,남,40세,상해없음,화물,남,41세,경상
2022112300100190,2022년 11월 23일 11시,수요일,경기도 포천시 군내면,중상사고,0,1,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,62세,상해없음,승용,남,34세,경상
2022112400100018,2022년 11월 24일 01시,목요일,경기도 남양주시 별내면,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,건조,맑음,단일로 - 교량,건설기계,남,42세,상해없음,승용,남,26세,경상
2022112400100447,2022년 11월 24일 17시,목요일,경기도 포천시 가산면,사망사고,1,0,0,1,차대차 - 추돌,안전거리미확보,건조,기타,단일로 - 기타,화물,남,46세,사망,화물,남,39세,부상신고
2022113000100109,2022년 11월 30일 08시,수요일,경기도 포천시 소흘읍,경상사고,0,0,2,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,42세,상해없음,승용,남,29세,경상
2022121100100286,2022년 12월 11일 16시,일요일,경기도 남양주시 별내면,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,31세,상해없음,화물,남,74세,경상
