사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2022030900100245,2022년 3월 9일 15시,수요일,경상남도 창원시 마산회원구 내서읍,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,60세,상해없음,화물,남,41세,경상
2022042700100152,2022년 4월 27일 09시,수요일,경상남도 창원시 마산회원구 구암동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,28세,상해없음,승용,여,44세,경상
2022051100100489,2022년 5월 11일 19시,수요일,경상남도 함안군 산인면,경상사고,0,0,2,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,63세,상해없음,승용,남,65세,경상
2022051900100216,2022년 5월 19일 11시,목요일,경상남도 창원시 의창구 동읍,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승합,남,65세,상해없음,승용,남,56세,경상
2022060200100064,2022년 6월 2일 07시,목요일,경상남도 창원시 마산회원구 회성동,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,기타불명,기타불명,미분류,기타불명,승용,남,49세,중상
2022090700100379,2022년 9월 7일 14시,수요일,경상남도 창원시 마산회원구 회성동,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,75세,중상,승용,여,57세,상해없음
2022091100100098,2022년 9월 11일 11시,일요일,경상남도 창원시 의창구 소계동,경상사고,0,0,2,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,39세,상해없음,승용,여,41세,경상
2022091200100026,2022년 9월 12일 01시,월요일,경상남도 창원시 마산회원구 구암동,중상사고,0,2,0,0,차대차 - 기타,중앙선침범,건조,맑음,단일로 - 기타,승용,남,29세,중상,승용,남,29세,중상
2022101300100370,2022년 10월 13일 15시,목요일,경상남도 함안군 산인면,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,55세,경상,화물,남,50세,경상
2022102900100115,2022년 10월 29일 09시,토요일,경상남도 창원시 마산회원구 내서읍,경상사고,0,0,2,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,42세,상해없음,승용,남,52세,경상
2022120800100386,2022년 12월 8일 15시,목요일,경상남도 창원시 마산회원구 회원동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,64세,상해없음,화물,남,32세,경상
