사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2022021100100017,2022년 2월 11일 04시,금요일,부산광역시 강서구 봉림동,경상사고,0,0,2,4,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,특수,남,39세,상해없음,승용,남,21세,부상신고
2022033100100011,2022년 3월 31일 01시,목요일,부산광역시 강서구 대저2동,경상사고,0,0,1,0,차대차 - 기타,차로위반,건조,맑음,단일로 - 기타,특수,남,41세,상해없음,승용,남,50세,경상
2022051800100066,2022년 5월 18일 07시,수요일,부산광역시 강서구 대저2동,경상사고,0,0,1,0,차대차 - 기타,신호위반,건조,맑음,교차로 - 교차로안,승용,남,54세,상해없음,화물,남,62세,경상
2022062200100294,2022년 6월 22일 14시,수요일,경상남도 김해시 삼문동,중상사고,0,2,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,58세,중상,승용,남,35세,경상
2022062700100090,2022년 6월 27일 08시,월요일,경상남도 김해시 삼문동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,젖음/습기,비,단일로 - 기타,화물,남,50세,상해없음,승용,여,32세,경상
2022072600100475,2022년 7월 26일 18시,화요일,부산광역시 강서구 봉림동,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,승용,여,43세,상해없음,특수,남,58세,경상
2022080100100285,2022년 8월 1일 15시,월요일,부산광역시 강서구 강동동,경상사고,0,0,2,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 기타,화물,남,54세,상해없음,승용,여,50세,경상
2022090300100544,2022년 9월 3일 20시,토요일,부산광역시 강서구 대저1동,중상사고,0,1,1,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,승용,여,47세,상해없음,승용,남,39세,중상
2022111100100337,2022년 11월 11일 15시,금요일,부산광역시 강서구 대저1동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,건조,맑음,단일로 - 기타,승용,남,62세,상해없음,승합,남,52세,경상
2022112400100369,2022년 11월 24일 16시,목요일,경상남도 김해시 삼문동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,27세,상해없음,승용,남,24세,경상
