사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2022010100100153,2022년 1월 1일 14시,토요일,부산광역시 기장군 기장읍,경상사고,0,0,6,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,25세,상해없음,승용,남,57세,상해없음
2022010200100070,2022년 1월 2일 11시,일요일,강원도 양양군 서면,경상사고,0,0,2,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,66세,상해없음,승용,남,44세,경상
2022010400100497,2022년 1월 4일 21시,화요일,울산광역시 울주군 온양읍,중상사고,0,1,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,66세,상해없음,승합,남,44세,중상
2022010600100257,2022년 1월 6일 14시,목요일,강원도 양양군 강현면,경상사고,0,0,2,0,차대차 - 기타,차로위반,건조,맑음,단일로 - 기타,승용,여,44세,상해없음,승용,남,57세,경상
2022011900100367,2022년 1월 19일 18시,수요일,강원도 강릉시 주문진읍,사망사고,1,1,1,0,차대차 - 추돌,안전거리미확보,젖음/습기,흐림,단일로 - 기타,화물,남,54세,중상,화물,남,62세,경상
2022011900100368,2022년 1월 19일 18시,수요일,강원도 강릉시 사천면,중상사고,0,1,2,1,차대차 - 추돌,안전거리미확보,젖음/습기,비,단일로 - 기타,승용,남,41세,상해없음,승용,남,40세,경상
2022013000100094,2022년 1월 30일 12시,일요일,강원도 강릉시 성산면,부상신고사고,0,0,0,3,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,54세,상해없음,승용,남,28세,부상신고
2022013000100120,2022년 1월 30일 13시,일요일,강원도 양양군 현남면,경상사고,0,0,4,0,차대차 - 측면충돌,신호위반,건조,맑음,단일로 - 터널,승용,남,23세,상해없음,승용,남,44세,경상
2022020400100245,2022년 2월 4일 15시,금요일,경상북도 경주시 외동읍,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,건설기계,남,42세,상해없음,승용,남,81세,경상
2022020500100090,2022년 2월 5일 11시,토요일,강원도 강릉시 성산면,경상사고,0,0,2,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,57세,상해없음,화물,여,54세,경상
2022021100100420,2022년 2월 11일 19시,금요일,강원도 강릉시 성산면,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,62세,상해없음,승용,여,48세,상해없음
2022021200100243,2022년 2월 12일 16시,토요일,부산광역시 기장군 기장읍,경상사고,0,0,3,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,22세,상해없음,승용,남,51세,경상
2022021400100179,2022년 2월 14일 12시,월요일,부산광역시 기장군 일광면,경상사고,0,0,4,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 기타,화물,남,47세,상해없음,승용,남,58세,경상
2022021700100091,2022년 2월 17일 09시,목요일,울산광역시 중구 다운동,경상사고,0,0,2,0,차대차 - 추돌,신호위반,건조,맑음,단일로 - 기타,화물,남,58세,경상,승용,여,34세,경상
2022022100100292,2022년 2월 21일 15시,월요일,강원도 강릉시 주문진읍,중상사고,0,2,0,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,53세,상해없음,승용,남,31세,중상
