사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2022012700100517,2022년 1월 27일 21시,목요일,광주광역시 광산구 대산동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,25세,상해없음,화물,남,52세,경상
2022030500100295,2022년 3월 5일 16시,토요일,광주광역시 광산구 운수동,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,61세,상해없음,승용,여,43세,상해없음
2022030800100356,2022년 3월 8일 18시,화요일,전라남도 나주시 문평면,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,29세,상해없음,승용,여,33세,경상
2022033100100443,2022년 3월 31일 21시,목요일,전라남도 나주시 노안면,중상사고,0,2,0,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,48세,중상,승용,여,58세,중상
2022070300100437,2022년 7월 3일 21시,일요일,전라남도 함평군 엄다면,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,건조,맑음,단일로 - 기타,승용,남,50세,상해없음,승용,남,28세,경상
2022071400100054,2022년 7월 14일 05시,목요일,전라남도 나주시 노안면,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,젖음/습기,비,단일로 - 터널,승용,남,51세,상해없음,화물,남,31세,경상
2022072900100588,2022년 7월 29일 21시,금요일,광주광역시 광산구 지죽동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,기타 - 기타,승용,남,36세,기타불명,승용,여,58세,경상
2022073000100265,2022년 7월 30일 13시,토요일,전라남도 나주시 문평면,경상사고,0,0,3,0,차대차 - 기타,안전거리미확보,기타,비,단일로 - 기타,승용,남,65세,상해없음,승용,남,32세,경상
2022080900100281,2022년 8월 9일 15시,화요일,전라남도 나주시 문평면,중상사고,0,1,5,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,51세,경상,화물,남,50세,중상
2022090900100482,2022년 9월 9일 21시,금요일,전라남도 함평군 엄다면,경상사고,0,0,4,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,27세,상해없음,승용,남,28세,경상
2022092300100411,2022년 9월 23일 16시,금요일,전라남도 나주시 노안면,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 교량,화물,남,58세,상해없음,화물,남,54세,경상
2022101200100127,2022년 10월 12일 08시,수요일,전라남도 나주시 문평면,경상사고,0,0,3,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,53세,경상,승용,남,50세,상해없음
2022120900100070,2022년 12월 9일 07시,금요일,전라남도 나주시 문평면,중상사고,0,1,0,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,승용,여,19세,상해없음,화물,남,58세,중상
2022121500100034,2022년 12월 15일 03시,목요일,전라남도 나주시 문평면,중상사고,0,1,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,43세,경상,화물,남,66세,중상
