사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2022011100100489,2022년 1월 11일 20시,화요일,부산광역시 금정구 두구동,경상사고,0,0,3,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 기타,화물,남,30세,상해없음,승용,남,55세,경상
2022011400100394,2022년 1월 14일 17시,금요일,경상남도 양산시 동면,중상사고,0,2,5,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,여,53세,상해없음,승용,남,29세,중상
2022020400100489,2022년 2월 4일 22시,금요일,경상남도 김해시 진영읍,경상사고,0,0,1,0,차량단독 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,30세,상해없음,,,,
2022020500100377,2022년 2월 5일 22시,토요일,부산광역시 금정구 두구동,경상사고,0,0,2,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,화물,남,53세,상해없음,승용,여,19세,경상
2022021900100253,2022년 2월 19일 16시,토요일,경상남도 김해시 진영읍,경상사고,0,0,2,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 터널,승용,남,55세,기타불명,승용,여,63세,경상
2022022200100107,2022년 2월 22일 10시,화요일,경상남도 김해시 대동면,부상신고사고,0,0,0,1,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,37세,부상신고,화물,남,51세,기타불명
2022031100100055,2022년 3월 11일 07시,금요일,경상남도 김해시 진영읍,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,기타 - 기타,승용,남,31세,상해없음,승용,남,32세,경상
2022032600100156,2022년 3월 26일 12시,토요일,경상남도 김해시 대동면,경상사고,0,0,1,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,22세,상해없음,승용,남,26세,경상
2022032700100182,2022년 3월 27일 15시,일요일,부산광역시 기장군 일광면,경상사고,0,0,2,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 기타,승합,남,62세,상해없음,승용,여,44세,경상
2022040700100009,2022년 4월 7일 00시,목요일,부산광역시 금정구 노포동,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,63세,상해없음,화물,남,54세,중상
2022041000100168,2022년 4월 10일 13시,일요일,부산광역시 금정구 노포동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,54세,상해없음,승용,남,23세,경상
