사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2022011400100018,2022년 1월 14일 02시,금요일,경상북도 군위군 효령면,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,49세,상해없음,승용,여,59세,경상
2022011400100471,2022년 1월 14일 18시,금요일,경상북도 군위군 소보면,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,64세,상해없음,승용,여,25세,경상
2022011500100084,2022년 1월 15일 09시,토요일,경상북도 군위군 소보면,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,48세,상해없음,승용,남,34세,경상
2022012500100472,2022년 1월 25일 20시,화요일,경상북도 영천시 신녕면,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,50세,상해없음,화물,남,62세,경상
2022012900100188,2022년 1월 29일 13시,토요일,경상북도 영천시 신녕면,경상사고,0,0,6,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,기타불명,미분류,기타불명,승용,남,30세,경상
2022022000100037,2022년 2월 20일 07시,일요일,경상북도 구미시 도개면,사망사고,1,0,0,0,차량단독 - 공작물충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,60세,사망,,,,
2022030200100336,2022년 3월 2일 16시,수요일,경상북도 군위군 효령면,중상사고,0,1,0,0,차대차 - 기타,기타,건조,맑음,단일로 - 기타,화물,남,62세,상해없음,승용,남,48세,중상
2022030200100458,2022년 3월 2일 19시,수요일,경상북도 영천시 화산면,사망사고,1,1,0,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,특수,남,54세,중상,화물,남,66세,사망
2022031500100240,2022년 3월 15일 14시,화요일,경상북도 군위군 산성면,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,건설기계,남,43세,상해없음,승용,남,35세,경상
2022032200100266,2022년 3월 22일 16시,화요일,경상북도 군위군 산성면,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,55세,상해없음,승용,여,51세,중상
2022032200100432,2022년 3월 22일 22시,화요일,경상북도 군위군 효령면,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,건설기계,남,56세,상해없음,화물,남,78세,중상
2022042500100303,2022년 4월 25일 14시,월요일,경상북도 영천시 신기동,중상사고,0,2,0,0,차대차 - 후진중충돌,중앙선침범,건조,맑음,단일로 - 기타,승용,여,55세,중상,화물,남,38세,중상
2022043000100007,2022년 4월 30일 00시,토요일,경상북도 구미시 도개면,중상사고,0,2,0,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,56세,중상,화물,남,73세,중상
2022050700100523,2022년 5월 7일 22시,토요일,경상북도 영천시 화산면,사망사고,1,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,44세,상해없음,승용,여,47세,경상
2022060400100225,2022년 6월 4일 11시,토요일,경상북도 군위군 효령면,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 터널,승용,남,40세,상해없음,승용,남,41세,경상
2022060700100289,2022년 6월 7일 14시,화요일,경상북도 군위군 부계면,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,37세,상해없음,승용,남,32세,경상
2022062100100038,2022년 6월 21일 06시,화요일,경상북도 영천시 신녕면,중상사고,0,3,0,0,차량단독 - 공작물충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,40세,중상,,,,
2022070800100625,2022년 7월 8일 23시,금요일,경상북도 영천시 화산면,중상사고,0,1,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,28세,상해없음,승용,남,24세,경상
2022072300100207,2022년 7월 23일 12시,토요일,경상북도 군위군 효령면,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,특수,남,58세,상해없음,승용,남,22세,경상
2022072700100277,2022년 7월 27일 14시,수요일,경상북도 군위군 효령면,경상사고,0,0,2,0,차대차 - 측면충돌,신호위반,건조,맑음,단일로 - 터널,화물,남,59세,상해없음,승용,남,74세,경상
2022080800100376,2022년 8월 8일 17시,월요일,경상북도 영천시 신녕면,중상사고,0,1,0,0,차대차 - 기타,차로위반,건조,맑음,단일로 - 기타,특수,남,60세,상해없음,승용,여,51세,중상
2022081200100308,2022년 8월 12일 14시,금요일,경상북도 영천시 신기동,경상사고,0,0,1,0,차대차 - 기타,기타,건조,맑음,단일로 - 기타,화물,남,53세,상해없음,승용,남,52세,경상
2022090800100323,2022년 9월 8일 13시,목요일,경상북도 영천시 화산면,중상사고,0,1,0,0,차대차 - 측면충돌,차로위반,건조,맑음,단일로 - 기타,승용,여,70세,상해없음,승용,여,50세,중상
2022091300100172,2022년 9월 13일 11시,화요일,경상북도 영천시 고경면,경상사고,0,0,2,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,37세,상해없음,승용,남,60세,경상
2022101600100378,2022년 10월 16일 18시,일요일,경상북도 영천시 고경면,경상사고,0,0,2,0,차량단독 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,32세,경상,,,,
2022101900100190,2022년 10월 19일 10시,수요일,경상북도 구미시 도개면,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,52세,상해없음,건설기계,남,54세,경상
2022102100100193,2022년 10월 21일 10시,금요일,경상북도 군위군 부계면,중상사고,0,1,0,0,차량단독 - 공작물충돌,안전운전불이행,건조,맑음,기타 - 기타,승용,여,55세,중상,,,,
2022102400100537,2022년 10월 24일 18시,월요일,경상북도 군위군 효령면,경상사고,0,0,6,1,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,26세,상해없음,화물,남,46세,경상
2022110800100029,2022년 11월 8일 04시,화요일,경상북도 군위군 부계면,중상사고,0,1,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,58세,중상,화물,남,51세,경상
2022111200100262,2022년 11월 12일 13시,토요일,경상북도 영천시 신녕면,경상사고,0,0,2,1,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,21세,부상신고,승용,남,46세,경상
2022112100100553,2022년 11월 21일 21시,월요일,경상북도 구미시 도개면,경상사고,0,0,5,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,특수,남,40세,상해없음,승합,남,62세,경상
2022112200100323,2022년 11월 22일 16시,화요일,경상북도 군위군 효령면,중상사고,0,3,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,61세,상해없음,승용,여,28세,중상
2022112900100255,2022년 11월 29일 12시,화요일,경상북도 군위군 소보면,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,32세,상해없음,화물,남,39세,경상
2022113000100528,2022년 11월 30일 22시,수요일,경상북도 영천시 신녕면,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,61세,상해없음,화물,남,60세,중상
2022120500100276,2022년 12월 5일 15시,월요일,경상북도 군위군 소보면,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,건조,맑음,기타 - 기타,승용,남,39세,상해없음,화물,남,54세,중상
2022120800100035,2022년 12월 8일 03시,목요일,경상북도 군위군 소보면,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 터널,승용,남,47세,상해없음,화물,남,49세,경상
2022121600100054,2022년 12월 16일 06시,금요일,경상북도 군위군 효령면,중상사고,0,2,0,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 터널,화물,남,39세,상해없음,화물,남,52세,중상
2022121900100537,2022년 12월 19일 21시,월요일,경상북도 영천시 신기동,중상사고,0,1,0,0,차량단독 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,45세,중상,,,,
2022122700100025,2022년 12월 27일 02시,화요일,경상북도 군위군 부계면,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,56세,상해없음,화물,남,47세,중상
