사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2022010700100446,2022년 1월 7일 18시,금요일,경상북도 영천시 임고면,중상사고,0,2,0,0,차대차 - 후진중충돌,안전운전불이행,건조,맑음,주차장 - 주차장,화물,남,56세,상해없음,승용,남,23세,중상
2022010900100196,2022년 1월 9일 17시,일요일,대구광역시 동구 도동,경상사고,0,0,3,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,53세,경상,승용,남,68세,상해없음
2022011400100090,2022년 1월 14일 08시,금요일,경상북도 경산시 와촌면,경상사고,0,0,2,1,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,특수,남,59세,경상,화물,남,62세,상해없음
2022013000100016,2022년 1월 30일 01시,일요일,경상북도 포항시 북구 기계면,중상사고,0,2,0,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,27세,상해없음,승용,남,39세,중상
2022020100100067,2022년 2월 1일 11시,화요일,경상북도 경산시 와촌면,경상사고,0,0,5,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,72세,상해없음,승용,남,29세,경상
2022021600100125,2022년 2월 16일 11시,수요일,경상북도 영천시 매산동,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,42세,상해없음,승용,여,48세,경상
2022022800100103,2022년 2월 28일 09시,월요일,경상북도 영천시 화산면,경상사고,0,0,3,0,차대차 - 추돌,안전운전불이행,건조,흐림,단일로 - 기타,승용,남,50세,상해없음,승합,여,55세,경상
2022040600100115,2022년 4월 6일 09시,수요일,경상북도 영천시 임고면,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,기타 - 기타,승용,남,54세,상해없음,화물,남,76세,경상
2022040800100028,2022년 4월 8일 03시,금요일,경상북도 포항시 북구 기계면,사망사고,1,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,67세,사망,화물,남,48세,경상
2022041000100291,2022년 4월 10일 16시,일요일,대구광역시 동구 백안동,중상사고,0,1,3,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 터널,승용,남,22세,상해없음,승용,여,38세,중상
2022041000100349,2022년 4월 10일 18시,일요일,전라북도 완주군 상관면,경상사고,0,0,1,0,차대차 - 기타,신호위반,건조,맑음,단일로 - 터널,특수,남,49세,상해없음,승용,남,49세,경상
2022051100100278,2022년 5월 11일 14시,수요일,경상북도 영천시 매산동,경상사고,0,0,1,0,차대차 - 기타,차로위반,건조,맑음,단일로 - 기타,화물,남,45세,상해없음,승용,남,39세,경상
2022051700100236,2022년 5월 17일 12시,화요일,전라북도 완주군 삼례읍,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,58세,상해없음,화물,남,43세,경상
2022052000100310,2022년 5월 20일 14시,금요일,경상북도 영천시 매산동,경상사고,0,0,1,0,차대차 - 추돌,기타,건조,맑음,기타 - 기타,화물,남,67세,상해없음,승용,여,61세,경상
2022052100100564,2022년 5월 21일 21시,토요일,경상북도 경주시 강동면,경상사고,0,0,2,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,25세,상해없음,승용,남,44세,상해없음
2022062300100127,2022년 6월 23일 08시,목요일,경상북도 경주시 강동면,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,19세,상해없음,승용,남,30세,경상
2022070400100430,2022년 7월 4일 17시,월요일,대구광역시 동구 도동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,44세,상해없음,승용,여,30세,경상
2022070700100360,2022년 7월 7일 15시,목요일,대구광역시 동구 평광동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,특수,남,47세,상해없음,화물,남,36세,경상
2022080900100169,2022년 8월 9일 11시,화요일,경상북도 영천시 청통면,경상사고,0,0,1,0,차대차 - 기타,차로위반,건조,맑음,단일로 - 기타,화물,남,74세,상해없음,승용,여,59세,경상
2022080900100285,2022년 8월 9일 15시,화요일,대구광역시 동구 도동,중상사고,0,1,1,1,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 터널,화물,남,34세,부상신고,화물,남,48세,경상
2022092400100097,2022년 9월 24일 08시,토요일,경상북도 경산시 와촌면,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,기타 - 기타,승용,남,65세,상해없음,화물,남,39세,경상
2022092400100348,2022년 9월 24일 14시,토요일,전라북도 진안군 진안읍,경상사고,0,0,1,0,차량단독 - 공작물충돌,안전운전불이행,건조,맑음,기타 - 기타,승용,남,53세,경상,,,,
2022092400100467,2022년 9월 24일 17시,토요일,경상북도 영천시 임고면,경상사고,0,0,2,1,차대차 - 기타,신호위반,건조,맑음,단일로 - 터널,승용,여,63세,부상신고,승용,여,57세,경상
2022102300100318,2022년 10월 23일 17시,일요일,경상북도 영천시 임고면,경상사고,0,0,2,0,차량단독 - 기타,안전운전불이행,건조,맑음,기타 - 기타,특수,남,28세,상해없음,,,,
2022110100100336,2022년 11월 1일 15시,화요일,경상북도 경산시 와촌면,경상사고,0,0,3,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,기타불명,미분류,기타불명,승용,남,54세,경상
2022110700100060,2022년 11월 7일 07시,월요일,전라북도 익산시 왕궁면,사망사고,1,0,0,0,차량단독 - 공작물충돌,안전운전불이행,건조,맑음,단일로 - 기타,특수,남,48세,사망,,,,
2022111500100506,2022년 11월 15일 18시,화요일,전라북도 진안군 부귀면,사망사고,1,1,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 터널,화물,남,63세,사망,특수,남,62세,경상
2022121100100129,2022년 12월 11일 11시,일요일,경상북도 포항시 남구 연일읍,경상사고,0,0,3,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,35세,상해없음,승용,여,28세,경상
2022122100100185,2022년 12월 21일 09시,수요일,경상북도 영천시 임고면,중상사고,0,1,3,0,차량단독 - 공작물충돌,안전운전불이행,적설,눈,단일로 - 기타,승합,남,49세,상해없음,,,,
2022123000100219,2022년 12월 30일 12시,금요일,경상북도 영천시 임고면,경상사고,0,0,2,0,차대차 - 측면충돌,신호위반,건조,맑음,단일로 - 터널,승합,남,50세,상해없음,승용,남,33세,경상
