사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2022010100100113,2022년 1월 1일 12시,토요일,경기도 고양시 덕양구 원당동,경상사고,0,0,1,0,차대차 - 기타,차로위반,건조,맑음,단일로 - 기타,승용,남,51세,상해없음,승용,여,53세,경상
2022022100100381,2022년 2월 21일 17시,월요일,경기도 고양시 덕양구 덕은동,경상사고,0,0,1,0,차대차 - 기타,차로위반,건조,맑음,단일로 - 기타,승용,남,26세,상해없음,승용,남,30세,경상
2022031200100307,2022년 3월 12일 17시,토요일,경기도 고양시 덕양구 원당동,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,젖음/습기,비,단일로 - 기타,화물,남,39세,상해없음,승용,남,39세,중상
2022040300100353,2022년 4월 3일 19시,일요일,경기도 파주시 금릉동,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,56세,상해없음,승용,남,71세,경상
2022040900100099,2022년 4월 9일 08시,토요일,경기도 고양시 덕양구 덕은동,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,37세,상해없음,승용,여,56세,중상
2022042700100520,2022년 4월 27일 19시,수요일,경기도 고양시 일산동구 설문동,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,22세,상해없음,승용,남,60세,중상
2022051300100455,2022년 5월 13일 17시,금요일,경기도 고양시 덕양구 원당동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,53세,상해없음,승용,남,35세,경상
2022052400100412,2022년 5월 24일 16시,화요일,경기도 고양시 덕양구 원당동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,61세,상해없음,승용,남,57세,경상
2022060700100185,2022년 6월 7일 10시,화요일,경기도 파주시 월롱면,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,31세,상해없음,승용,여,46세,중상
2022061000100037,2022년 6월 10일 04시,금요일,경기도 고양시 일산동구 설문동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,젖음/습기,흐림,단일로 - 기타,승용,남,38세,상해없음,승용,남,60세,상해없음
2022061800100495,2022년 6월 18일 19시,토요일,경기도 고양시 일산동구 성석동,경상사고,0,0,3,0,차대차 - 측면충돌,차로위반,건조,맑음,단일로 - 기타,승용,남,71세,상해없음,승용,남,44세,경상
2022070400100441,2022년 7월 4일 17시,월요일,경기도 고양시 일산동구 사리현동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,49세,상해없음,화물,남,41세,경상
2022073000100534,2022년 7월 30일 21시,토요일,경기도 고양시 일산동구 사리현동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,여,59세,상해없음,승용,여,43세,경상
2022080100100067,2022년 8월 1일 07시,월요일,경기도 고양시 덕양구 도내동,중상사고,0,2,0,0,차대차 - 기타,기타,젖음/습기,비,단일로 - 기타,화물,남,59세,중상,승용,남,53세,중상
2022081700100446,2022년 8월 17일 17시,수요일,경기도 고양시 덕양구 원당동,경상사고,0,0,3,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,31세,기타불명,승용,남,33세,경상
2022082800100013,2022년 8월 28일 00시,일요일,경기도 파주시 조리읍,경상사고,0,0,2,0,차대차 - 기타,기타,건조,맑음,단일로 - 기타,승용,여,53세,상해없음,승용,남,59세,경상
2022082900100050,2022년 8월 29일 06시,월요일,경기도 고양시 덕양구 도내동,중상사고,0,1,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,51세,상해없음,승용,여,67세,중상
2022101600100469,2022년 10월 16일 21시,일요일,경기도 고양시 덕양구 강매동,경상사고,0,0,2,0,차대차 - 기타,중앙선침범,건조,맑음,단일로 - 기타,승용,여,63세,경상,승용,남,41세,경상
2022102100100387,2022년 10월 21일 16시,금요일,경기도 고양시 덕양구 원당동,경상사고,0,0,4,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,승합,남,66세,상해없음,승용,남,28세,경상
2022102600100495,2022년 10월 26일 18시,수요일,경기도 고양시 덕양구 원당동,중상사고,0,1,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,59세,상해없음,승용,여,49세,중상
2022111300100148,2022년 11월 13일 11시,일요일,경기도 파주시 월롱면,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,46세,상해없음,보행자,남,25세,경상
2022111600100624,2022년 11월 16일 19시,수요일,경기도 고양시 일산동구 설문동,중상사고,0,1,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,30세,상해없음,승용,남,57세,중상
2022120600100308,2022년 12월 6일 13시,화요일,경기도 고양시 덕양구 현천동,중상사고,0,1,4,0,차대차 - 측면충돌,신호위반,건조,맑음,단일로 - 기타,승용,남,28세,경상,승용,남,73세,중상
2022120600100340,2022년 12월 6일 14시,화요일,경기도 고양시 일산동구 설문동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,24세,상해없음,보행자,남,37세,경상
2022122000100343,2022년 12월 20일 14시,화요일,경기도 고양시 덕양구 성사동,경상사고,0,0,1,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 기타,특수,남,32세,상해없음,승용,남,31세,경상
2022122100100160,2022년 12월 21일 08시,수요일,경기도 고양시 일산동구 문봉동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,적설,눈,단일로 - 기타,승용,여,33세,상해없음,승용,남,38세,경상
2022122100100161,2022년 12월 21일 08시,수요일,경기도 파주시 월롱면,경상사고,0,0,2,0,차대차 - 기타,안전운전불이행,서리/결빙,눈,단일로 - 기타,승용,남,48세,경상,승용,남,29세,경상
2022122300100429,2022년 12월 23일 18시,금요일,경기도 고양시 덕양구 원당동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,화물,남,61세,상해없음,승용,남,24세,경상
2022122300100468,2022년 12월 23일 19시,금요일,경기도 고양시 덕양구 원당동,경상사고,0,0,1,0,차대차 - 기타,신호위반,건조,맑음,단일로 - 교량,승용,남,44세,상해없음,승용,남,28세,경상
