사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2022010200100089,2022년 1월 2일 12시,일요일,강원도 춘천시 남면,경상사고,0,0,2,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 터널,승용,남,50세,상해없음,승용,남,56세,경상
2022010200100119,2022년 1월 2일 13시,일요일,경기도 남양주시 와부읍,중상사고,0,1,0,1,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,30세,상해없음,승용,남,68세,상해없음
2022010200100161,2022년 1월 2일 14시,일요일,경기도 남양주시 화도읍,경상사고,0,0,1,0,차대차 - 기타,차로위반,건조,맑음,단일로 - 기타,승합,남,50세,상해없음,승용,여,57세,경상
2022010200100205,2022년 1월 2일 16시,일요일,강원도 춘천시 동산면,경상사고,0,0,3,0,차대차 - 추돌,차로위반,건조,맑음,단일로 - 기타,승용,남,24세,상해없음,승용,여,32세,경상
2022010300100108,2022년 1월 3일 08시,월요일,강원도 춘천시 남면,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,기타불명,기타불명,미분류,기타불명,보행자,남,52세,경상
2022010300100230,2022년 1월 3일 12시,월요일,강원도 춘천시 동산면,경상사고,0,0,4,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,여,34세,상해없음,승용,남,38세,경상
2022010600100042,2022년 1월 6일 06시,목요일,경기도 남양주시 화도읍,경상사고,0,0,2,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,52세,상해없음,승용,남,39세,경상
2022010600100153,2022년 1월 6일 10시,목요일,경기도 남양주시 와부읍,중상사고,0,2,0,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,47세,중상,승용,여,71세,중상
2022010600100435,2022년 1월 6일 18시,목요일,경기도 가평군 가평읍,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,20세,상해없음,승용,여,42세,경상
2022011300100304,2022년 1월 13일 14시,목요일,경기도 가평군 가평읍,중상사고,0,1,6,0,차대차 - 추돌,기타,건조,맑음,단일로 - 기타,승용,남,30세,중상,승용,여,37세,경상
2022011400100019,2022년 1월 14일 02시,금요일,경기도 남양주시 와부읍,경상사고,0,0,2,0,차대차 - 측면충돌,신호위반,건조,맑음,단일로 - 기타,승용,남,40세,상해없음,승용,여,51세,경상
2022011600100252,2022년 1월 16일 17시,일요일,경기도 양평군 서종면,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,28세,상해없음,승용,여,45세,경상
2022011700100057,2022년 1월 17일 07시,월요일,경기도 하남시 망월동,경상사고,0,0,1,0,차대차 - 기타,차로위반,건조,맑음,단일로 - 기타,특수,남,28세,상해없음,승용,남,33세,경상
2022011900100177,2022년 1월 19일 11시,수요일,강원도 인제군 상남면,사망사고,1,2,1,0,차대차 - 측면충돌,안전운전불이행,건조,흐림,단일로 - 터널,승용,여,52세,중상,화물,남,61세,경상
