사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2022010200100136,2022년 1월 2일 14시,일요일,경기도 화성시 비봉면,경상사고,0,0,3,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,49세,상해없음,승용,남,27세,경상
2022010200100276,2022년 1월 2일 18시,일요일,경기도 시흥시 목감동,경상사고,0,0,1,1,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,56세,상해없음,승용,남,57세,상해없음
2022010500100016,2022년 1월 5일 05시,수요일,경기도 평택시 포승읍,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,58세,상해없음,승용,남,64세,경상
2022010700100427,2022년 1월 7일 18시,금요일,충청남도 서천군 화양면,경상사고,0,0,2,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,53세,상해없음,승용,남,34세,경상
2022010800100424,2022년 1월 8일 18시,토요일,경기도 안양시 만안구 석수동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,53세,상해없음,승용,남,35세,경상
2022010900100083,2022년 1월 9일 11시,일요일,경기도 안산시 상록구 부곡동,경상사고,0,0,1,0,차대차 - 추돌,신호위반,건조,맑음,단일로 - 기타,승용,남,43세,상해없음,승용,남,29세,상해없음
2022011000100042,2022년 1월 10일 06시,월요일,경기도 광명시 일직동,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,건조,맑음,기타 - 기타,화물,남,50세,상해없음,승용,남,24세,경상
2022011000100150,2022년 1월 10일 10시,월요일,경기도 평택시 포승읍,중상사고,0,1,4,1,차대차 - 추돌,안전운전불이행,서리/결빙,흐림,단일로 - 기타,승용,여,59세,경상,승용,여,38세,경상
2022011200100275,2022년 1월 12일 14시,수요일,전라북도 부안군 동진면,경상사고,0,0,2,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,73세,상해없음,승용,남,58세,경상
2022011400100021,2022년 1월 14일 03시,금요일,경기도 평택시 청북읍,경상사고,0,0,1,1,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,26세,상해없음,화물,남,42세,경상
2022011400100301,2022년 1월 14일 14시,금요일,경기도 광명시 일직동,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,51세,상해없음,승용,여,30세,중상
2022011800100640,2022년 1월 18일 22시,화요일,경기도 광명시 일직동,경상사고,0,0,4,0,차대차 - 추돌,기타,건조,맑음,단일로 - 교량,승용,남,28세,상해없음,승용,남,44세,경상
2022011900100181,2022년 1월 19일 11시,수요일,충청남도 당진시 순성면,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,61세,상해없음,특수,남,48세,중상
2022012000100524,2022년 1월 20일 21시,목요일,경기도 화성시 향남읍,경상사고,0,0,1,0,차대차 - 추돌,기타,건조,맑음,단일로 - 기타,승용,남,38세,상해없음,승용,여,41세,경상
2022012300100121,2022년 1월 23일 13시,일요일,경기도 화성시 향남읍,중상사고,0,2,0,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,51세,상해없음,승합,남,65세,중상
2022012300100186,2022년 1월 23일 15시,일요일,충청남도 당진시 송악읍,경상사고,0,0,8,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,24세,경상,승용,여,44세,경상
2022012500100204,2022년 1월 25일 12시,화요일,경기도 안산시 상록구 장하동,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,젖음/습기,맑음,단일로 - 기타,화물,남,48세,상해없음,화물,남,60세,상해없음
2022012500100280,2022년 1월 25일 15시,화요일,경기도 평택시 포승읍,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,62세,상해없음,특수,남,39세,경상
2022012600100031,2022년 1월 26일 05시,수요일,경기도 화성시 향남읍,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,기타 - 기타,승용,남,38세,상해없음,승용,남,40세,경상
2022012600100243,2022년 1월 26일 13시,수요일,경기도 화성시 팔탄면,경상사고,0,0,3,1,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,40세,상해없음,승용,남,35세,경상
2022012700100422,2022년 1월 27일 18시,목요일,경기도 안양시 만안구 박달동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,58세,상해없음,승용,여,23세,경상
2022012800100196,2022년 1월 28일 12시,금요일,경기도 화성시 비봉면,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,기타 - 기타,승용,남,41세,상해없음,승용,남,33세,경상
2022012800100538,2022년 1월 28일 19시,금요일,경기도 안산시 상록구 장하동,경상사고,0,0,1,0,차대차 - 기타,신호위반,건조,맑음,기타 - 기타,승용,남,26세,상해없음,화물,남,64세,경상
2022012800100555,2022년 1월 28일 20시,금요일,충청남도 당진시 송악읍,중상사고,0,3,0,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,58세,기타불명,승용,여,59세,중상
