사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2022011100100097,2022년 1월 11일 08시,화요일,인천광역시 서구 오류동,경상사고,0,0,1,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 교량,화물,남,44세,상해없음,승용,남,45세,경상
2022011700100523,2022년 1월 17일 23시,월요일,인천광역시 서구 경서동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,48세,상해없음,승용,남,46세,경상
2022011900100083,2022년 1월 19일 08시,수요일,경기도 화성시 방교동,경상사고,0,0,1,1,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,76세,상해없음,화물,남,41세,경상
2022012100100079,2022년 1월 21일 07시,금요일,인천광역시 서구 오류동,경상사고,0,0,1,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 교량,승용,남,23세,상해없음,승용,남,46세,경상
2022012300100010,2022년 1월 23일 01시,일요일,인천광역시 중구 유동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,34세,상해없음,승용,남,29세,상해없음
2022012800100044,2022년 1월 28일 07시,금요일,인천광역시 서구 원창동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,화물,남,48세,상해없음,승용,남,34세,경상
2022021100100364,2022년 2월 11일 18시,금요일,경기도 화성시 봉담읍,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,70세,상해없음,승용,남,29세,경상
2022022100100475,2022년 2월 21일 20시,월요일,경기도 김포시 양촌읍,경상사고,0,0,1,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 교량,승용,남,61세,상해없음,승용,남,60세,경상
2022022100100476,2022년 2월 21일 20시,월요일,경기도 김포시 양촌읍,중상사고,0,3,0,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 교량,승용,남,25세,상해없음,승용,여,40세,중상
2022031300100009,2022년 3월 13일 00시,일요일,인천광역시 서구 경서동,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,젖음/습기,비,단일로 - 기타,승용,여,33세,상해없음,승용,남,66세,중상
