사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2022010500100240,2022년 1월 5일 16시,수요일,경기도 의왕시 초평동,부상신고사고,0,0,0,2,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,여,53세,상해없음,화물,남,59세,부상신고
2022010600100036,2022년 1월 6일 06시,목요일,경기도 화성시 봉담읍,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,37세,상해없음,승용,남,30세,경상
2022012100100044,2022년 1월 21일 06시,금요일,경기도 화성시 봉담읍,부상신고사고,0,0,0,1,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,41세,상해없음,특수,남,63세,상해없음
2022012600100334,2022년 1월 26일 16시,수요일,경기도 수원시 권선구 권선동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,26세,상해없음,승용,남,53세,경상
2022013100100053,2022년 1월 31일 10시,월요일,경기도 안산시 상록구 수암동,경상사고,0,0,3,1,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 기타,승합,여,49세,경상,승용,남,23세,경상
2022021900100138,2022년 2월 19일 12시,토요일,경기도 화성시 봉담읍,경상사고,0,0,2,0,차대차 - 후진중충돌,기타,건조,맑음,단일로 - 기타,화물,남,59세,상해없음,승용,여,39세,경상
2022022100100399,2022년 2월 21일 18시,월요일,경기도 시흥시 목감동,중상사고,0,1,4,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,29세,상해없음,승용,여,23세,경상
2022031000100018,2022년 3월 10일 04시,목요일,경기도 군포시 도마교동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,34세,상해없음,승용,남,34세,경상
2022032500100632,2022년 3월 25일 23시,금요일,경기도 시흥시 목감동,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,젖음/습기,비,단일로 - 기타,승용,남,45세,상해없음,승용,남,48세,중상
2022042700100030,2022년 4월 27일 04시,수요일,경기도 군포시 대야미동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,25세,상해없음,건설기계,남,65세,경상
2022052200100088,2022년 5월 22일 09시,일요일,경기도 군포시 속달동,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 터널,승용,남,35세,상해없음,승용,남,48세,경상
