사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2022021200100096,2022년 2월 12일 10시,토요일,전라남도 순천시 황전면,경상사고,0,0,2,0,차대차 - 기타,안전운전불이행,건조,맑음,기타 - 기타,화물,남,67세,상해없음,승용,남,60세,경상
2022021600100024,2022년 2월 16일 06시,수요일,전라북도 임실군 오수면,중상사고,0,2,2,0,차대차 - 기타,안전운전불이행,적설,눈,단일로 - 기타,화물,남,42세,상해없음,화물,남,50세,경상
2022040300100343,2022년 4월 3일 19시,일요일,전라남도 구례군 산동면,중상사고,0,1,5,0,차대차 - 추돌,안전운전불이행,건조,맑음,기타 - 기타,승용,남,56세,상해없음,승용,남,45세,경상
2022041200100200,2022년 4월 12일 11시,화요일,전라남도 구례군 용방면,중상사고,0,2,1,0,차량단독 - 공작물충돌,안전운전불이행,건조,맑음,기타 - 기타,승용,여,64세,경상,,,,
2022080500100467,2022년 8월 5일 18시,금요일,전라남도 순천시 황전면,경상사고,0,0,3,0,차대차 - 기타,안전운전불이행,건조,맑음,기타 - 기타,화물,남,52세,경상,특수,남,43세,경상
2022092600100567,2022년 9월 26일 21시,월요일,전라남도 광양시 광양읍,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,기타 - 기타,화물,남,34세,상해없음,승용,여,61세,경상
2022100700100020,2022년 10월 7일 02시,금요일,전라남도 광양시 광양읍,경상사고,0,0,3,0,차대차 - 측면충돌,중앙선침범,건조,맑음,단일로 - 기타,승용,남,21세,상해없음,승용,남,22세,경상
2022110200100382,2022년 11월 2일 16시,수요일,전라북도 완주군 상관면,경상사고,0,0,3,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 터널,승용,남,57세,상해없음,승용,남,49세,경상
2022110200100538,2022년 11월 2일 19시,수요일,전라남도 순천시 황전면,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 교량,화물,남,64세,상해없음,승용,남,37세,경상
2022111900100209,2022년 11월 19일 12시,토요일,전라북도 임실군 오수면,중상사고,0,3,9,0,차대차 - 기타,기타,건조,맑음,단일로 - 기타,화물,남,59세,상해없음,승용,여,36세,경상
