사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2022010200100204,2022년 1월 2일 16시,일요일,경기도 용인시 처인구 양지면,중상사고,0,2,0,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 터널,승용,남,62세,상해없음,승용,남,40세,중상
2022010200100228,2022년 1월 2일 17시,일요일,강원도 평창군 봉평면,중상사고,0,1,9,0,차대차 - 정면충돌,안전운전불이행,건조,맑음,단일로 - 터널,승용,남,25세,상해없음,특수,남,50세,경상
2022010300100335,2022년 1월 3일 15시,월요일,경기도 용인시 기흥구 상갈동,부상신고사고,0,0,0,1,차대차 - 기타,안전운전불이행,건조,맑음,기타 - 기타,화물,남,66세,부상신고,승용,남,41세,상해없음
2022010300100374,2022년 1월 3일 16시,월요일,경기도 이천시 마장면,중상사고,0,1,1,0,차대차 - 기타,기타,건조,맑음,단일로 - 기타,화물,남,47세,상해없음,승용,여,43세,경상
2022010400100365,2022년 1월 4일 17시,화요일,경기도 용인시 기흥구 고매동,경상사고,0,0,1,1,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,여,58세,상해없음,승용,남,40세,경상
2022010500100337,2022년 1월 5일 18시,수요일,경기도 시흥시 월곶동,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 교량,화물,남,48세,상해없음,승용,남,52세,경상
2022010700100116,2022년 1월 7일 09시,금요일,경기도 시흥시 거모동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,특수,남,60세,상해없음,승용,여,62세,경상
2022010800100033,2022년 1월 8일 05시,토요일,경기도 용인시 기흥구 언남동,사망사고,1,0,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,54세,상해없음,보행자,여,79세,사망
2022011100100005,2022년 1월 11일 00시,화요일,경기도 이천시 마장면,사망사고,1,0,0,0,차량단독 - 공작물충돌,안전운전불이행,젖음/습기,눈,단일로 - 기타,화물,남,55세,사망,,,,
2022011100100402,2022년 1월 11일 18시,화요일,경기도 수원시 영통구 이의동,경상사고,0,0,2,0,차대차 - 후진중충돌,안전운전불이행,건조,맑음,단일로 - 터널,승합,남,52세,상해없음,승용,여,38세,경상
2022011100100479,2022년 1월 11일 19시,화요일,경기도 안산시 상록구 양상동,중상사고,0,1,3,0,차대차 - 기타,안전운전불이행,건조,맑음,기타 - 기타,화물,남,58세,상해없음,승용,남,44세,중상
2022011200100029,2022년 1월 12일 06시,수요일,경기도 이천시 부발읍,경상사고,0,0,6,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,기타불명,기타불명,미분류,기타불명,승합,남,57세,경상
2022011300100011,2022년 1월 13일 02시,목요일,경기도 군포시 대야미동,경상사고,0,0,3,0,차대차 - 측면충돌,차로위반,건조,흐림,기타 - 기타,승용,여,47세,상해없음,승용,여,31세,경상
2022011300100315,2022년 1월 13일 15시,목요일,경기도 여주시 가남읍,중상사고,0,2,0,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,건설기계,남,48세,상해없음,승용,남,58세,중상
2022011400100450,2022년 1월 14일 18시,금요일,경기도 군포시 대야미동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,48세,상해없음,화물,남,62세,경상
2022011500100267,2022년 1월 15일 15시,토요일,경기도 안산시 단원구 선부동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,여,42세,상해없음,승용,남,33세,경상
2022011900100436,2022년 1월 19일 20시,수요일,경기도 이천시 마장면,사망사고,1,0,0,0,차대차 - 측면충돌,안전운전불이행,젖음/습기,맑음,단일로 - 기타,화물,남,49세,상해없음,화물,남,52세,사망
2022012000100121,2022년 1월 20일 10시,목요일,경기도 수원시 영통구 이의동,부상신고사고,0,0,0,1,차대차 - 기타,안전운전불이행,서리/결빙,맑음,기타 - 기타,승용,여,31세,상해없음,화물,남,58세,부상신고
