사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2022011400100221,2022년 1월 14일 12시,금요일,경기도 용인시 수지구 성복동,경상사고,0,0,1,0,차대차 - 기타,신호위반,건조,맑음,단일로 - 교량,승용,여,45세,상해없음,승용,남,31세,경상
2022012500100541,2022년 1월 25일 22시,화요일,경기도 성남시 분당구 분당동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,45세,상해없음,승용,여,64세,경상
2022022800100012,2022년 2월 28일 03시,월요일,경기도 용인시 수지구 신봉동,경상사고,0,0,1,0,차대차 - 추돌,기타,건조,맑음,단일로 - 기타,승용,남,28세,기타불명,승용,남,63세,경상
2022030300100392,2022년 3월 3일 18시,목요일,경기도 성남시 수정구 금토동,경상사고,0,0,2,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,40세,상해없음,승용,남,60세,경상
2022040800100424,2022년 4월 8일 17시,금요일,경기도 성남시 분당구 대장동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 터널,승용,남,40세,상해없음,승용,여,43세,경상
2022041200100335,2022년 4월 12일 16시,화요일,경기도 용인시 수지구 성복동,중상사고,0,1,0,0,차대차 - 기타,신호위반,건조,맑음,기타 - 기타,승용,여,47세,상해없음,승용,남,30세,중상
2022041800100088,2022년 4월 18일 08시,월요일,경기도 수원시 영통구 이의동,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,27세,상해없음,승용,여,28세,경상
2022042000100160,2022년 4월 20일 09시,수요일,경기도 성남시 분당구 대장동,경상사고,0,0,2,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,승용,여,55세,상해없음,승용,여,34세,경상
2022042700100025,2022년 4월 27일 03시,수요일,경기도 용인시 수지구 성복동,경상사고,0,0,2,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,41세,상해없음,보행자,남,34세,경상
2022042700100575,2022년 4월 27일 22시,수요일,경기도 성남시 수정구 금토동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,43세,상해없음,보행자,여,53세,경상
2022050100100054,2022년 5월 1일 06시,일요일,경기도 성남시 수정구 금토동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,기타 - 기타,승용,남,33세,상해없음,승용,여,27세,경상
2022053100100679,2022년 5월 31일 22시,화요일,경기도 용인시 수지구 동천동,경상사고,0,0,3,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,27세,상해없음,승용,남,42세,경상
2022060300100346,2022년 6월 3일 15시,금요일,경기도 용인시 수지구 고기동,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 터널,승용,여,58세,상해없음,승용,여,38세,중상
2022062700100063,2022년 6월 27일 07시,월요일,서울특별시 서초구 내곡동,경상사고,0,0,6,1,차대차 - 추돌,안전운전불이행,건조,맑음,기타 - 기타,승합,남,38세,상해없음,승용,남,31세,경상
2022072200100230,2022년 7월 22일 12시,금요일,서울특별시 강남구 세곡동,경상사고,0,0,1,0,차대차 - 기타,차로위반,건조,맑음,단일로 - 기타,기타불명,기타불명,미분류,기타불명,승용,남,31세,경상
2022080500100459,2022년 8월 5일 18시,금요일,경기도 용인시 수지구 상현동,경상사고,0,0,3,0,차대차 - 기타,신호위반,건조,맑음,단일로 - 기타,승용,남,43세,경상,승용,남,27세,경상
2022081400100106,2022년 8월 14일 11시,일요일,경기도 성남시 수정구 금토동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,24세,상해없음,승용,남,38세,경상
2022091400100048,2022년 9월 14일 07시,수요일,경기도 성남시 분당구 대장동,경상사고,0,0,1,1,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,승용,여,53세,부상신고,화물,남,49세,경상
2022100400100061,2022년 10월 4일 07시,화요일,경기도 수원시 영통구 이의동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,31세,상해없음,승용,남,34세,경상
2022100400100364,2022년 10월 4일 16시,화요일,경기도 용인시 기흥구 영덕동,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,승용,여,42세,상해없음,승용,여,26세,경상
2022100700100351,2022년 10월 7일 14시,금요일,경기도 성남시 분당구 하산운동,중상사고,0,1,4,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,29세,상해없음,승용,남,69세,경상
2022101100100069,2022년 10월 11일 07시,화요일,경기도 용인시 수지구 고기동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,기타 - 기타,승용,남,25세,상해없음,승용,남,27세,경상
2022111500100123,2022년 11월 15일 08시,화요일,경기도 용인시 수지구 고기동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,51세,상해없음,승용,남,37세,상해없음
2022112100100448,2022년 11월 21일 18시,월요일,경기도 용인시 수지구 성복동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,기타 - 기타,화물,남,59세,상해없음,승용,남,81세,경상
2022112400100602,2022년 11월 24일 22시,목요일,경기도 성남시 분당구 분당동,경상사고,0,0,2,0,차대차 - 기타,안전운전불이행,건조,맑음,기타 - 기타,승용,여,29세,상해없음,승용,남,19세,경상
2022120700100600,2022년 12월 7일 22시,수요일,경기도 성남시 수정구 고등동,중상사고,0,2,7,2,차대차 - 추돌,안전운전불이행,건조,맑음,기타 - 기타,승용,남,32세,상해없음,승합,남,56세,경상
2022120900100320,2022년 12월 9일 16시,금요일,경기도 성남시 분당구 하산운동,부상신고사고,0,0,0,1,차대차 - 추돌,안전운전불이행,건조,맑음,기타 - 기타,승용,남,36세,상해없음,화물,남,53세,부상신고
2022121100100175,2022년 12월 11일 13시,일요일,경기도 용인시 수지구 성복동,중상사고,0,2,8,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,31세,상해없음,승용,여,38세,중상
2022121300100540,2022년 12월 13일 23시,화요일,경기도 성남시 수정구 고등동,경상사고,0,0,2,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,36세,상해없음,승용,남,59세,경상
2022121800100279,2022년 12월 18일 17시,일요일,경기도 성남시 수정구 금토동,경상사고,0,0,2,0,차대차 - 추돌,기타,건조,맑음,단일로 - 터널,승용,남,37세,기타불명,승용,남,57세,경상
2022122600100037,2022년 12월 26일 06시,월요일,경기도 성남시 분당구 백현동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 터널,승용,남,52세,상해없음,승용,남,47세,경상
2022122700100101,2022년 12월 27일 08시,화요일,경기도 용인시 수지구 신봉동,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,57세,상해없음,화물,남,40세,경상
2022123000100514,2022년 12월 30일 18시,금요일,경기도 수원시 영통구 이의동,경상사고,0,0,1,2,차대차 - 추돌,안전운전불이행,건조,맑음,기타 - 기타,승용,남,63세,상해없음,승용,남,40세,부상신고
2022123100100272,2022년 12월 31일 14시,토요일,경기도 용인시 수지구 신봉동,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,60세,상해없음,승용,남,50세,경상
