사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2022010300100350,2022년 1월 3일 15시,월요일,인천광역시 중구 중산동,경상사고,0,0,1,0,차대차 - 추돌,기타,건조,맑음,단일로 - 교량,승용,남,17세,상해없음,승용,여,62세,경상
2022010800100371,2022년 1월 8일 17시,토요일,인천광역시 서구 시천동,중상사고,0,2,3,1,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,33세,상해없음,승용,남,69세,중상
2022011200100063,2022년 1월 12일 07시,수요일,인천광역시 중구 운북동,중상사고,0,2,4,0,차대차 - 기타,안전운전불이행,건조,맑음,기타 - 기타,승용,남,53세,상해없음,화물,남,53세,중상
2022011600100351,2022년 1월 16일 21시,일요일,인천광역시 서구 경서동,부상신고사고,0,0,0,1,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 교량,승용,남,55세,상해없음,승용,남,60세,부상신고
2022011800100132,2022년 1월 18일 09시,화요일,서울특별시 강서구 방화동,부상신고사고,0,0,0,3,차대차 - 기타,기타,건조,맑음,단일로 - 교량,승용,남,59세,상해없음,승용,남,43세,부상신고
2022012000100539,2022년 1월 20일 21시,목요일,인천광역시 서구 경서동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,42세,상해없음,승용,여,29세,경상
2022020200100026,2022년 2월 2일 05시,수요일,인천광역시 계양구 귤현동,경상사고,0,0,2,0,차대차 - 측면충돌,안전운전불이행,건조,흐림,단일로 - 교량,승용,남,17세,상해없음,승용,남,60세,경상
2022020900100341,2022년 2월 9일 17시,수요일,인천광역시 서구 경서동,중상사고,0,2,0,0,차대차 - 정면충돌,안전운전불이행,건조,맑음,단일로 - 교량,승용,남,34세,중상,승용,남,28세,중상
2022022500100391,2022년 2월 25일 17시,금요일,인천광역시 중구 운남동,경상사고,0,0,2,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,화물,남,52세,상해없음,승용,남,30세,경상
2022031200100019,2022년 3월 12일 03시,토요일,인천광역시 계양구 평동,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,18세,상해없음,승합,남,44세,경상
2022031900100367,2022년 3월 19일 20시,토요일,인천광역시 서구 검암동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,38세,상해없음,승용,남,70세,경상
2022042900100074,2022년 4월 29일 05시,금요일,인천광역시 중구 운북동,경상사고,0,0,1,0,차량단독 - 공작물충돌,기타,젖음/습기,비,단일로 - 기타,승용,남,20세,상해없음,,,,
2022042900100075,2022년 4월 29일 05시,금요일,인천광역시 중구 운북동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,젖음/습기,비,단일로 - 기타,승용,남,75세,상해없음,승용,남,20세,기타불명
2022051100100365,2022년 5월 11일 16시,수요일,인천광역시 중구 운북동,경상사고,0,0,1,0,차대차 - 정면충돌,안전거리미확보,건조,맑음,단일로 - 기타,기타불명,기타불명,미분류,기타불명,승용,여,62세,경상
2022053000100354,2022년 5월 30일 16시,월요일,인천광역시 서구 검암동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,30세,상해없음,승용,남,28세,경상
2022060200100222,2022년 6월 2일 12시,목요일,인천광역시 서구 원창동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,건조,맑음,단일로 - 기타,승용,남,35세,상해없음,승용,남,41세,경상
2022060400100117,2022년 6월 4일 08시,토요일,인천광역시 중구 중산동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 교량,승용,여,21세,상해없음,승용,여,48세,경상
2022060500100263,2022년 6월 5일 16시,일요일,인천광역시 중구 운서동,경상사고,0,0,2,0,차대차 - 기타,차로위반,건조,맑음,단일로 - 교량,승용,남,33세,상해없음,승용,남,41세,상해없음
2022060600100011,2022년 6월 6일 00시,월요일,인천광역시 서구 검암동,경상사고,0,0,2,0,차대차 - 후진중충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,27세,상해없음,승용,남,53세,경상
2022071000100240,2022년 7월 10일 14시,일요일,인천광역시 서구 검암동,경상사고,0,0,4,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,64세,상해없음,승용,여,46세,경상
2022071500100657,2022년 7월 15일 23시,금요일,인천광역시 서구 시천동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,55세,기타불명,승용,남,27세,경상
2022080600100334,2022년 8월 6일 16시,토요일,인천광역시 서구 경서동,경상사고,0,0,3,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,44세,상해없음,승용,남,63세,경상
2022080800100304,2022년 8월 8일 15시,월요일,인천광역시 중구 중산동,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,젖음/습기,비,단일로 - 기타,승용,남,48세,상해없음,화물,남,44세,경상
2022080900100254,2022년 8월 9일 14시,화요일,인천광역시 서구 경서동,중상사고,0,2,0,0,차대차 - 추돌,안전운전불이행,젖음/습기,비,단일로 - 기타,승용,남,29세,상해없음,승용,남,22세,중상
2022081100100494,2022년 8월 11일 23시,목요일,서울특별시 강서구 개화동,사망사고,1,2,0,0,차대차 - 정면충돌,신호위반,건조,흐림,기타 - 기타,승용,남,39세,사망,승용,남,22세,중상
2022082100100414,2022년 8월 21일 21시,일요일,인천광역시 중구 운서동,사망사고,1,1,0,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,여,36세,사망,승용,여,32세,중상
2022082200100190,2022년 8월 22일 10시,월요일,인천광역시 계양구 상야동,경상사고,0,0,5,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,59세,상해없음,승용,남,59세,경상
2022091500100108,2022년 9월 15일 08시,목요일,인천광역시 서구 시천동,경상사고,0,0,1,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,여,28세,상해없음,승용,여,42세,경상
2022091900100478,2022년 9월 19일 19시,월요일,인천광역시 서구 청라동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,화물,여,61세,상해없음,승용,여,44세,경상
2022092900100464,2022년 9월 29일 17시,목요일,인천광역시 중구 중산동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,47세,상해없음,화물,남,63세,경상
2022100600100214,2022년 10월 6일 11시,목요일,인천광역시 중구 운북동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,여,69세,상해없음,승용,여,26세,경상
2022110700100112,2022년 11월 7일 08시,월요일,인천광역시 서구 시천동,중상사고,0,1,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 교량,승용,남,63세,중상,화물,남,61세,경상
2022112600100431,2022년 11월 26일 18시,토요일,인천광역시 중구 운북동,경상사고,0,0,2,0,차대차 - 측면충돌,기타,건조,맑음,단일로 - 교량,승용,남,21세,상해없음,승용,남,29세,경상
2022120400100172,2022년 12월 4일 13시,일요일,인천광역시 서구 경서동,중상사고,0,1,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,32세,상해없음,승용,남,65세,중상
2022121000100061,2022년 12월 10일 03시,토요일,인천광역시 중구 운북동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,32세,상해없음,승용,남,63세,경상
