사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2022010400100130,2022년 1월 4일 09시,화요일,경기도 안양시 만안구 석수동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 교량,승용,여,33세,상해없음,승용,여,27세,경상
2022012000100169,2022년 1월 20일 11시,목요일,인천광역시 남동구 남촌동,경상사고,0,0,3,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 교량,승용,남,70세,상해없음,승용,남,45세,경상
2022012000100420,2022년 1월 20일 18시,목요일,인천광역시 남동구 서창동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,특수,남,47세,상해없음,화물,남,66세,경상
2022012200100041,2022년 1월 22일 06시,토요일,인천광역시 남동구 남촌동,경상사고,0,0,2,0,차대차 - 정면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,64세,상해없음,승용,남,63세,경상
2022012500100407,2022년 1월 25일 18시,화요일,경기도 안양시 만안구 석수동,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,67세,상해없음,승용,여,33세,중상
2022012600100473,2022년 1월 26일 19시,수요일,경기도 안양시 만안구 석수동,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,기타 - 기타,화물,남,49세,상해없음,승용,여,44세,경상
2022020400100376,2022년 2월 4일 18시,금요일,경기도 시흥시 안현동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,41세,상해없음,승용,남,55세,경상
2022020900100362,2022년 2월 9일 18시,수요일,경기도 안양시 만안구 석수동,중상사고,0,1,0,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,68세,상해없음,승용,여,61세,중상
2022021100100163,2022년 2월 11일 11시,금요일,경기도 광명시 노온사동,경상사고,0,0,1,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,64세,상해없음,승용,남,29세,경상
2022022000100165,2022년 2월 20일 14시,일요일,인천광역시 남동구 남촌동,경상사고,0,0,3,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,여,39세,경상,승용,여,45세,경상
2022022000100227,2022년 2월 20일 17시,일요일,경기도 시흥시 신천동,경상사고,0,0,4,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 교량,승용,여,37세,상해없음,승용,남,38세,경상
2022022100100013,2022년 2월 21일 01시,월요일,인천광역시 미추홀구 문학동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,43세,상해없음,승용,남,61세,경상
2022022400100469,2022년 2월 24일 20시,목요일,인천광역시 남동구 수산동,중상사고,0,1,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 고가도로위,승용,남,19세,상해없음,승용,남,45세,경상
2022030600100216,2022년 3월 6일 16시,일요일,인천광역시 남동구 서창동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,58세,상해없음,승용,남,31세,경상
2022031600100211,2022년 3월 16일 13시,수요일,인천광역시 남동구 수산동,경상사고,0,0,5,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 교량,승용,여,56세,경상,승용,남,39세,경상
2022031900100123,2022년 3월 19일 11시,토요일,인천광역시 미추홀구 주안동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,젖음/습기,비,단일로 - 기타,승용,남,54세,상해없음,화물,남,48세,경상
2022032900100362,2022년 3월 29일 17시,화요일,경기도 광명시 소하동,경상사고,0,0,3,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 교량,승용,남,61세,상해없음,승용,남,57세,경상
2022040100100306,2022년 4월 1일 16시,금요일,인천광역시 남동구 남촌동,경상사고,0,0,2,0,차대차 - 측면충돌,신호위반,건조,맑음,단일로 - 교량,승용,여,32세,상해없음,승용,남,46세,경상
2022040200100531,2022년 4월 2일 22시,토요일,인천광역시 남동구 운연동,중상사고,0,3,1,0,차대차 - 기타,기타,건조,맑음,단일로 - 기타,승용,남,65세,중상,승용,남,26세,중상
2022040600100035,2022년 4월 6일 05시,수요일,인천광역시 미추홀구 문학동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,흐림,단일로 - 기타,승용,남,26세,상해없음,승용,남,46세,경상
2022041200100372,2022년 4월 12일 17시,화요일,경기도 성남시 수정구 금토동,중상사고,0,1,1,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,39세,상해없음,화물,남,53세,중상
2022043000100204,2022년 4월 30일 12시,토요일,경기도 안양시 만안구 석수동,경상사고,0,0,5,1,차대차 - 기타,차로위반,건조,맑음,단일로 - 교량,화물,남,33세,상해없음,승용,여,53세,경상
2022043000100364,2022년 4월 30일 16시,토요일,인천광역시 미추홀구 학익동,중상사고,0,1,0,0,차대차 - 기타,기타,건조,맑음,단일로 - 교량,건설기계,남,66세,상해없음,승용,남,45세,중상
2022050200100218,2022년 5월 2일 11시,월요일,인천광역시 미추홀구 학익동,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,54세,상해없음,건설기계,남,48세,경상
2022050500100163,2022년 5월 5일 11시,목요일,경기도 시흥시 과림동,부상신고사고,0,0,0,1,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,44세,상해없음,승용,여,42세,부상신고
2022051000100587,2022년 5월 10일 21시,화요일,인천광역시 남동구 수산동,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,38세,상해없음,화물,남,44세,중상
2022051100100031,2022년 5월 11일 05시,수요일,경기도 성남시 수정구 시흥동,경상사고,0,0,2,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,56세,상해없음,승합,남,61세,경상
2022051300100120,2022년 5월 13일 08시,금요일,경기도 안양시 만안구 석수동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,66세,상해없음,승용,남,62세,경상
2022051300100401,2022년 5월 13일 16시,금요일,인천광역시 남동구 수산동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,71세,상해없음,승용,여,34세,경상
2022051400100333,2022년 5월 14일 14시,토요일,인천광역시 미추홀구 학익동,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,기타불명,기타불명,미분류,기타불명,화물,남,53세,상해없음
2022051600100017,2022년 5월 16일 02시,월요일,경기도 시흥시 은행동,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,28세,기타불명,승용,남,63세,경상
