사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2022011300100235,2022년 1월 13일 12시,목요일,경기도 이천시 마장면,경상사고,0,0,2,0,차대차 - 추돌,기타,건조,맑음,단일로 - 기타,화물,남,47세,경상,화물,남,69세,경상
2022011800100019,2022년 1월 18일 05시,화요일,경기도 이천시 신둔면,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,58세,상해없음,화물,남,73세,경상
2022012300100199,2022년 1월 23일 15시,일요일,경기도 광주시 초월읍,경상사고,0,0,7,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,46세,경상,승용,남,35세,상해없음
2022012700100495,2022년 1월 27일 20시,목요일,경기도 하남시 상산곡동,경상사고,0,0,3,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,62세,상해없음,화물,남,38세,경상
2022013000100022,2022년 1월 30일 03시,일요일,경기도 광주시 곤지암읍,중상사고,0,1,2,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,47세,상해없음,승용,남,24세,중상
2022031700100198,2022년 3월 17일 14시,목요일,경기도 이천시 신둔면,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,흐림,기타 - 기타,승용,남,66세,상해없음,승용,남,51세,경상
2022033100100496,2022년 3월 31일 23시,목요일,경기도 광주시 초월읍,경상사고,0,0,1,0,차대차 - 기타,기타,건조,맑음,단일로 - 기타,기타불명,기타불명,미분류,기타불명,승용,남,46세,경상
2022040300100231,2022년 4월 3일 15시,일요일,경기도 광주시 초월읍,경상사고,0,0,2,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,59세,상해없음,승용,남,36세,경상
2022040700100400,2022년 4월 7일 17시,목요일,경기도 광주시 도척면,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,62세,상해없음,승용,여,36세,경상
2022041500100571,2022년 4월 15일 20시,금요일,경기도 광주시 남한산성면,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,젖음/습기,비,단일로 - 기타,승용,남,34세,상해없음,승용,남,43세,경상
2022042900100107,2022년 4월 29일 07시,금요일,경기도 광주시 초월읍,경상사고,0,0,3,0,차대차 - 기타,기타,젖음/습기,비,단일로 - 기타,화물,남,62세,상해없음,화물,남,55세,상해없음
2022050800100363,2022년 5월 8일 18시,일요일,경기도 광주시 초월읍,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,56세,상해없음,승용,남,56세,경상
2022050900100338,2022년 5월 9일 14시,월요일,경기도 이천시 신둔면,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,주차장 - 주차장,승용,남,86세,상해없음,보행자,여,70세,중상
2022060600100346,2022년 6월 6일 17시,월요일,경기도 광주시 도척면,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,59세,상해없음,승용,여,30세,경상
