사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2022010600100465,2022년 1월 6일 19시,목요일,경기도 하남시 덕풍동,경상사고,0,0,6,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,61세,상해없음,승합,남,64세,경상
2022010600100466,2022년 1월 6일 19시,목요일,경기도 하남시 천현동,경상사고,0,0,1,1,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,58세,상해없음,승용,남,44세,경상
2022010700100100,2022년 1월 7일 08시,금요일,경기도 광주시 곤지암읍,중상사고,0,3,1,0,차량단독 - 전도전복 - 전복,안전운전불이행,젖음/습기,맑음,단일로 - 기타,승합,남,40세,상해없음,,,,
2022011300100351,2022년 1월 13일 16시,목요일,경기도 안성시 일죽면,중상사고,0,1,1,0,차대차 - 측면충돌,차로위반,건조,맑음,단일로 - 기타,화물,남,55세,경상,화물,남,70세,중상
2022011300100421,2022년 1월 13일 18시,목요일,충청북도 음성군 삼성면,경상사고,0,0,2,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,기타 - 기타,승용,여,32세,상해없음,승용,남,52세,경상
2022011300100473,2022년 1월 13일 19시,목요일,경기도 하남시 덕풍동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,52세,상해없음,승용,남,43세,경상
2022011400100132,2022년 1월 14일 09시,금요일,경기도 하남시 천현동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,39세,상해없음,승용,남,30세,경상
2022011800100353,2022년 1월 18일 15시,화요일,경기도 광주시 남한산성면,경상사고,0,0,3,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,30세,상해없음,화물,남,68세,상해없음
2022011800100653,2022년 1월 18일 23시,화요일,경기도 이천시 호법면,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,기타불명,기타불명,미분류,기타불명,화물,남,47세,경상
2022012100100265,2022년 1월 21일 12시,금요일,충청북도 진천군 초평면,사망사고,1,1,4,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,62세,사망,화물,남,66세,경상
2022012300100019,2022년 1월 23일 02시,일요일,경기도 하남시 하산곡동,경상사고,0,0,3,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,24세,상해없음,승용,남,23세,경상
2022012400100176,2022년 1월 24일 10시,월요일,경기도 이천시 마장면,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,52세,상해없음,화물,남,45세,경상
2022012500100022,2022년 1월 25일 05시,화요일,경기도 하남시 천현동,경상사고,0,0,2,0,차대차 - 기타,기타,젖음/습기,비,단일로 - 기타,특수,남,48세,상해없음,화물,남,57세,경상
2022012800100140,2022년 1월 28일 10시,금요일,경기도 하남시 하산곡동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,26세,상해없음,승용,남,54세,경상
2022013000100234,2022년 1월 30일 17시,일요일,충청북도 음성군 삼성면,중상사고,0,1,0,3,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,33세,상해없음,승용,남,45세,부상신고
2022020900100532,2022년 2월 9일 23시,수요일,충청북도 청주시 청원구 오창읍,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,44세,상해없음,화물,남,64세,중상
