사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2022010100100387,2022년 1월 1일 22시,토요일,충청북도 충주시 앙성면,중상사고,0,2,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승합,여,23세,상해없음,승용,남,41세,중상
2022010300100021,2022년 1월 3일 05시,월요일,경기도 여주시 가남읍,경상사고,0,0,3,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,화물,남,42세,상해없음,승합,남,42세,경상
2022010500100225,2022년 1월 5일 15시,수요일,경상남도 창녕군 대합면,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,25세,상해없음,화물,남,60세,경상
2022010600100306,2022년 1월 6일 15시,목요일,경상북도 문경시 마성면,경상사고,0,0,4,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,22세,경상,화물,남,26세,경상
2022010700100090,2022년 1월 7일 08시,금요일,경상북도 문경시 유곡동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,주차장 - 주차장,승용,남,60세,상해없음,화물,남,39세,경상
2022011700100279,2022년 1월 17일 15시,월요일,충청북도 음성군 감곡면,중상사고,0,1,0,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 지하차도(도로)내,승용,남,63세,상해없음,승용,남,27세,중상
2022011700100402,2022년 1월 17일 18시,월요일,경기도 여주시 흥천면,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,적설,눈,단일로 - 기타,화물,남,55세,상해없음,승용,남,45세,경상
2022011800100572,2022년 1월 18일 20시,화요일,경상북도 김천시 아포읍,중상사고,0,1,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,55세,경상,화물,남,51세,경상
2022012000100130,2022년 1월 20일 10시,목요일,경상남도 창녕군 창녕읍,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,51세,상해없음,승용,남,19세,경상
2022012100100335,2022년 1월 21일 14시,금요일,경상북도 상주시 공검면,경상사고,0,0,3,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 터널,승용,남,31세,경상,승용,남,18세,상해없음
2022012900100187,2022년 1월 29일 13시,토요일,경상북도 문경시 문경읍,중상사고,0,1,2,0,차대차 - 추돌,안전거리미확보,건조,흐림,단일로 - 터널,승용,남,26세,상해없음,승용,여,38세,중상
2022012900100214,2022년 1월 29일 14시,토요일,경상북도 구미시 옥성면,중상사고,0,1,0,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 터널,승용,남,22세,상해없음,승용,남,43세,중상
