사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2022011100100542,2022년 1월 11일 21시,화요일,대구광역시 서구 상리동,경상사고,0,0,2,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,35세,상해없음,승용,여,62세,경상
2022032100100121,2022년 3월 21일 10시,월요일,대구광역시 달성군 화원읍,경상사고,0,0,2,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,50세,상해없음,승용,남,77세,경상
2022032400100089,2022년 3월 24일 09시,목요일,대구광역시 달성군 논공읍,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,55세,상해없음,승합,남,52세,경상
2022041300100102,2022년 4월 13일 08시,수요일,대구광역시 달성군 화원읍,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,55세,상해없음,승용,여,55세,중상
2022043000100036,2022년 4월 30일 02시,토요일,대구광역시 달성군 논공읍,경상사고,0,0,1,0,차대차 - 측면충돌,중앙선침범,건조,맑음,단일로 - 터널,승용,여,48세,상해없음,승용,남,48세,경상
2022051900100241,2022년 5월 19일 12시,목요일,대구광역시 서구 상리동,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,75세,상해없음,승용,여,48세,중상
2022052100100377,2022년 5월 21일 15시,토요일,대구광역시 달성군 화원읍,경상사고,0,0,2,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,40세,상해없음,화물,남,50세,경상
2022052300100219,2022년 5월 23일 11시,월요일,대구광역시 서구 상리동,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,56세,상해없음,승합,남,58세,중상
2022053000100393,2022년 5월 30일 17시,월요일,대구광역시 서구 상리동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,49세,상해없음,승용,남,29세,경상
2022061200100070,2022년 6월 12일 07시,일요일,대구광역시 달서구 대천동,중상사고,0,1,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,22세,상해없음,승용,여,40세,중상
2022061600100426,2022년 6월 16일 17시,목요일,대구광역시 달성군 화원읍,경상사고,0,0,2,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,54세,상해없음,승용,남,54세,경상
2022080400100321,2022년 8월 4일 15시,목요일,대구광역시 달성군 논공읍,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,61세,중상,화물,남,52세,상해없음
