사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2022010100100004,2022년 1월 1일 00시,토요일,부산광역시 강서구 대저1동,중상사고,0,2,0,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,33세,상해없음,승용,남,60세,중상
2022010200100198,2022년 1월 2일 16시,일요일,경상남도 밀양시 산외면,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승합,여,52세,상해없음,보행자,남,29세,경상
2022010500100334,2022년 1월 5일 18시,수요일,경상북도 경산시 남천면,중상사고,0,1,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,69세,중상,화물,남,65세,경상
2022010700100500,2022년 1월 7일 19시,금요일,대구광역시 수성구 시지동,중상사고,0,3,0,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,29세,상해없음,승용,여,26세,중상
2022010800100261,2022년 1월 8일 14시,토요일,대구광역시 수성구 대흥동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,27세,상해없음,승용,남,27세,경상
2022011300100169,2022년 1월 13일 11시,목요일,경상남도 밀양시 상남면,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,화물,남,67세,기타불명,승용,남,30세,경상
2022011300100253,2022년 1월 13일 13시,목요일,경상북도 청도군 청도읍,중상사고,0,1,0,0,차대차 - 측면충돌,차로위반,건조,맑음,단일로 - 기타,승용,여,35세,상해없음,승용,여,25세,중상
2022011400100264,2022년 1월 14일 13시,금요일,경상북도 칠곡군 동명면,부상신고사고,0,0,0,1,차량단독 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,35세,부상신고,,,,
2022011600100292,2022년 1월 16일 19시,일요일,경상남도 김해시 대동면,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,45세,상해없음,승용,여,62세,상해없음
2022011600100337,2022년 1월 16일 21시,일요일,경상남도 김해시 대동면,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,화물,남,48세,상해없음,승용,남,22세,경상
2022011800100100,2022년 1월 18일 08시,화요일,대구광역시 동구 용계동,중상사고,0,2,2,0,차대차 - 측면충돌,신호위반,건조,맑음,단일로 - 기타,특수,남,61세,중상,승용,남,77세,경상
2022012200100166,2022년 1월 22일 12시,토요일,경상남도 김해시 대동면,경상사고,0,0,3,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,52세,상해없음,승용,남,32세,상해없음
