사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2022010200100021,2022년 1월 2일 05시,일요일,경상남도 양산시 물금읍,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,53세,상해없음,승용,남,28세,중상
2022012500100044,2022년 1월 25일 07시,화요일,경상남도 양산시 동면,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,61세,기타불명,승용,여,27세,경상
2022020100100249,2022년 2월 1일 23시,화요일,경상남도 양산시 다방동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,29세,상해없음,승용,여,31세,경상
2022032800100407,2022년 3월 28일 19시,월요일,경상남도 양산시 물금읍,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,58세,상해없음,승용,남,54세,상해없음
2022040600100431,2022년 4월 6일 19시,수요일,경상남도 양산시 물금읍,경상사고,0,0,1,1,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,38세,상해없음,승용,남,28세,경상
2022040800100417,2022년 4월 8일 17시,금요일,경상남도 양산시 물금읍,경상사고,0,0,2,0,차대차 - 기타,차로위반,건조,맑음,단일로 - 기타,화물,남,51세,상해없음,승합,남,42세,경상
2022041000100060,2022년 4월 10일 08시,일요일,경상남도 양산시 물금읍,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,67세,상해없음,승용,남,25세,경상
2022042600100367,2022년 4월 26일 16시,화요일,경상남도 양산시 다방동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,젖음/습기,비,단일로 - 기타,화물,남,47세,상해없음,화물,남,60세,경상
2022051600100137,2022년 5월 16일 09시,월요일,경상남도 김해시 대동면,경상사고,0,0,1,0,차대차 - 기타,기타,건조,맑음,단일로 - 기타,화물,남,75세,상해없음,승용,남,37세,경상
2022051700100040,2022년 5월 17일 06시,화요일,경상남도 김해시 대동면,사망사고,1,0,0,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,44세,사망,화물,남,53세,기타불명
2022060200100343,2022년 6월 2일 16시,목요일,경상남도 양산시 물금읍,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,45세,상해없음,화물,남,37세,경상
2022061400100341,2022년 6월 14일 15시,화요일,경상남도 양산시 다방동,경상사고,0,0,2,1,차대차 - 추돌,안전운전불이행,젖음/습기,비,단일로 - 기타,승용,여,64세,상해없음,화물,남,54세,경상
2022062800100055,2022년 6월 28일 07시,화요일,경상남도 양산시 다방동,부상신고사고,0,0,0,1,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,34세,상해없음,승용,남,49세,부상신고
2022080100100011,2022년 8월 1일 01시,월요일,경상남도 양산시 물금읍,경상사고,0,0,1,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 기타,승합,남,26세,상해없음,승용,남,27세,경상
2022083100100092,2022년 8월 31일 08시,수요일,경상남도 김해시 대동면,중상사고,0,1,5,0,차대차 - 측면충돌,안전거리미확보,젖음/습기,비,기타 - 기타,승용,남,44세,상해없음,승용,남,69세,경상
2022083100100154,2022년 8월 31일 10시,수요일,경상남도 양산시 물금읍,경상사고,0,0,2,0,차대차 - 기타,안전운전불이행,젖음/습기,비,단일로 - 기타,특수,남,63세,상해없음,승용,여,37세,경상
2022090200100378,2022년 9월 2일 15시,금요일,경상남도 양산시 동면,중상사고,0,1,1,0,차대차 - 측면충돌,중앙선침범,젖음/습기,비,단일로 - 기타,승용,여,38세,상해없음,화물,남,47세,경상
2022091000100170,2022년 9월 10일 13시,토요일,경상남도 김해시 대동면,중상사고,0,1,6,4,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,46세,부상신고,승용,남,58세,경상
2022091700100140,2022년 9월 17일 09시,토요일,경상남도 양산시 물금읍,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,화물,남,62세,상해없음,승용,여,53세,경상
2022092700100396,2022년 9월 27일 17시,화요일,경상남도 김해시 대동면,경상사고,0,0,2,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 기타,승합,남,40세,상해없음,승용,여,30세,경상
2022101500100240,2022년 10월 15일 13시,토요일,경상남도 김해시 대동면,경상사고,0,0,4,1,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 터널,승용,남,48세,상해없음,승용,여,40세,경상
2022102200100433,2022년 10월 22일 17시,토요일,경상남도 양산시 물금읍,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,45세,상해없음,승용,남,51세,경상
2022102700100258,2022년 10월 27일 12시,목요일,경상남도 양산시 다방동,경상사고,0,0,1,1,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,59세,상해없음,화물,남,71세,부상신고
2022110400100705,2022년 11월 4일 21시,금요일,경상남도 김해시 대동면,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,26세,상해없음,승용,남,70세,중상
2022110600100178,2022년 11월 6일 12시,일요일,경상남도 양산시 다방동,경상사고,0,0,2,2,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,49세,상해없음,승용,남,44세,경상
2022111600100332,2022년 11월 16일 14시,수요일,경상남도 양산시 동면,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,여,39세,상해없음,승용,여,35세,경상
2022112300100468,2022년 11월 23일 19시,수요일,경상남도 양산시 물금읍,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,건조,맑음,기타 - 기타,승용,남,52세,상해없음,승용,여,27세,경상
2022112600100055,2022년 11월 26일 04시,토요일,경상남도 양산시 물금읍,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,37세,상해없음,승용,남,31세,중상
2022120700100057,2022년 12월 7일 07시,수요일,경상남도 양산시 물금읍,경상사고,0,0,2,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,56세,상해없음,승용,남,73세,경상
