사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2022011600100365,2022년 1월 16일 22시,일요일,충청남도 공주시 정안면,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,56세,상해없음,승용,남,52세,경상
2022020200100049,2022년 2월 2일 10시,수요일,충청남도 논산시 광석면,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,29세,상해없음,승용,남,65세,경상
2022022100100073,2022년 2월 21일 08시,월요일,충청남도 공주시 이인면,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,기타 - 기타,승용,남,56세,기타불명,화물,남,56세,경상
2022022200100050,2022년 2월 22일 07시,화요일,충청남도 천안시 동남구 풍세면,경상사고,0,0,1,0,차대차 - 추돌,차로위반,건조,맑음,단일로 - 기타,승용,여,50세,상해없음,승용,남,50세,경상
2022022300100219,2022년 2월 23일 14시,수요일,충청남도 공주시 정안면,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,25세,상해없음,화물,남,59세,경상
2022030500100136,2022년 3월 5일 11시,토요일,충청남도 논산시 채운면,경상사고,0,0,2,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,62세,상해없음,승용,남,45세,경상
2022030700100423,2022년 3월 7일 23시,월요일,충청남도 공주시 태봉동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,62세,상해없음,화물,남,56세,경상
2022031300100179,2022년 3월 13일 16시,일요일,충청남도 천안시 동남구 광덕면,경상사고,0,0,2,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 터널,승용,남,65세,상해없음,승용,여,51세,경상
2022032000100193,2022년 3월 20일 17시,일요일,충청남도 천안시 동남구 광덕면,경상사고,0,0,7,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,33세,상해없음,승용,남,69세,경상
2022032500100411,2022년 3월 25일 19시,금요일,충청남도 공주시 정안면,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,젖음/습기,비,단일로 - 기타,승용,남,53세,상해없음,화물,남,51세,경상
2022032500100455,2022년 3월 25일 20시,금요일,충청남도 공주시 정안면,경상사고,0,0,2,0,차대차 - 측면충돌,안전운전불이행,젖음/습기,비,단일로 - 기타,승용,남,23세,상해없음,승용,남,29세,경상
2022032700100084,2022년 3월 27일 11시,일요일,충청남도 공주시 정안면,중상사고,0,3,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,66세,중상,승용,남,47세,상해없음
2022050900100616,2022년 5월 9일 23시,월요일,충청남도 논산시 채운면,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,53세,상해없음,화물,남,60세,중상
2022052800100156,2022년 5월 28일 10시,토요일,충청남도 공주시 정안면,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,72세,상해없음,승용,남,69세,경상
2022053100100274,2022년 5월 31일 12시,화요일,충청남도 공주시 이인면,경상사고,0,0,3,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,71세,상해없음,승용,남,57세,경상
