사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2022010300100266,2022년 1월 3일 13시,월요일,전라북도 무주군 안성면,중상사고,0,2,0,0,차대차 - 추돌,기타,건조,맑음,단일로 - 기타,화물,남,63세,상해없음,승용,남,29세,중상
2022010300100345,2022년 1월 3일 15시,월요일,경상남도 고성군 마암면,사망사고,1,1,0,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,47세,사망,화물,남,44세,중상
2022010400100025,2022년 1월 4일 06시,화요일,대전광역시 동구 가오동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,64세,상해없음,승용,남,61세,경상
2022011800100537,2022년 1월 18일 19시,화요일,경상남도 진주시 판문동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,61세,상해없음,특수,남,50세,경상
2022020400100025,2022년 2월 4일 06시,금요일,전라북도 장수군 계북면,중상사고,0,1,0,0,차대차 - 추돌,기타,건조,맑음,기타 - 기타,승용,남,35세,상해없음,화물,남,40세,중상
2022021000100326,2022년 2월 10일 17시,목요일,전라북도 장수군 장계면,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 터널,건설기계,남,44세,상해없음,화물,남,66세,중상
2022022400100319,2022년 2월 24일 16시,목요일,경상남도 함양군 지곡면,중상사고,0,2,3,0,차대차 - 추돌,기타,건조,맑음,단일로 - 기타,승용,남,29세,경상,승용,남,37세,중상
2022032800100447,2022년 3월 28일 20시,월요일,전라북도 무주군 무주읍,사망사고,1,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,62세,상해없음,화물,남,74세,사망
2022042700100471,2022년 4월 27일 18시,수요일,대전광역시 동구 삼정동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,기타 - 기타,화물,남,51세,상해없음,화물,남,58세,경상
2022043000100387,2022년 4월 30일 17시,토요일,대전광역시 동구 구도동,경상사고,0,0,2,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,기타 - 기타,화물,남,55세,상해없음,승용,남,34세,경상
2022050800100413,2022년 5월 8일 20시,일요일,경상남도 함양군 서상면,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,53세,상해없음,승용,남,36세,중상
2022061200100064,2022년 6월 12일 06시,일요일,경상남도 통영시 용남면,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,37세,상해없음,승용,남,50세,경상
2022071700100186,2022년 7월 17일 13시,일요일,전라북도 장수군 계북면,경상사고,0,0,8,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,50세,상해없음,승용,남,50세,경상
2022080300100190,2022년 8월 3일 11시,수요일,경상남도 통영시 광도면,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,63세,상해없음,승용,남,57세,경상
2022080500100418,2022년 8월 5일 17시,금요일,경상남도 함양군 서상면,사망사고,1,0,0,0,차량단독 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,67세,사망,,,,
2022081900100176,2022년 8월 19일 10시,금요일,경상남도 산청군 생초면,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,특수,남,43세,경상,승용,여,52세,경상
2022091300100256,2022년 9월 13일 14시,화요일,충청남도 금산군 군북면,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,주차장 - 주차장,승용,여,45세,상해없음,승용,여,36세,경상
2022092100100327,2022년 9월 21일 14시,수요일,대전광역시 동구 삼괴동,중상사고,0,1,7,0,차대차 - 추돌,안전운전불이행,건조,맑음,기타 - 기타,화물,남,58세,상해없음,승용,남,63세,경상
2022100300100012,2022년 10월 3일 00시,월요일,경상남도 산청군 생초면,중상사고,0,4,0,0,차대차 - 정면충돌,중앙선침범,건조,맑음,단일로 - 기타,승용,남,39세,중상,승용,남,47세,중상
2022100400100037,2022년 10월 4일 05시,화요일,경상남도 고성군 영오면,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,22세,상해없음,화물,남,41세,중상
2022100600100029,2022년 10월 6일 05시,목요일,전라북도 무주군 안성면,사망사고,1,1,0,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,62세,상해없음,화물,남,56세,사망
2022110200100616,2022년 11월 2일 23시,수요일,경상남도 산청군 단성면,중상사고,0,1,0,0,차대차 - 추돌,기타,건조,맑음,단일로 - 기타,승용,남,43세,상해없음,승용,남,64세,중상
2022110500100012,2022년 11월 5일 00시,토요일,경상남도 진주시 정촌면,경상사고,0,0,1,0,차대차 - 기타,중앙선침범,건조,맑음,단일로 - 기타,기타불명,기타불명,미분류,기타불명,승용,남,27세,경상
2022111000100304,2022년 11월 10일 14시,목요일,대전광역시 동구 비룡동,사망사고,1,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,화물,남,66세,사망,건설기계,남,52세,경상
2022120200100350,2022년 12월 2일 15시,금요일,경상남도 고성군 거류면,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,54세,상해없음,승용,남,25세,경상
2022121100100056,2022년 12월 11일 06시,일요일,경상남도 산청군 금서면,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,35세,상해없음,승용,여,53세,경상
2022121600100038,2022년 12월 16일 04시,금요일,경상남도 고성군 거류면,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,34세,상해없음,화물,남,49세,중상
