사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2022011400100449,2022년 1월 14일 18시,금요일,경기도 화성시 장안면,중상사고,0,2,1,0,차대차 - 기타,안전운전불이행,젖음/습기,맑음,단일로 - 기타,승용,여,59세,중상,화물,남,60세,중상
2022021600100204,2022년 2월 16일 14시,수요일,경기도 시흥시 죽율동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 교량,건설기계,남,43세,상해없음,승용,남,43세,경상
2022022200100126,2022년 2월 22일 10시,화요일,경기도 화성시 송산면,사망사고,1,0,0,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,54세,상해없음,승용,남,55세,사망
2022022800100357,2022년 2월 28일 17시,월요일,경기도 화성시 장안면,경상사고,0,0,3,0,차대차 - 기타,기타,건조,맑음,단일로 - 기타,기타불명,기타불명,미분류,기타불명,기타불명,기타불명,미분류,기타불명
2022030700100044,2022년 3월 7일 07시,월요일,경기도 안산시 단원구 초지동,중상사고,0,1,1,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 기타,승합,남,48세,상해없음,승용,남,51세,경상
2022040100100497,2022년 4월 1일 21시,금요일,경기도 화성시 장안면,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,53세,상해없음,승용,남,60세,상해없음
2022041000100189,2022년 4월 10일 13시,일요일,경기도 화성시 마도면,경상사고,0,0,3,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,26세,상해없음,승합,남,51세,경상
2022041600100356,2022년 4월 16일 15시,토요일,경기도 화성시 남양읍,경상사고,0,0,1,1,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,40세,부상신고,승용,남,58세,상해없음
2022041600100357,2022년 4월 16일 15시,토요일,경기도 화성시 장안면,경상사고,0,0,2,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,54세,상해없음,승용,남,30세,경상
2022042800100146,2022년 4월 28일 09시,목요일,경기도 안산시 단원구 신길동,중상사고,0,1,1,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,화물,남,61세,중상,승용,남,52세,경상
2022051200100009,2022년 5월 12일 00시,목요일,경기도 화성시 남양읍,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,28세,상해없음,승용,남,32세,상해없음
2022052900100311,2022년 5월 29일 16시,일요일,경기도 안산시 단원구 신길동,경상사고,0,0,1,1,차대차 - 기타,기타,건조,맑음,단일로 - 기타,화물,남,63세,상해없음,승용,여,36세,경상
2022060100100391,2022년 6월 1일 16시,수요일,경기도 화성시 송산면,경상사고,0,0,2,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,18세,상해없음,승용,남,69세,경상
2022060300100551,2022년 6월 3일 20시,금요일,경기도 화성시 장안면,경상사고,0,0,1,0,차대차 - 추돌,중앙선침범,건조,맑음,단일로 - 기타,승용,남,59세,상해없음,승용,여,25세,경상
2022060700100020,2022년 6월 7일 04시,화요일,경기도 평택시 청북읍,경상사고,0,0,2,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,28세,상해없음,승용,남,68세,경상
2022060800100433,2022년 6월 8일 18시,수요일,경기도 화성시 마도면,중상사고,0,1,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,61세,상해없음,승합,남,58세,중상
2022060800100450,2022년 6월 8일 18시,수요일,경기도 화성시 마도면,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,여,57세,상해없음,화물,남,48세,경상
2022062000100040,2022년 6월 20일 05시,월요일,경기도 안산시 단원구 신길동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,36세,상해없음,화물,남,56세,경상
2022070200100474,2022년 7월 2일 18시,토요일,경기도 화성시 송산면,경상사고,0,0,2,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,44세,경상,화물,남,56세,경상
2022071500100169,2022년 7월 15일 10시,금요일,경기도 안산시 단원구 신길동,경상사고,0,0,1,0,차대차 - 추돌,차로위반,건조,맑음,단일로 - 기타,승용,여,41세,상해없음,화물,남,65세,경상
2022072000100120,2022년 7월 20일 08시,수요일,경기도 안산시 단원구 신길동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,화물,남,57세,상해없음,승용,남,22세,경상
2022072600100225,2022년 7월 26일 11시,화요일,경기도 시흥시 죽율동,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 교량,화물,남,27세,경상,화물,남,54세,상해없음
2022073000100030,2022년 7월 30일 01시,토요일,경기도 화성시 송산면,경상사고,0,0,3,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,화물,남,62세,상해없음,승용,남,53세,경상
2022080300100079,2022년 8월 3일 07시,수요일,경기도 화성시 장안면,중상사고,0,1,0,1,차대차 - 기타,안전거리미확보,젖음/습기,비,단일로 - 기타,승용,남,48세,부상신고,특수,남,54세,중상
2022083000100550,2022년 8월 30일 21시,화요일,경기도 화성시 장안면,사망사고,1,2,3,0,차대차 - 기타,안전운전불이행,젖음/습기,비,단일로 - 기타,화물,남,52세,상해없음,화물,남,61세,중상
2022090300100234,2022년 9월 3일 11시,토요일,경기도 화성시 마도면,경상사고,0,0,3,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,55세,상해없음,승용,여,37세,경상
2022090800100048,2022년 9월 8일 05시,목요일,경기도 안산시 단원구 성곡동,중상사고,0,1,0,1,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 교량,화물,남,43세,중상,특수,남,47세,부상신고
2022091000100312,2022년 9월 10일 19시,토요일,경기도 화성시 마도면,경상사고,0,0,2,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,기타불명,미분류,기타불명,승용,남,54세,경상
2022091200100207,2022년 9월 12일 14시,월요일,경기도 화성시 송산면,경상사고,0,0,5,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 교량,승용,남,26세,상해없음,승용,남,39세,경상
2022091900100026,2022년 9월 19일 04시,월요일,경기도 화성시 장안면,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,54세,상해없음,특수,남,65세,상해없음
2022092100100231,2022년 9월 21일 11시,수요일,경기도 화성시 마도면,중상사고,0,2,4,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 교량,화물,남,62세,상해없음,화물,남,45세,중상
2022092400100065,2022년 9월 24일 06시,토요일,경기도 시흥시 죽율동,경상사고,0,0,4,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,30세,상해없음,승용,남,41세,경상
2022092700100229,2022년 9월 27일 12시,화요일,경기도 화성시 남양읍,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,55세,중상,특수,남,66세,상해없음
2022100200100029,2022년 10월 2일 01시,일요일,경기도 화성시 송산면,경상사고,0,0,2,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,48세,상해없음,승용,남,43세,경상
2022100500100301,2022년 10월 5일 14시,수요일,경기도 시흥시 죽율동,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,건조,맑음,기타 - 기타,특수,남,59세,상해없음,승용,남,34세,경상
2022101500100576,2022년 10월 15일 21시,토요일,경기도 화성시 송산면,경상사고,0,0,4,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,기타불명,미분류,기타불명,승용,남,59세,경상
2022101900100446,2022년 10월 19일 17시,수요일,경기도 화성시 남양읍,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,40세,상해없음,승용,여,52세,경상
2022102200100166,2022년 10월 22일 10시,토요일,경기도 화성시 우정읍,경상사고,0,0,2,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,42세,상해없음,화물,남,52세,경상
