사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2022012400100023,2022년 1월 24일 05시,월요일,경기도 평택시 청룡동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,82세,상해없음,승용,남,60세,경상
2022012700100292,2022년 1월 27일 15시,목요일,경기도 평택시 청북읍,중상사고,0,2,0,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,60세,중상,화물,남,47세,상해없음
2022012900100010,2022년 1월 29일 00시,토요일,경기도 평택시 청북읍,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,22세,상해없음,승용,남,41세,경상
2022012900100141,2022년 1월 29일 12시,토요일,경기도 안성시 원곡면,경상사고,0,0,2,6,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,54세,상해없음,승용,남,34세,경상
2022012900100178,2022년 1월 29일 13시,토요일,경기도 안성시 원곡면,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,23세,상해없음,승용,남,31세,경상
2022020800100359,2022년 2월 8일 18시,화요일,경기도 안성시 원곡면,중상사고,0,1,5,3,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,60세,상해없음,화물,남,49세,중상
2022021300100025,2022년 2월 13일 06시,일요일,경기도 평택시 청북읍,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,64세,상해없음,화물,여,63세,상해없음
2022021800100134,2022년 2월 18일 10시,금요일,경기도 평택시 청북읍,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,61세,상해없음,화물,남,44세,경상
2022022100100121,2022년 2월 21일 10시,월요일,경기도 평택시 오성면,경상사고,0,0,3,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,기타 - 기타,화물,남,53세,상해없음,승용,남,65세,경상
2022022600100104,2022년 2월 26일 10시,토요일,충청북도 충주시 산척면,경상사고,0,0,2,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,승합,남,63세,상해없음,승용,남,38세,경상
