사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2022012200100076,2022년 1월 22일 09시,토요일,경기도 평택시 청북읍,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,승합,남,53세,상해없음,승용,여,50세,경상
2022031300100052,2022년 3월 13일 09시,일요일,경기도 화성시 정남면,경상사고,0,0,2,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,38세,상해없음,승용,남,59세,경상
2022031500100125,2022년 3월 15일 10시,화요일,경기도 평택시 청북읍,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,29세,상해없음,승용,남,33세,경상
2022032200100386,2022년 3월 22일 20시,화요일,경기도 평택시 오성면,경상사고,0,0,3,0,차대차 - 추돌,안전운전불이행,건조,맑음,기타 - 기타,화물,남,58세,상해없음,승용,여,48세,경상
2022040900100032,2022년 4월 9일 01시,토요일,경기도 화성시 정남면,경상사고,0,0,1,0,차대차 - 기타,기타,건조,맑음,단일로 - 기타,승용,남,29세,상해없음,건설기계,남,54세,상해없음
2022041500100055,2022년 4월 15일 07시,금요일,경기도 화성시 양감면,경상사고,0,0,2,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,42세,기타불명,승용,여,30세,경상
2022052800100235,2022년 5월 28일 12시,토요일,경기도 평택시 청북읍,경상사고,0,0,2,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,여,49세,상해없음,승용,남,32세,경상
2022062000100156,2022년 6월 20일 09시,월요일,경기도 화성시 정남면,경상사고,0,0,1,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 기타,승합,남,28세,상해없음,승용,남,38세,경상
2022062200100100,2022년 6월 22일 08시,수요일,경기도 평택시 청북읍,중상사고,0,1,1,0,차대차 - 기타,차로위반,건조,맑음,단일로 - 기타,화물,남,40세,경상,승용,남,53세,중상
2022062500100249,2022년 6월 25일 12시,토요일,경기도 화성시 양감면,경상사고,0,0,3,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,54세,상해없음,승용,남,32세,경상
