사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2022011100100175,2022년 1월 11일 11시,화요일,대전광역시 유성구 장대동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,60세,상해없음,승용,남,33세,경상
2022011300100085,2022년 1월 13일 08시,목요일,대전광역시 유성구 장대동,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,젖음/습기,맑음,기타 - 기타,화물,남,60세,상해없음,승용,남,38세,중상
2022011900100145,2022년 1월 19일 10시,수요일,대전광역시 유성구 장대동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,기타 - 기타,승용,여,16세,상해없음,승용,여,29세,경상
2022012700100408,2022년 1월 27일 18시,목요일,대전광역시 유성구 원내동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,23세,상해없음,승용,남,30세,경상
2022020200100059,2022년 2월 2일 11시,수요일,대전광역시 유성구 교촌동,경상사고,0,0,3,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,31세,경상,승용,여,44세,경상
2022020600100087,2022년 2월 6일 13시,일요일,대전광역시 유성구 장대동,경상사고,0,0,3,0,차대차 - 기타,기타,건조,맑음,단일로 - 기타,화물,남,63세,상해없음,승용,남,40세,경상
2022021000100090,2022년 2월 10일 09시,목요일,대전광역시 유성구 방동,경상사고,0,0,1,0,차대차 - 기타,기타,건조,맑음,단일로 - 기타,승용,남,24세,상해없음,승용,남,33세,경상
2022032400100217,2022년 3월 24일 14시,목요일,대전광역시 유성구 화암동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,화물,남,54세,상해없음,승용,여,57세,경상
2022042100100542,2022년 4월 21일 22시,목요일,대전광역시 유성구 탑립동,경상사고,0,0,2,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,77세,상해없음,승용,남,23세,경상
2022042200100479,2022년 4월 22일 19시,금요일,충청남도 논산시 벌곡면,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,26세,상해없음,승용,남,27세,경상
2022042600100466,2022년 4월 26일 19시,화요일,충청남도 논산시 가야곡면,경상사고,0,0,4,3,차대차 - 기타,기타,건조,맑음,단일로 - 기타,화물,남,61세,상해없음,승용,여,55세,부상신고
2022042700100263,2022년 4월 27일 13시,수요일,대전광역시 유성구 화암동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,기타 - 기타,승용,여,50세,상해없음,승용,남,40세,경상
2022042800100029,2022년 4월 28일 04시,목요일,대전광역시 유성구 관평동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,37세,상해없음,승용,남,31세,상해없음
2022050900100361,2022년 5월 9일 15시,월요일,대전광역시 유성구 전민동,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,화물,남,48세,상해없음,승용,남,42세,경상
2022050900100413,2022년 5월 9일 16시,월요일,대전광역시 유성구 화암동,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,34세,상해없음,승용,남,30세,중상
2022051400100502,2022년 5월 14일 18시,토요일,충청남도 논산시 벌곡면,경상사고,0,0,4,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,21세,상해없음,승용,여,26세,경상
2022060600100466,2022년 6월 6일 22시,월요일,대전광역시 유성구 장대동,경상사고,0,0,2,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로부근,특수,남,48세,상해없음,승용,남,41세,경상
2022062500100078,2022년 6월 25일 07시,토요일,대전광역시 유성구 문지동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,23세,상해없음,승용,남,47세,경상
2022062700100101,2022년 6월 27일 08시,월요일,대전광역시 유성구 구암동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,53세,상해없음,승용,여,29세,경상
2022070100100185,2022년 7월 1일 10시,금요일,충청남도 논산시 가야곡면,경상사고,0,0,2,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,25세,기타불명,승용,남,39세,경상
2022070300100405,2022년 7월 3일 20시,일요일,대전광역시 유성구 전민동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,젖음/습기,비,단일로 - 기타,기타불명,기타불명,미분류,기타불명,승용,남,36세,경상
2022071700100050,2022년 7월 17일 04시,일요일,대전광역시 유성구 하기동,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,22세,상해없음,화물,남,68세,중상
2022071700100185,2022년 7월 17일 13시,일요일,충청남도 논산시 연무읍,사망사고,1,1,0,0,차량단독 - 전도전복 - 전복,안전운전불이행,건조,맑음,기타 - 기타,승용,여,47세,중상,,,,
2022083000100367,2022년 8월 30일 16시,화요일,대전광역시 유성구 장대동,경상사고,0,0,1,1,차대차 - 추돌,안전운전불이행,젖음/습기,비,단일로 - 기타,화물,남,51세,상해없음,승용,여,36세,경상
2022091000100180,2022년 9월 10일 13시,토요일,대전광역시 유성구 장대동,경상사고,0,0,6,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,47세,상해없음,승용,남,37세,경상
2022091700100211,2022년 9월 17일 11시,토요일,대전광역시 유성구 방현동,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,25세,상해없음,승용,남,41세,경상
2022092200100077,2022년 9월 22일 07시,목요일,대전광역시 대덕구 신대동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,기타 - 기타,승용,남,83세,상해없음,승용,남,45세,상해없음
2022103000100282,2022년 10월 30일 15시,일요일,대전광역시 유성구 죽동,중상사고,0,3,0,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,27세,상해없음,승용,여,52세,중상
2022110100100536,2022년 11월 1일 19시,화요일,대전광역시 유성구 장대동,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,기타 - 기타,승용,여,65세,상해없음,승용,여,59세,경상
