POI_SN,POI_TY_CODE,ROAD_TY,ROAD_NO,POI_NM,BEGIN_MAP_X_CRDNT,BEGIN_MAP_Y_CRDNT,END_MAP_X_CRDNT,END_MAP_Y_CRDNT,BEGIN_ADRES,END_ADRES,DRC_NM,SCTN_LT,LINK_ID,REMARK,USE_AT,REGISTER_ID,REGIST_DT,UPDUSR_ID,UPDT_DT,DSTRCT_ID,LEDCD,CENTER_MAP_Y_CRDNT,CENTER_MAP_X_CRDNT
2020130001,202,101,50,진부IC~대관령IC(13km),128.565088,37.653382,128.560973,37.65152,진부IC,대관령IC,양방향,13,,,Y,SYS,2011-05-20 20:11,,,105,4276036000,37.67157,128.62879
2020130002,202,101,50,대관령IC~강릉JCT(22km),128.694768,37.678828,128.834405,37.774385,대관령IC,강릉JCT,양방향,22,,,Y,SYS,2011-05-20 20:11,,,105,4276038000,37.71691,128.77446
2020130003,202,101,55,횡성IC~홍천IC(25km),127.968496,37.504077,127.856127,37.678141,횡성IC,홍천IC,양방향,25,,,Y,SYS,2011-05-20 20:11,,,105,4272025000,37.611,127.96014
2020130004,202,101,55,홍천IC~춘천IC(26km),127.856176,37.676994,127.766289,37.842418,홍천IC,춘천IC,양방향,26,,,Y,SYS,2011-05-20 20:11,,,105,4272025000,37.71278,127.8229
2020130005,202,101,40,남한강대교~동충주IC(4km),127.885049,37.068853,127.929373,37.065562,남한강대교,동충주IC,양방향,4,,,Y,SYS,2011-05-20 20:11,,,131,4313042000,37.066847,127.903233
2020130006,202,101,35,증평IC~진천IC(12km),127.501502,36.771636,127.474826,36.869215,증평IC,진천IC,양방향,12,,,Y,SYS,2011-05-20 20:11,,,131,4311425300,36.81872,127.49124
2020130007,202,101,15,"서해대교(9km, 대형사고)",126.808826,36.942903,126.790766,36.942377,서해대교,서해대교,양방향,9,,,Y,SYS,2011-05-20 20:11,,,133,4427038000,36.943196,126.811597
2020130008,202,101,1,금강SA〜옥천IC(6km),127.662446,36.279756,127.556601,36.317509,금강SA,옥천IC,양방향,6,,,Y,SYS,2011-05-20 20:11,,,131,4373031000,36.29324,127.60889
2020130009,202,101,30,"고덕IC~예산IC(12km, 신규)",126.7053,36.762079,126.776267,36.676181,고덕IC,예산IC,양방향,12,,,Y,SYS,2011-05-20 20:11,,,133,4481038000,36.72118,126.74749
2020130010,202,101,30,"예산IC~신양IC(12.5km, 신규)",126.776055,36.67612,126.867848,36.595516,예산IC,신양IC,양방향,12.5,,,Y,SYS,2011-05-20 20:11,,,133,4481040000,36.64728,126.82632
