구간 번호,관리청,도로 분류,대표지역,도로(노선)명,총길이(km),기점_위도(WGS84(4326)),기점_경도(WGS84(4326)),종점_위도(WGS84(4326)),종점_경도(WGS84(4326)),정북기준 도로방향 각도(x1),정북기준 도로방향 각도(y1),정북기준 도로방향 각도(기점 기준십진수 방위각)
11000-2,서울특별시 서부도로사업소,시도,서울특별시 용산구,원효대교,0.38,37.529863,126.951035,37.531047,126.950911,0.000124,-0.001184,275.978776
11000-3,서울특별시 서부도로사업소,시도,서울특별시 용산구,원효대교,0.38,37.523366,126.93845,37.523919,126.936486,0.001964,-0.000553,344.274467
11000-4,서울특별시 서부도로사업소,시도,서울특별시 마포구,양화대교,1.03,37.538894,126.899952,37.5398,126.897954,0.001998,-0.000906,335.6079201
11000-5,서울특별시 서부도로사업소,시도,서울특별시 마포구,양화대교,1.03,37.458528,126.910335,37.549259,126.905137,0.005198,-0.090731,273.2789043
11000-6,서울특별시 서부도로사업소,시도,서울특별시 마포구,마포대교,1.9,37.538153,126.94353,37.538298,126.940193,0.003337,-0.000145,357.5119373
11000-7,서울특별시 서부도로사업소,시도,서울특별시 마포구,서강대교,0.45,37.543874,126.926267,37.542917,126.928745,-0.002478,0.000957,158.8835116
11000-8,서울특별시 서부도로사업소,시도,서울특별시 서대문구,성산로,0.19,37.571288,126.957048,37.57115,126.954791,0.002257,0.000138,3.498886334
11000-9,서울특별시 서부도로사업소,시도,서울특별시 서대문구,성산로,0.32,37.56681,126.947218,37.568723,126.948782,-0.001564,-0.001913,230.7318023
11000-10,서울특별시 서부도로사업소,시도,서울특별시 용산구,서빙고로,0.17,37.520942,126.998271,37.52669,127.0041,-0.005829,-0.005748,224.5991291
11000-11,서울특별시 서부도로사업소,시도,서울특별시 용산구,강변북로,0.05,37.519359,126.96784,37.520177,126.965842,0.001998,-0.000818,337.7353456
11000-12,서울특별시 서부도로사업소,시도,서울특별시 서대문구,통일로,0.63,37.580518,126.951715,37.576685,126.955553,-0.003838,0.003833,135.0373457
11000-13,서울특별시 서부도로사업소,시도,서울특별시 서대문구,신촌로,0.44,37.55546,126.937942,37.55746,126.955875,-0.017933,-0.002,186.3636855
11000-14,서울특별시 서부도로사업소,시도,서울특별시 은평구,통일로,0.6,37.598774,126.937349,37.596165,126.939185,-0.001836,0.002609,125.134737
11000-15,서울특별시 서부도로사업소,시도,서울특별시 은평구,통일로,0.57,37.616293,126.923797,37.611328,126.929098,-0.005301,0.004965,136.8745872
11000-16,서울특별시 서부도로사업소,시도,서울특별시 은평구,통일로,0.7,37.630495,126.919152,37.626835,126.919743,-0.000591,0.00366,99.17268258
11000-17,서울특별시 동부도로사업소,시도,서울특별시 송파구,송파대로,1.2,37.5184987,127.083119,37.52790112,127.0897541,-0.00663513,-0.009402421,234.7900258
11000-19,서울특별시 동부도로사업소,시도,서울특별시 송파구,강동대로,1.6,37.53242494,127.105359,37.53567065,127.0995152,0.00584382,-0.003245709,330.951822
11001-1,서울특별시 시설공단,시도,서울특별시 마포구,내부순환로,1.1,37.5613081,126.8974906,37.55355999,126.897453,0.0000376,0.00774812,89.72206823
11001-2,서울특별시 시설공단,시도,서울특별시 서대문구,내부순환로,2,37.58652759,126.9355258,37.59284684,126.9548049,-0.019279031,-0.006319246,198.1480166
11001-3,서울특별시 시설공단,시도,서울특별시 성북구,내부순환로,2.91,37.608474,126.999593,37.604646,127.02879,-0.029197,0.003828,172.5305914
11001-4,서울특별시 시설공단,시도,서울특별시 성북구,내부순환로,0.7,37.60253538,127.0349405,37.60232276,127.0406078,-0.0056673,0.000212626,177.8513775
