#한국도로공사_결빙취약구간 현황_20230731

관리번호,본 부,지 사,노선,시점,종점,방향,연장(km)
1,수도권,인천,수도권제1순환선,92,93,양방향,1
2,수도권,시흥,서해안선,333,334,양방향,1
3,수도권,시흥,수도권제1순환선,96,97,양방향,1
4,수도권,군포,영동선,19,20,양방향,1
5,수도권,군포,영동선,33,34,양방향,1
6,수도권,군포,영동선,46,51,양방향,5
7,수도권,화성,평택제천선,20,21,양방향,1
8,수도권,화성,평택제천선,23,24,양방향,1
9,수도권,수원,경부선,366,369,양방향,3
10,수도권,수원,경부선,372,373,양방향,1
11,수도권,수원,경부선,409,412,양방향,3
12,수도권,수원,경부선,414,415,양방향,1
13,수도권,경기광주,중부선,331,333,양방향,2
14,수도권,동서울,수도권제1순환선,0,3,양방향,3
15,수도권,동서울,수도권제1순환선,125,128,양방향,3
16,강원,원주,영동선,96,98,양방향,2
17,강원,원주,영동선,119,121,양방향,2
18,강원,원주,영동선,137,138,양방향,1
19,강원,원주,영동선,147,151,양방향,4
20,강원,원주,영동선,154,156,양방향,2
21,강원,대관령,영동선,164,166,양방향,2
22,강원,대관령,영동선,172.22,173.22,양방향,1
23,강원,대관령,영동선,178.22,178.53,양방향,0.31
24,강원,대관령,영동선,192.98,193.82,양방향,0.84
25,강원,대관령,영동선,196.14,197.14,양방향,1
26,강원,대관령,영동선,206.14,211.14,양방향,5
27,강원,대관령,영동선,218.12,220.74,양방향,2.62
28,강원,대관령,영동선,223.92,228.92,양방향,5
29,강원,대관령,영동선,230.92,233.92,양방향,3
30,강원,홍천,중앙선,347,350,양방향,3
31,강원,홍천,중앙선,358,360,양방향,2
32,강원,홍천,중앙선,361,362,양방향,1
33,강원,홍천,중앙선,374,375,양방향,1
34,강원,홍천,중앙선,380,385,양방향,5
35,강원,춘천,서울양양선,63,66,양방향,3
36,강원,강릉,동해선,33,36,양방향,3
37,강원,강릉,동해선,42,43,양방향,1
38,강원,강릉,동해선,62,64,양방향,2
39,강원,강릉,동해선,89,90,양방향,1
40,강원,양양,동해선,109.2,111.2,양방향,2
41,강원,양양,서울양양선,127.9,128.1,양방향,0.2
42,강원,양양,서울양양선,139.02,140.02,양방향,1
43,강원,양양,서울양양선,148.51,150.51,양방향,2
44,강원,이천,영동선,67,68,양방향,1
45,강원,이천,중부내륙선,299,300,양방향,1
46,충북,진천,중부선,272,275,양방향,3
47,충북,진천,중부선,302,303,양방향,1
48,충북,진천,중부선,309,311,양방향,2
49,충북,진천,중부선,312,314,양방향,2
50,충북,제천,중앙선,255,257,양방향,2
51,충북,제천,중앙선,259,260,양방향,1
52,충북,제천,중앙선,266,268,양방향,2
53,충북,제천,중앙선,271,273,양방향,2
54,충북,제천,중앙선,275,280,양방향,5
55,충북,제천,중앙선,288,293,양방향,5
56,충북,제천,중앙선,296,302,양방향,6
57,충북,충주,중부내륙선,196,199,양방향,3
58,충북,충주,중부내륙선,240,242,양방향,2
59,충북,충주,중부내륙선,244,246,양방향,2
60,충북,보은,당진영덕선,5,6,양방향,1
61,충북,보은,당진영덕선,17,18,양방향,1
62,충북,보은,당진영덕선,20,21,양방향,1
63,충북,보은,당진영덕선,59,61,양방향,2
64,충북,보은,당진영덕선,68,71,양방향,3
65,충북,엄정,평택제천선,43,45,양방향,2
66,충북,엄정,평택제천선,70,72,양방향,2
67,충북,상주,중부내륙선,188,188.6,양방향,0.6
68,대전충남,천안,경부선,331.72,332.72,양방향,1
69,대전충남,대전,호남지선,39.38,41.38,양방향,2
70,대전충남,영동,경부선,242.8,247,양방향,4.2
71,대전충남,영동,대전남부순환선,10.13,11.13,양방향,1
72,대전충남,당진,당진영덕선,0,1,양방향,1
73,대전충남,당진,당진영덕선,4,5,양방향,1
74,대전충남,당진,서해안선,274.04,281.34,양방향,7.31
75,대전충남,공주,당진영덕선,16.98,17.98,양방향,1
76,대전충남,공주,당진영덕선,39.96,41.96,양방향,2
77,대전충남,공주,당진영덕선,53.77,56.47,양방향,2.7
78,대전충남,부여,서천공주선,42.25,43.49,양방향,1.24
79,대전충남,부여,서천공주선,46.49,47.69,양방향,1.2
80,전북,전주,호남선,115.4,117,양방향,1.6
81,전북,전주,호남선,132,133,양방향,1
82,전북,전주,호남선,171,172,양방향,1
83,전북,부안,서해안선,97.99,100.66,양방향,2.67
84,전북,부안,서해안선,142.42,144.68,양방향,2.26
85,전북,무주,통영대전선,125.5,134,양방향,8.5
86,전북,무주,통영대전선,155.61,158.11,양방향,2.5
87,전북,무주,통영대전선,172.58,173.58,양방향,1
88,전북,무주,통영대전선,174.58,175.58,양방향,1
89,전북,무주,통영대전선,199.18,201.06,양방향,1.88
90,전북,논산,호남지선,13,14,양방향,1
91,전북,논산,호남지선,24,27,양방향,3
92,전북,진안,새만금포항선,24.36,26.09,양방향,1.73
93,전북,진안,순천완주선,90.69,91.11,양방향,0.42
94,전북,진안,순천완주선,94.22,95.12,양방향,0.9
95, 전북,보령,서해안선,166.1,168.1,양방향,2
96, 전북,보령,서해안선,194.83,195.83,양방향,1
97,광주전남,광주,호남선,72,75,양방향,3
98,광주전남,광주,호남선,91.61,92.61,양방향,1
99,광주전남,광주,호남선,103,105,양방향,2
100,광주전남,광주,광주대구선,18,20,양방향,2
101,광주전남,담양,고창담양선,6,7,양방향,1
102,광주전남,담양,호남선,57,59,양방향,2
103,광주전남,순천,호남선,0,9,양방향,9
104,광주전남,순천,호남선,12,15,양방향,3
105,광주전남,순천,호남선,17,20,양방향,3
106,광주전남,순천,호남선,30,31,양방향,1
107,광주전남,순천,남해선,17,18,양방향,1
108,광주전남,함평,무안광주선,9,10,양방향,1
109,광주전남,함평,무안광주선,29,30,양방향,1
110,광주전남,함평,무안광주선,38.81,41.35,양방향,2.54
111,광주전남,구례,순천완주선,26,28,양방향,2
112,광주전남,구례,순천완주선,46.35,48,양방향,1.65
113,광주전남,구례,순천완주선,59,63,양방향,4
114,광주전남,구례,순천완주선,76,77,양방향,1
115,광주전남,구례,순천완주선,78,80,양방향,2
116,광주전남,보성,남해선,37,38,양방향,1
117,광주전남,보성,남해선,48,49,양방향,1
118,광주전남,남원,광주대구선,30,31,양방향,1
119,광주전남,남원,광주대구선,71.3,72.83,양방향,1.53
120,광주전남,남원,광주대구선,85.1,86.11,양방향,1.01
121,대구경북,구미,경부선,145,147,양방향,2
122,대구경북,구미,경부선,148,150,양방향,2
123,대구경북,구미,경부선,165,166,양방향,1
124,대구경북,구미,경부선,210,211,양방향,1
125,대구경북,대구,경부선,87,88,양방향,1
126,대구경북,대구,경부선,116,118,양방향,2
127,대구경북,군위,중앙선,122,128,양방향,6
128,대구경북,군위,중앙선,139,141,양방향,2
129,대구경북,군위,중앙선,144,146,양방향,2
130,대구경북,군위,중앙선,170,171.5,양방향,1.5
131,대구경북,영천,새만금포항선,1,2.3,양방향,1.3
132,대구경북,영천,새만금포항선,6,7.5,양방향,1.5
133,대구경북,영천,새만금포항선,13,17.3,양방향,4.3
134,대구경북,영천,새만금포항선,51,53,양방향,2
135,대구경북,영천,새만금포항선,54,55.2,양방향,1.2
136,대구경북,고령,광주대구선,102,103,양방향,1
137,대구경북,고령,광주대구선,156.7,158,양방향,1.3
138,대구경북,고령,광주대구선,171,171.84,양방향,0.84
139,대구경북,영주,중앙선,188,190,양방향,2
140,대구경북,영주,중앙선,194,195,양방향,1
141,대구경북,영주,중앙선,201,202,양방향,1
142,대구경북,영주,중앙선,203.98,209,양방향,5.02
143,대구경북,영주,중앙선,234,237,양방향,3
144,대구경북,영주,중앙선,243,247,양방향,4
145,대구경북,성주,중부내륙선,98,99,양방향,1
146,대구경북,성주,중부내륙선,109,110,양방향,1
147,대구경북,청송,당진영덕선,119,120.1,양방향,1.1
148,대구경북,청송,당진영덕선,155,156,양방향,1
149,대구경북,청송,당진영덕선,158,160,양방향,2
150,부산경남,울산,부산외곽선,43,44,양방향,1
151,부산경남,양산,부산외곽선,0,1,양방향,1
152,부산경남,창원,남해제1지선,1,4,양방향,3
153,부산경남,진주,남해선,36,39,양방향,3
154,부산경남,진주,남해선,44,45,양방향,1
155,부산경남,진주,남해선,98,99,양방향,1
156,부산경남,산청,통영대전선,87,88,양방향,1
157,부산경남,산청,통영대전선,121,123,양방향,2
158,부산경남,경주,부산포항선,47.2,49,양방향,1.8
159,부산경남,경주,부산포항선,83,84,양방향,1
160,부산경남,경주,부산포항선,93,94,양방향,1
161,부산경남,고성,통영대전선,39,40,양방향,1
162,부산경남,서울산,경부선,53,56,양방향,3
