routeName,routeNo,icCode,icName,xValue,yValue,상세주소
경부선,10,0010I00001,구서IC,129.09762,35.25071,"경부고속도로, 구서1동, 금정구, 부산광역시, 46230, 대한민국"
경부선,10,0010I00003,양산IC,129.053314,35.378218,"소토로, 상북면, 양산시, 경상남도, 50574, 대한민국"
경부선,10,0010I00004,통도사IC,129.097021,35.498747,"삼동로, 울주군, 울산광역시, 경상남도, 50503, 대한민국"
경부선,10,0010I00005,서울산IC,129.126636,35.553861,"진장길, 울주군, 울산광역시, 44953, 대한민국"
경부선,10,0010I00008,경주IC,129.187987,35.806331,"경부고속도로, 황남동, 내남면, 경주시, 경상북도, 38193, 대한민국"
경부선,10,0010I00009,건천IC,129.087849,35.843278,"건포산업로, 건천읍, 경주시, 경상북도, 38179, 대한민국"
경부선,10,0010I00010,영천IC,128.95146,35.92238,"경부고속도로, 본촌동, 남부동, 영천시, 경상북도, 38896, 대한민국"
경부선,10,0010I00011,경산IC,128.788225,35.878149,"경부고속도로, 진량읍, 경산시, 경상북도, 38487, 대한민국"
경부선,10,0010I00013,북대구IC,128.579858,35.906979,"조야로2길, 무태조야동, 북구, 대구광역시, 41478, 대한민국"
경부선,10,0010I00016,남구미IC,128.370149,36.068138,"경부고속도로, 오태동, 구미시, 경상북도, 39383, 대한민국"
경부선,10,0010I00017,구미IC,128.362376,36.107744,"경부고속도로, 광평동, 구미시, 경상북도, 39345, 대한민국"
경부선,10,0010I00019,김천IC,128.094609,36.13379,"경부고속도로, 김천시, 경상북도, 39629, 대한민국"
경부선,10,0010I00020,추풍령IC,128.00169,36.200379,"경부고속도로, 추풍령리, 김천시, 경상북도, 29120, 대한민국"
경부선,10,0010I00021,황간IC,127.908085,36.220617,"난계로, 마산리, 영동군, 충청북도, 29115, 대한민국"
경부선,10,0010I00022,영동IC,127.834783,36.270274,"경부고속도로, 상용리, 영동군, 충청북도, 29110, 대한민국"
경부선,10,0010I00023,금강IC,127.673348,36.279278,"경부고속도로, 조령리, 옥천군, 충청북도, 29022, 대한민국"
경부선,10,0010I00024,옥천IC,127.559532,36.317789,"경부고속도로, 서정리, 옥천군, 충청북도, 29038, 대한민국"
경부선,10,0010I00026,대전IC,127.452377,36.364235,"경부고속도로, 비래동, 대덕구, 대전광역시, 34414, 대한민국"
경부선,10,0010I00028,신탄진IC,127.420961,36.4408,"덕암북로4번길, 덕암동, 대덕구, 대전광역시, 34329, 대한민국"
경부선,10,0010I00029,남청주IC,127.432157,36.534315,"경부고속도로, 서원구, 청주시, 충청북도, 28182, 대한민국"
경부선,10,0010I00031,청주IC,127.385014,36.626784,"경부고속도로, 강내면, 흥덕구, 청주시, 충청북도, 28374, 대한민국"
경부선,10,0010I00032,목천IC,127.219247,36.75879,"성남로, 동남구, 천안시, 충청남도, 31234, 대한민국"
경부선,10,0010I00034,천안IC,127.171309,36.826284,"망향로, 동남구, 천안시, 충청남도, 31090, 대한민국"
경부선,10,0010I00035,안성IC,127.156069,36.994219,"원승두길, 승두리, 안성시, 경기도, 17552, 대한민국"
경부선,10,0010I00037,오산IC,127.086371,37.142691,"67-4, 부원로, 원동, 오산시, 경기도, 18149, 대한민국"
경부선,10,0010I00038,기흥IC,127.102657,37.223075,"고매동, 기흥구, 용인시, 경기도, 17086, 대한민국"
경부선,10,0010I00039,수원신갈IC,127.105614,37.266266,"신갈로, 기흥구, 용인시, 경기도, 17072, 대한민국"
경부선,10,0010I00043,대왕판교IC,127.091972,37.409462,"경부고속도로, 상적동, 수정구, 성남시, 경기도, 13473, 대한민국"
경부선,10,0010I00045,양재IC,127.042014,37.463229,"현대기아자동차빌딩, 양재대로, 양재동, 양재2동, 서초구, 서울특별시, 06772, 대한민국"
경부선,10,0010I00049,왜관IC,128.43469,35.977351,"경부고속도로, 연화리, 왜관읍, 칠곡군, 경상북도, 39889, 대한민국"
경부선,10,0010I00053,영천IC,128.950876,35.920798,"본촌산업단지, 남부동, 영천시, 경상북도, 38896, 대한민국"
경부선,10,0010I00054,판교IC,127.101818,37.397562,"운중천자전거3길, 삼평동, 분당구, 성남시, 경기도, 13487, 대한민국"
경부선,10,0010I00057,노포IC,129.10072,35.285107,"고분로93번길, 청룡노포동, 금정구, 부산광역시, 46213, 대한민국"
경부선,10,0010I00058,김천IC,128.09453,36.135315,"대학로, 삼락동, 김천시, 경상북도, 39524, 대한민국"
경부선,10,0010I00059,추풍령IC,128.004895,36.199818,"봉산로, 광천리, 김천시, 경상북도, 29120, 대한민국"
경부선,10,0010I00063,칠곡물류IC,128.457305,35.956801,"연화리, 지천면, 칠곡군, 경상북도, 39864, 대한민국"
경부선,10,0010I00066,기흥동탄IC,127.099472,37.216953,"영천동, 동탄5동, 화성시, 경기도, 18469, 대한민국"
경부선,10,0010I00089,동김천IC,128.17756,36.134976,"경부고속도로, 신촌리, 김천시, 경상북도, 39660, 대한민국"
경부선,10,0010I00092,북천안IC,127.191351,36.897397,"경부고속도로, 성거읍, 서북구, 천안시, 충청남도, 31041, 대한민국"
