시도명,시군구명,소재지 주소,설치 장소,제한속도
서울특별시,서초구,서울특별시 서초구 서초동 1370,서초레미안아파트 앞,80
서울특별시,서초구,서울특별시 서초구 서초동 1311-6,서초래미안스위트아파트 앞,80
서울특별시,서초구,서울특별시 서초구 원지동 94-1,양재대로 진출램프,40
부산광역시,울주군,울산광역시 울주군 삼남면 교동리 221-1,"경부고속도로 39.1KM(울산 울주군 삼남면 교동리 221-1, 서울→부산)",100
부산광역시,양산시,경상남도 양산시 상북면 석계리 61-72,"경부고속도로 22.2KM 지점(경남 양산시 상북면 석계리 61-72, 서울→부산)",100
부산광역시,양산시,경상남도 양산시 동면 석산리 94-3,"경부고속도로 12KM 지점(양산시 동면 석산리 94-3, 부산→서울)",100
부산광역시,울주군,울산광역시 울주군 언양읍 반곡리 산 67-2,"경부고속도로 44.8K 언양휴게소 1차로(울주군 언양읍 반곡리 산67-2, 부산→서울)",100
부산광역시,울주군,울산광역시 울주군 두서면 활천리 512-1,"경부고속도로 56.5K 활천IC 1차로(울주군 두서면 활천리 512-1, 부산→서울)",100
부산광역시,양산시,경상남도 양산시 신기동 146,경부고속도로 15.1K 양산분기점 2KM전(양산시 신기동 146),100
충청남도,천안시,충청남도 천안시 동남구 안서동 324-32,"천안시 동남구 안서동 324-32, 경부선 서울방향 341.2k 1,2차로 시점",110
충청남도,천안시,충청남도 천안시 서북구 입장면 가산리 433-1,"천안시 서북구 입장면 가산리 433-1, 경부선 서울방향 352.5k 1,2차로 종점",110
경상북도,칠곡군,경상북도 칠곡군 지천면 송정리 1163-2,"경부고속도로 149.2k 시점 1,2차로(칠곡군 지천면 송정리)(부산 방면)",100
경상북도,북구,대구광역시 북구 사수동 21,"경부고속도로 140.3k 종점 1,2차로(대구광역시 북구 사수동)(부산 방면)",100
경상북도,칠곡군,경상북도 칠곡군 왜관읍 아곡리 239-16,"경부고속도로 158k 시점 1,2차로(칠곡군 왜관읍 아곡리)(서울 방면)",100
경상북도,구미시,경상북도 구미시 오태동 산 39-4,"경부고속도로 166.1k 종점 1,2차로(구미시 오태동)(서울 방면)",100
경기도,안성시,경기도 안성시 공도읍 승두리 474-2,경부고속도로 358.8km 1차로(부산→서울)(안성시 승두리 474-2),110
경기도,용인시,경기도 용인시 기흥구 보라동 461-2,"경부고속도로 390.4km 시점 1,2차로(부산->서울)(용인시 보라동 461-2)",110
경기도,성남시,경기도 성남시 분당구 금곡동 266-2,"경부고속도로 401.8km 종점 1,2차로(부산->서울)(성남시 금곡동 266-2)",110
경기도,화성시,경기도 화성시 방교동 872-354,경부고속도로 380.6km(서울→부산)(화성시 방교리 872-354),110
경기도,성남시,경기도 성남시 수정구 금토동 167-1,경부고속도로 409.1km(서울→부산)(성남시 금토동 167-1),110
경기도,오산시,경기도 오산시 고현동 95,"경부고속도로 376.9km 시점 1,2차로(서울→부산)(오산시 고현동 95)",110
경기도,안성시,경기도 안성시 원곡면 외가천리 124-3,"경부고속도로 365.1km 종점 1,2차로(서울→부산)(안성시 외가천리 124-3)",110
충청남도,천안시,충청남도 천안시 동남구 구성동 153-77,경부선 335km 부산방향,100
충청남도,천안시,충청남도 천안시 동남구 원성동 9-20,경부선 338.4km 서울방향,100
경상북도,영천시,경상북도 영천시 금호읍 호남리 33-1,경부고속도로 101.1km 서울방향,100
경상북도,김천시,경상북도 김천시 아포읍 대신리 산 92-2,경부고속도로 188.9Km,100
경상북도,김천시,경상북도 김천시 봉산면 덕천리 746-21,경부고속도로205.3KM(서울->부산),100
경상북도,동구,대구광역시 동구 신평동 26-2,경부선 121km 시점 1차선(대구시 동구 율암동) (서울→부산),100
경상북도,경산시,경상북도 경산시 하양읍 청천리 73-1,경부선 115km 종점 1차선(경산시 하양읍 청천리) (서울→부산),100
경상북도,경산시,경상북도 경산시 하양읍 청천리 446-4,경부선 115km 시점 1차선(경산시 하양읍 청천리) (부산→서울),100
경상북도,동구,대구광역시 동구 율암동 산 8-2,경부선 121km 종점 1차선(대구시 동구 율암동) (부산→서울),100
경상북도,영천시,경상북도 영천시 북안면 옥천리 산 6-5,경부고속도로 88.6km 시점 1차선(영천시 북안면 서당리)(영천->경주),100
경상북도,경주시,경상북도 경주시 건천읍 신평리 산 30-4,경부고속도로 80.6km 종점 2차선(경주시 건천읍 신평리)(영천->경주),100
경상북도,문경시,경상북도 영천시 북안면 고지리 산92-2,문경시 동로면 금천로(적성리) 노은삼거리 전방500m(단양→문경),100
경상북도,영천시,경상북도 경주시 건천읍 신평리 산 91-2,경부고속도로 88.6Km 시점 3차선(영천시 북안면 서당리) (영천→경주),100
경상북도,안동시,경상북도 안동시 풍산읍 만운리 1393-3,중앙고속도로 199.4km(안동시 풍산읍 만운리)(영주→안동),100
경상북도,구미시,경상북도 칠곡군 석적읍 남율리 490-1,경부고속도로 171km(구미시 사곡동)(부산→서울),100
경상북도,동구,대구광역시 동구 방촌동 13-5,경부고속도로 124.1km(대구시 동구 방촌동)(서울→부산),60
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
