휴게소명,전화번호,편의시설,브랜드매장,경정비소,ex-화물차라운지,세차장,위도,경도
서울만남(부산 방향),02-578-3372,수유실,탐앤탐스 외 4,X,X,X,37.460043,127.042082
죽전(서울 방향),031-262-3168,"수유실,농산물판매장",파스쿠찌,X,X,O,37.332693,127.104855
기흥(부산 방향),031-286-5001,수유실,탐앤탐스 외 3,X,X,O,37.235336,127.104665
안성(서울 방향),031-611-5793,"수유실,수면실,샤워실,세탁실,농산물판매장,병원,쉼터,이발소",롯데리아 외 5,X,O,O,37.076695,127.131694
안성(부산 방향),031-655-0531,"수유실,샤워실,세탁실",드롭탑 외 5,X,X,X,37.013565,127.144833
망향(부산 방향),041-557-4000,"수유실,농산물판매장,쉼터",탐앤탐스 외 2,O,X,X,36.855546,127.180962
옥산(부산 방향),043-260-1053,"수유실,수면실,샤워실,이발소",할리스 외 2,O,O,X,36.657945,127.369868
천안삼거리(서울 방향),041-551-2480,"수유실,농산물판매장,약국,쉼터",탐앤탐스 외 3,X,X,O,36.789027,127.172414
천안호두(부산 방향),041-552-4560,"수유실,쉼터",탐앤탐스 외 2,X,X,X,36.730537,127.263419
죽암(서울 방향),043-260-8035,"수유실,쉼터",엔제리너스 외 3,O,X,X,36.497142,127.430853
죽암(부산 방향),043-269-0850,수유실,롯데리아 외 3,X,X,X,36.486897,127.429300
금강(부산 방향),043-731-2233,수유실,엔제리너스 외 1,O,X,X,36.278917,127.672021
옥천(서울 방향),043-731-8097,"수유실,농산물판매장",할리스 외 2,O,X,X,36.297794,127.598735
황간(서울 방향),043-742-7633,"수유실,농산물판매장",할리스 외 2,X,X,X,36.250464,127.854346
황간(부산 방향),043-742-5805,"수유실,농산물판매장",할리스 외 2,X,X,X,36.248122,127.853189
입장거봉포도(서울 방향),041-588-7868,"수유실,수면실,샤워실,세탁실,농산물판매장,쉼터,이발소",탐앤탐스 외 1,O,O,X,36.943247,127.192567
추풍령(서울 방향),054-439-3187,"수유실,수면실,샤워실,세탁실,농산물판매장,쉼터",할리스 외 2,O,O,X,36.200749,128.003482
추풍령(부산 방향),054-430-2000,"수유실,수면실,샤워실,세탁실,쉼터",할리스 외 2,O,O,X,36.200407,128.000349
칠곡(서울 방향),054-975-1883,"수유실,수면실,샤워실,세탁실,농산물판매장,쉼터",탐앤탐스 외 1,O,O,O,36.012146,128.430823
경산(서울 방향),053-852-5243,"수유실,수면실,샤워실,세탁실,쉼터",엔제리너스 외 3,X,O,X,35.878522,128.808581
평사(부산 방향),053-852-8651,"수유실,수면실,샤워실,세탁실,쉼터",엔제리너스 외 1,X,O,X,35.885683,128.867595
칠곡(부산 방향),054-975-2277,"수유실,수면실,샤워실,세탁실,농산물판매장,쉼터",탐앤탐스 외 1,X,O,X,36.017501,128.429696
건천(서울 방향),054-751-7401,"수유실,농산물판매장",탐앤탐스,X,X,X,35.832015,129.109271
건천(부산 방향),054-751-6890,수유실,엔제리너스 외 1,X,X,X,35.829997,129.109242
언양(서울 방향),052-263-6153,"수유실,수면실,샤워실,세탁실,쉼터",탐앤탐스 외 2,X,O,X,35.598040,129.141857
통도사(부산 방향),055-383-6145,"수유실,쉼터",탐앤탐스 외 1,X,X,X,35.489035,129.090685
신탄진(서울 방향),042-934-2442,"수유실,수면실,샤워실,쉼터",탐앤탐스 외 1,O,O,X,36.428390,127.418017
옥천(부산 방향),043-731-8521,"수유실,수면실,샤워실,세탁실,쉼터,이발소",엔제리너스 외 4,O,O,X,36.297035,127.595191
경주(부산 방향),054-748-3195,"수유실,수면실,샤워실,세탁실,쉼터",드롭탑 외 1,X,O,X,35.724238,129.192707
청주(서울 방향),043-237-1700,"수유실,수면실,샤워실,세탁실,쉼터",엔제리너스 외 1,X,O,X,36.715788,127.349488
양산(서울 방향),055-384-0144,"수유실,쉼터",할리스 외 2,X,X,X,35.323904,129.054880
김천(서울 방향),054-433-1523,"수유실,수면실,샤워실,세탁실,농산물판매장,쉼터","파스쿠찌, CU 편의점",X,O,X,36.130957,128.164173
김천(부산 방향),054-435-0211,"수유실,수면실,샤워실,세탁실,농산물판매장,쉼터","파스쿠찌, CU 편의점",X,O,X,36.129675,128.166750
옥천만남( 방향),043-732-0081,"수면실,샤워실,세탁실",CU 편의점,O,O,O,36.307605,127.572400
