졸음쉼터명,시도명,시군구명,도로종류,도로노선명,도로노선번호,도로노선방향,소재지도로명주소,소재지지번주소,위도,경도,총연장,주차면수,화장실유무,방범용CCTV수,기타편의시설,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
오산,경기도,오산시,고속국도,경부선,1,서울기점 + 부산종점,,경기도 오산시 부산동 437-4,37.15670802,127.0871649,,11,Y,,,한국도로공사 수도권본부,02-2219-6000,2023-06-30,B500004,한국도로공사
오산,경기도,오산시,고속국도,경부선,1,부산기점 + 서울종점,,경기도 오산시 부산동 418-1,37.1542659,127.0861027,,24,Y,,,한국도로공사 수도권본부,02-2219-6000,2023-06-30,B500004,한국도로공사
남사,경기도,용인시,고속국도,경부선,1,서울기점 + 부산종점,,경기도 용인시 처인구 남사면 진목리 415-6,37.09619177,127.1207375,,11,Y,,,한국도로공사 수도권본부,02-2219-6000,2023-06-30,B500004,한국도로공사
원곡,경기도,평택시,고속국도,경부선,1,부산기점 + 서울종점,,경기도 평택시 용이동 419-15,37.00111198,127.1519713,,14,Y,,,한국도로공사 수도권본부,02-2219-6000,2023-06-30,B500004,한국도로공사
연곡,충청남도,천안시,고속국도,경부선,1,서울기점 + 부산종점,,충청남도 천안시 서북구 입장면 연곡리 243-5,36.95431144,127.1830073,,48,Y,,,한국도로공사 대전충청남도본부,042-722-6000,2023-06-30,B500004,한국도로공사
입장,충청남도,천안시,고속국도,경부선,1,서울기점 + 부산종점,,충청남도 천안시 서북구 입장면 용정리 48-19,36.91443246,127.1884647,,10,Y,,,한국도로공사 대전충청남도본부,042-722-6000,2023-06-30,B500004,한국도로공사
옥산,충청북도,청주시,고속국도,경부선,1,부산기점 + 서울종점,,충청북도 청주시 옥산면 오산리 483-6,36.655882,127.372294,,11,Y,,,한국도로공사 대전충청남도본부,042-722-6000,2023-06-30,B500004,한국도로공사
신탄진,대전광역시,대덕구,고속국도,경부선,1,서울기점 + 부산종점,,대전광역시 대덕구 상서동 산66-11,36.42535428,127.4166966,,31,Y,,,한국도로공사 대전충청남도본부,042-722-6000,2023-06-30,B500004,한국도로공사
옥천,충청북도,옥천군,고속국도,경부선,1,서울기점 + 부산종점,,충청북도 옥천군 군북면 이백리 산23-10,36.32809569,127.5408926,,15,Y,,,한국도로공사 대전충청남도본부,042-722-6000,2023-06-30,B500004,한국도로공사
옥천,충청북도,옥천군,고속국도,경부선,1,부산기점 + 서울종점,,충청북도 옥천군 군북면 증약리 156-2,36.33624741,127.5284274,,13,Y,,,한국도로공사 대전충청남도본부,042-722-6000,2023-06-30,B500004,한국도로공사
청성,충청북도,옥천군,고속국도,경부선,1,부산기점 + 서울종점,,충청북도 옥천군 청성면 조천리 1100-19,36.27171161,127.7407581,,11,Y,,,한국도로공사 대전충청남도본부,042-722-6000,2023-06-30,B500004,한국도로공사
추풍령,충청북도,영동군,고속국도,경부선,1,서울기점 + 부산종점,,충청북도 영동군 추풍령면 추풍령리 604-2,36.21062321,127.9886414,,12,Y,,,한국도로공사 대전충청남도본부,042-722-6000,2023-06-30,B500004,한국도로공사
추풍령,충청북도,영동군,고속국도,경부선,1,부산기점 + 서울종점,,충청북도 영동군 추풍령면 추풍령리 557-3,36.21098462,127.9885463,,10,Y,,,한국도로공사 대전충청남도본부,042-722-6000,2023-06-30,B500004,한국도로공사
