사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2018011000100115,2018년 1월 10일 08시,수요일,전라남도 담양군 봉산면,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,적설,눈,교차로 - 교차로부근,화물,남,57세,상해없음,승용,여,48세,경상
2018012000100078,2018년 1월 20일 03시,토요일,전라남도 담양군 대덕면,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,36세,중상,건설기계,남,52세,상해없음
2018012800100268,2018년 1월 28일 17시,일요일,전라북도 고창군 고수면,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,적설,눈,단일로 - 기타,승용,여,36세,상해없음,화물,남,49세,경상
2018042200100177,2018년 4월 22일 12시,일요일,전라남도 장성군 서삼면,중상사고,0,2,0,0,차량단독 - 기타,안전운전불이행,건조,흐림,단일로 - 기타,화물,남,21세,중상,,,,
2018120600100075,2018년 12월 6일 06시,목요일,전라북도 고창군 고수면,경상사고,0,0,1,0,차대차 - 기타,과속,서리/결빙,눈,단일로 - 교량,승용,여,26세,경상,특수,남,57세,상해없음
2019021700100268,2019년 2월 17일 15시,일요일,전라남도 장성군 장성읍,경상사고,0,0,2,0,차대차 - 기타,과속,건조,맑음,단일로 - 터널,승용,남,46세,상해없음,승용,남,19세,경상
2019021700100322,2019년 2월 17일 17시,일요일,전라남도 담양군 봉산면,중상사고,0,3,3,0,차대차 - 추돌,차로위반,건조,맑음,단일로 - 기타,승용,남,69세,상해없음,승합,남,39세,경상
2019032800100488,2019년 3월 28일 18시,목요일,전라남도 장성군 장성읍,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 터널,승용,남,60세,상해없음,승용,남,36세,중상
2019081500100065,2019년 8월 15일 03시,목요일,전라남도 장성군 장성읍,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,23세,상해없음,화물,남,35세,경상
2019103000100161,2019년 10월 30일 08시,수요일,전라북도 고창군 고수면,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,기타 - 기타,승용,여,48세,상해없음,화물,남,50세,경상
2020010900100072,2020년 1월 9일 07시,목요일,전라남도 담양군 대덕면,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,특수,남,44세,상해없음,보행자,남,46세,중상
2020031900100019,2020년 3월 19일 01시,목요일,전라남도 장성군 장성읍,중상사고,0,2,1,0,차대차 - 정면충돌,기타,건조,맑음,교차로 - 교차로안,승용,남,26세,경상,승용,남,32세,중상
2020032900100190,2020년 3월 29일 14시,일요일,전라남도 담양군 대전면,경상사고,0,0,2,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,기타 - 기타,승용,남,70세,상해없음,승용,남,39세,경상
2020083000100295,2020년 8월 30일 17시,일요일,전라남도 장성군 서삼면,경상사고,0,0,3,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 터널,승용,남,28세,상해없음,승용,남,35세,경상
2020091200100504,2020년 9월 12일 19시,토요일,전라남도 장성군 장성읍,사망사고,1,1,4,0,차대차 - 기타,안전운전불이행,건조,맑음,기타 - 기타,승용,남,72세,상해없음,승용,남,40세,경상
2020102000100287,2020년 10월 20일 13시,화요일,전라남도 장성군 서삼면,중상사고,0,1,9,0,차대차 - 추돌,과속,건조,맑음,단일로 - 터널,승용,여,37세,경상,승용,남,27세,경상
2020110600100219,2020년 11월 6일 12시,금요일,전라남도 장성군 장성읍,중상사고,0,2,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,37세,경상,승용,남,40세,중상
2020121300100153,2020년 12월 13일 13시,일요일,전라남도 장성군 장성읍,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,50세,상해없음,화물,기타불명,미분류,기타불명
