사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2018020200100364,2018년 2월 2일 15시,금요일,경상북도 고령군 성산면,경상사고,0,0,3,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,50세,상해없음,승용,여,54세,경상
2018022500100204,2018년 2월 25일 14시,일요일,경상북도 고령군 쌍림면,중상사고,0,2,0,0,차량단독 - 공작물충돌,안전운전불이행,건조,맑음,기타 - 기타,승용,남,61세,상해없음,,,,
2018052200100385,2018년 5월 22일 16시,화요일,전라북도 남원시 주생면,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,화물,남,66세,상해없음,승용,남,29세,경상
2018060100100029,2018년 6월 1일 01시,금요일,전라북도 순창군 순창읍,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,40세,상해없음,승용,여,46세,중상
2018060800100048,2018년 6월 8일 04시,금요일,대구광역시 달성군 논공읍,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,기타불명,기타불명,미분류,기타불명,승용,여,53세,상해없음
2018061600100469,2018년 6월 16일 18시,토요일,경상남도 거창군 남상면,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,49세,상해없음,승합,남,51세,경상
2018061700100026,2018년 6월 17일 01시,일요일,경상북도 고령군 대가야읍,사망사고,1,1,2,0,차량단독 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,50세,사망,,,,
2018062900100637,2018년 6월 29일 23시,금요일,전라북도 남원시 화정동,사망사고,1,0,0,0,차대차 - 추돌,안전운전불이행,건조,흐림,단일로 - 기타,화물,남,54세,사망,화물,남,56세,상해없음
2018070100100309,2018년 7월 1일 18시,일요일,경상남도 거창군 가조면,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,젖음/습기,비,단일로 - 기타,화물,남,53세,상해없음,승용,여,55세,중상
2018071200100385,2018년 7월 12일 16시,목요일,전라북도 남원시 주생면,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,44세,상해없음,승용,여,37세,중상
2018080500100342,2018년 8월 5일 17시,일요일,경상북도 고령군 쌍림면,경상사고,0,0,2,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,52세,상해없음,승용,남,65세,상해없음
2018081000100128,2018년 8월 10일 08시,금요일,전라북도 남원시 대강면,중상사고,0,1,3,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 터널,승용,남,21세,상해없음,승용,남,58세,경상
2018081000100360,2018년 8월 10일 15시,금요일,전라북도 남원시 산동면,경상사고,0,0,2,0,차대차 - 기타,중앙선침범,건조,맑음,단일로 - 터널,승용,남,38세,상해없음,승용,남,29세,경상
2018082600100200,2018년 8월 26일 12시,일요일,전라북도 남원시 대강면,중상사고,0,1,0,0,차량단독 - 공작물충돌,안전운전불이행,젖음/습기,비,단일로 - 기타,승용,남,26세,상해없음,,,,
2018110400100301,2018년 11월 4일 15시,일요일,전라북도 순창군 유등면,경상사고,0,0,3,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,52세,상해없음,승합,남,39세,경상
2018112400100053,2018년 11월 24일 02시,토요일,경상남도 함양군 수동면,사망사고,1,0,0,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,31세,사망,화물,남,48세,상해없음
2018121100100551,2018년 12월 11일 20시,화요일,대구광역시 달성군 논공읍,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,서리/결빙,비,단일로 - 기타,승용,남,71세,상해없음,승용,남,43세,중상
2019012000100461,2019년 1월 20일 23시,일요일,경상남도 함양군 함양읍,사망사고,1,1,6,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,33세,경상,화물,남,53세,상해없음
2019022400100125,2019년 2월 24일 11시,일요일,경상남도 함양군 병곡면,경상사고,0,0,1,0,차대차 - 기타,차로위반,건조,맑음,단일로 - 교량,기타불명,기타불명,미분류,기타불명,화물,남,59세,경상
2019041700100038,2019년 4월 17일 01시,수요일,전라북도 남원시 아영면,중상사고,0,1,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,32세,상해없음,승용,남,57세,중상
2019050400100381,2019년 5월 4일 14시,토요일,경상북도 고령군 성산면,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,72세,상해없음,승용,여,59세,중상
2019051000100602,2019년 5월 10일 19시,금요일,경상남도 함양군 함양읍,사망사고,1,2,3,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,51세,사망,화물,남,47세,중상
2019052000100347,2019년 5월 20일 14시,월요일,전라북도 순창군 순창읍,경상사고,0,0,1,0,차대차 - 후진중충돌,기타,건조,맑음,단일로 - 기타,화물,남,64세,상해없음,승용,남,41세,경상
2019052600100111,2019년 5월 26일 07시,일요일,전라북도 순창군 순창읍,경상사고,0,0,3,0,차대차 - 기타,기타,건조,맑음,단일로 - 기타,승용,남,67세,상해없음,승용,남,47세,경상
2019053100100297,2019년 5월 31일 12시,금요일,전라북도 남원시 산동면,사망사고,1,1,0,0,차대차 - 기타,과속,건조,맑음,단일로 - 기타,승용,여,28세,중상,화물,남,45세,상해없음
2019060900100163,2019년 6월 9일 10시,일요일,경상북도 고령군 쌍림면,경상사고,0,0,2,0,차대차 - 측면충돌,차로위반,건조,맑음,단일로 - 터널,승합,남,52세,상해없음,승용,남,24세,경상
2019062600100623,2019년 6월 26일 20시,수요일,대구광역시 달성군 옥포읍,부상신고사고,0,0,0,1,차량단독 - 기타,안전운전불이행,젖음/습기,비,단일로 - 기타,승용,남,37세,부상신고,,,,
2019070100100146,2019년 7월 1일 08시,월요일,전라남도 담양군 봉산면,경상사고,0,0,5,0,차대차 - 기타,기타,건조,맑음,단일로 - 기타,기타불명,기타불명,미분류,기타불명,승합,남,65세,경상
2019070600100412,2019년 7월 6일 14시,토요일,경상북도 고령군 성산면,중상사고,0,1,1,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,60세,상해없음,승용,여,61세,중상
2019080200100387,2019년 8월 2일 15시,금요일,대구광역시 달성군 논공읍,경상사고,0,0,4,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,65세,상해없음,승용,남,60세,경상
2019080200100425,2019년 8월 2일 16시,금요일,경상남도 거창군 남상면,경상사고,0,0,1,0,차대차 - 후진중충돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,71세,상해없음,승용,남,26세,경상
2019081200100725,2019년 8월 12일 23시,월요일,경상북도 고령군 성산면,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,21세,상해없음,승용,여,45세,경상
2019091900100303,2019년 9월 19일 12시,목요일,경상남도 함양군 수동면,중상사고,0,2,0,0,차량단독 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,74세,중상,,,,
