사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2019011600100371,2019년 1월 16일 17시,수요일,경기도 양평군 양동면,부상신고사고,0,0,0,1,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,39세,상해없음,보행자,남,49세,부상신고
2019042700100424,2019년 4월 27일 15시,토요일,경기도 여주시 산북면,중상사고,0,3,6,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 터널,승용,남,20세,상해없음,승용,남,38세,경상
2019052400100471,2019년 5월 24일 16시,금요일,경기도 광주시 곤지암읍,중상사고,0,1,4,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,27세,상해없음,승용,남,38세,경상
2019052600100180,2019년 5월 26일 11시,일요일,경기도 여주시 산북면,경상사고,0,0,5,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 기타,화물,남,56세,상해없음,승용,남,49세,경상
2019062200100695,2019년 6월 22일 22시,토요일,경기도 여주시 산북면,사망사고,1,1,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,25세,중상,승용,남,18세,사망
2019072300100261,2019년 7월 23일 12시,화요일,강원도 원주시 지정면,경상사고,0,0,2,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 터널,승용,남,47세,상해없음,화물,남,41세,경상
2019081200100347,2019년 8월 12일 13시,월요일,경기도 여주시 산북면,경상사고,0,0,1,10,차대차 - 추돌,안전운전불이행,건조,흐림,단일로 - 터널,승용,남,45세,경상,승용,남,38세,부상신고
2019081500100116,2019년 8월 15일 08시,목요일,경기도 양평군 양동면,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,젖음/습기,비,단일로 - 기타,승용,남,36세,상해없음,화물,남,53세,경상
2019082000100162,2019년 8월 20일 09시,화요일,경기도 여주시 북내면,경상사고,0,0,1,0,차대차 - 기타,신호위반,건조,맑음,단일로 - 교량,화물,남,55세,상해없음,승용,남,58세,경상
2019082500100032,2019년 8월 25일 01시,일요일,경기도 양평군 양동면,경상사고,0,0,2,2,차대차 - 기타,안전거리미확보,기타,안개,단일로 - 기타,승용,여,50세,상해없음,화물,남,57세,경상
2019092600100611,2019년 9월 26일 21시,목요일,경기도 광주시 곤지암읍,중상사고,0,1,0,1,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,여,66세,상해없음,승용,여,52세,중상
2019100500100385,2019년 10월 5일 16시,토요일,강원도 원주시 지정면,경상사고,0,0,2,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 터널,승용,남,27세,상해없음,승용,여,26세,경상
2019111500100116,2019년 11월 15일 07시,금요일,경기도 양평군 단월면,중상사고,0,3,3,0,차대차 - 추돌,안전운전불이행,서리/결빙,비,단일로 - 교량,승용,남,59세,경상,승용,여,47세,경상
2019112800100217,2019년 11월 28일 10시,목요일,강원도 원주시 가현동,경상사고,0,0,5,1,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,76세,상해없음,화물,남,54세,경상
2019120400100039,2019년 12월 4일 00시,수요일,경기도 광주시 곤지암읍,부상신고사고,0,0,0,1,차량단독 - 공작물충돌,안전운전불이행,젖음/습기,눈,단일로 - 기타,승용,남,33세,부상신고,,,,
2019120500100050,2019년 12월 5일 01시,목요일,경기도 여주시 대신면,부상신고사고,0,0,0,1,차량단독 - 공작물충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,40세,부상신고,,,,
2019121300100544,2019년 12월 13일 18시,금요일,경기도 여주시 흥천면,경상사고,0,0,3,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,승용,여,37세,경상,승용,남,58세,경상
2020012700100109,2020년 1월 27일 10시,월요일,경기도 여주시 대신면,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,50세,중상,승용,남,31세,상해없음
2020022800100058,2020년 2월 28일 07시,금요일,강원도 원주시 지정면,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 터널,승용,남,21세,상해없음,화물,남,52세,중상
2020030300100142,2020년 3월 3일 11시,화요일,강원도 원주시 지정면,중상사고,0,2,2,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,71세,상해없음,승용,남,40세,경상
2020050300100089,2020년 5월 3일 08시,일요일,경기도 여주시 대신면,경상사고,0,0,2,0,차대차 - 추돌,과속,건조,맑음,단일로 - 기타,승용,남,65세,상해없음,승용,여,40세,경상
2020050700100061,2020년 5월 7일 06시,목요일,경기도 여주시 산북면,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,67세,상해없음,승용,여,52세,경상
2020052000100220,2020년 5월 20일 11시,수요일,경기도 광주시 초월읍,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,44세,상해없음,승용,남,70세,상해없음
2020061000100285,2020년 6월 10일 13시,수요일,강원도 원주시 지정면,중상사고,0,1,0,0,차대차 - 추돌,기타,건조,맑음,단일로 - 기타,승용,여,23세,상해없음,승용,남,56세,상해없음
2020070600100195,2020년 7월 6일 11시,월요일,경기도 양평군 양동면,중상사고,0,1,0,1,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,승용,여,58세,상해없음,승용,여,47세,중상
2020071400100224,2020년 7월 14일 11시,화요일,경기도 양평군 양동면,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,기타 - 기타,승용,여,65세,상해없음,승용,여,30세,경상
2020071600100247,2020년 7월 16일 12시,목요일,경기도 광주시 초월읍,경상사고,0,0,5,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,24세,상해없음,승용,여,45세,경상
2020072600100136,2020년 7월 26일 11시,일요일,경기도 여주시 금사면,경상사고,0,0,7,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,21세,상해없음,승용,남,53세,경상
2020080900100067,2020년 8월 9일 05시,일요일,경기도 여주시 산북면,중상사고,0,2,0,0,차대차 - 기타,안전운전불이행,젖음/습기,비,단일로 - 터널,승용,여,58세,중상,승용,남,58세,상해없음
2020082100100393,2020년 8월 21일 17시,금요일,경기도 여주시 금사면,경상사고,0,0,2,4,차대차 - 추돌,안전운전불이행,건조,맑음,기타 - 기타,승합,남,57세,상해없음,화물,남,44세,경상
2020082600100241,2020년 8월 26일 13시,수요일,강원도 원주시 지정면,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 터널,화물,남,64세,상해없음,화물,남,62세,중상
2020082600100242,2020년 8월 26일 13시,수요일,강원도 원주시 지정면,중상사고,0,2,0,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 터널,승용,여,22세,기타불명,승용,남,21세,상해없음
2020092700100383,2020년 9월 27일 17시,일요일,경기도 여주시 금사면,경상사고,0,0,4,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 터널,승용,남,57세,상해없음,승용,남,47세,경상
2020100500100618,2020년 10월 5일 21시,월요일,경기도 양평군 양동면,부상신고사고,0,0,0,2,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,45세,상해없음,승용,남,26세,부상신고
2020102900100350,2020년 10월 29일 14시,목요일,강원도 원주시 지정면,중상사고,0,1,0,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 기타,승합,남,52세,상해없음,승용,여,53세,중상
2020111200100330,2020년 11월 12일 14시,목요일,강원도 원주시 호저면,사망사고,1,2,0,1,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,58세,상해없음,승합,남,58세,사망
2020111600100246,2020년 11월 16일 11시,월요일,경기도 여주시 대신면,사망사고,1,0,0,0,차량단독 - 전도전복 - 전도,안전운전불이행,건조,맑음,단일로 - 기타,특수,남,71세,사망,,,,
2020112000100162,2020년 11월 20일 09시,금요일,경기도 여주시 대신면,중상사고,0,1,0,0,차대차 - 기타,신호위반,건조,맑음,단일로 - 기타,승용,기타불명,미분류,기타불명,승용,여,68세,중상
2020121100100264,2020년 12월 11일 14시,금요일,경기도 광주시 곤지암읍,경상사고,0,0,1,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 터널,화물,남,61세,상해없음,승용,남,60세,경상
2020121100100599,2020년 12월 11일 22시,금요일,경기도 여주시 북내면,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,특수,남,43세,상해없음,화물,남,67세,경상
2020122400100221,2020년 12월 24일 12시,목요일,경기도 여주시 대신면,부상신고사고,0,0,0,1,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,30세,상해없음,승용,남,22세,상해없음
2020122400100501,2020년 12월 24일 18시,목요일,경기도 양평군 양동면,중상사고,0,1,4,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,54세,상해없음,승용,남,35세,중상
