사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2018011200100622,2018년 1월 12일 20시,금요일,경기도 포천시 군내면,부상신고사고,0,0,0,1,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,32세,상해없음,승용,남,30세,상해없음
2018011800100288,2018년 1월 18일 14시,목요일,경기도 남양주시 별내면,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,56세,상해없음,승용,여,67세,중상
2018020100100533,2018년 2월 1일 19시,목요일,경기도 의정부시 산곡동,경상사고,0,0,2,1,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,49세,상해없음,화물,남,66세,부상신고
2018041500100304,2018년 4월 15일 16시,일요일,경기도 구리시 교문동,사망사고,1,0,0,0,차량단독 - 전도전복 - 전복,안전운전불이행,건조,맑음,단일로 - 터널,승용,남,47세,사망,미분류,미분류,미분류,미분류
2018060200100441,2018년 6월 2일 16시,토요일,경기도 의정부시 민락동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,53세,상해없음,화물,남,30세,경상
2018061000100337,2018년 6월 10일 17시,일요일,경기도 남양주시 별내면,경상사고,0,0,3,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,34세,상해없음,승용,여,57세,경상
2018072800100112,2018년 7월 28일 07시,토요일,경기도 구리시 갈매동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,기타 - 기타,승용,남,25세,상해없음,승용,남,49세,경상
2018080600100111,2018년 8월 6일 09시,월요일,경기도 포천시 소흘읍,중상사고,0,1,0,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,47세,상해없음,승용,여,42세,중상
2018090400100537,2018년 9월 4일 20시,화요일,경기도 의정부시 자일동,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,29세,상해없음,화물,남,59세,중상
2018101300100577,2018년 10월 13일 21시,토요일,경기도 구리시 갈매동,중상사고,0,1,1,1,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승합,남,58세,상해없음,승용,여,53세,경상
2018111900100529,2018년 11월 19일 20시,월요일,경기도 구리시 갈매동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,53세,상해없음,승용,남,39세,경상
2018120900100073,2018년 12월 9일 08시,일요일,경기도 구리시 갈매동,경상사고,0,0,1,1,차대차 - 기타,신호위반,건조,맑음,교차로 - 교차로안,승용,남,56세,상해없음,승용,남,37세,경상
2018120900100368,2018년 12월 9일 21시,일요일,서울특별시 중랑구 망우동,경상사고,0,0,4,1,차대차 - 기타,차로위반,건조,맑음,단일로 - 터널,승용,남,55세,상해없음,승용,남,45세,상해없음
2018121000100154,2018년 12월 10일 10시,월요일,경기도 남양주시 별내면,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,41세,상해없음,승용,남,29세,경상
2018122200100049,2018년 12월 22일 02시,토요일,경기도 의정부시 민락동,경상사고,0,0,1,1,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,47세,부상신고,승용,남,53세,경상
2019010500100247,2019년 1월 5일 13시,토요일,경기도 남양주시 별내면,경상사고,0,0,2,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 교량,승용,남,32세,상해없음,승용,남,52세,경상
2019011200100374,2019년 1월 12일 17시,토요일,경기도 의정부시 민락동,경상사고,0,0,3,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,24세,상해없음,승합,남,62세,경상
2019020700100415,2019년 2월 7일 18시,목요일,경기도 의정부시 신곡동,중상사고,0,1,0,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,승합,남,43세,상해없음,승용,남,26세,중상
2019032000100146,2019년 3월 20일 08시,수요일,경기도 남양주시 별내면,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,젖음/습기,안개,교차로 - 교차로안,건설기계,남,59세,상해없음,승용,남,24세,경상
2019041500100499,2019년 4월 15일 17시,월요일,경기도 의정부시 산곡동,경상사고,0,0,4,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,66세,상해없음,승용,여,53세,경상
2019041900100418,2019년 4월 19일 16시,금요일,경기도 포천시 소흘읍,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,62세,상해없음,특수,남,30세,경상
2019042900100280,2019년 4월 29일 12시,월요일,경기도 포천시 소흘읍,부상신고사고,0,0,0,2,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,기타불명,기타불명,미분류,기타불명,승용,남,39세,부상신고
2019050700100183,2019년 5월 7일 09시,화요일,경기도 구리시 토평동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 터널,화물,남,39세,상해없음,승용,남,30세,경상
2019050700100662,2019년 5월 7일 20시,화요일,경기도 남양주시 별내면,중상사고,0,2,0,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,39세,상해없음,승용,남,25세,중상
2019052800100065,2019년 5월 28일 04시,화요일,서울특별시 중랑구 신내동,사망사고,1,1,0,0,차대차 - 정면충돌,중앙선침범,건조,맑음,단일로 - 기타,승용,남,40세,사망,화물,남,50세,중상
2019072300100162,2019년 7월 23일 09시,화요일,경기도 의정부시 산곡동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,59세,상해없음,승용,남,37세,경상
2019072400100221,2019년 7월 24일 11시,수요일,경기도 구리시 토평동,경상사고,0,0,1,1,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 터널,화물,남,47세,부상신고,화물,남,58세,경상
2019082700100148,2019년 8월 27일 08시,화요일,경기도 구리시 토평동,중상사고,0,1,1,4,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 터널,화물,남,65세,상해없음,승합,남,50세,경상
2019100400100142,2019년 10월 4일 08시,금요일,경기도 포천시 소흘읍,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,32세,상해없음,승용,남,28세,경상
2019102400100732,2019년 10월 24일 22시,목요일,경기도 남양주시 별내동,중상사고,0,2,3,0,차대차 - 추돌,중앙선침범,건조,맑음,단일로 - 기타,승용,남,35세,기타불명,승용,남,41세,경상
2019102500100671,2019년 10월 25일 19시,금요일,경기도 의정부시 산곡동,경상사고,0,0,3,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,38세,상해없음,승용,남,37세,경상
2019110400100661,2019년 11월 4일 19시,월요일,경기도 의정부시 민락동,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,67세,상해없음,승용,여,45세,중상
2019110900100530,2019년 11월 9일 17시,토요일,경기도 의정부시 산곡동,경상사고,0,0,5,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,41세,상해없음,승용,여,49세,경상
2019112200100384,2019년 11월 22일 14시,금요일,경기도 의정부시 자일동,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 터널,건설기계,남,45세,상해없음,승용,여,47세,중상
2019122100100350,2019년 12월 21일 15시,토요일,경기도 구리시 갈매동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,62세,상해없음,승용,여,54세,경상
2019122600100202,2019년 12월 26일 11시,목요일,서울특별시 중랑구 망우동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,젖음/습기,맑음,단일로 - 기타,승용,남,29세,상해없음,승용,남,52세,경상
2019123100100456,2019년 12월 31일 18시,화요일,경기도 의정부시 신곡동,경상사고,0,0,2,1,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,71세,부상신고,승용,남,36세,경상
2020011000100180,2020년 1월 10일 10시,금요일,경기도 포천시 선단동,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,49세,중상,화물,남,46세,기타불명
2020012300100569,2020년 1월 23일 18시,목요일,경기도 의정부시 민락동,중상사고,0,1,1,1,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,46세,상해없음,승용,남,47세,중상
2020031000100082,2020년 3월 10일 07시,화요일,경기도 구리시 토평동,경상사고,0,0,1,3,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,53세,상해없음,승용,여,54세,경상
2020040900100283,2020년 4월 9일 14시,목요일,경기도 의정부시 자일동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,48세,상해없음,승용,여,47세,경상
2020041800100349,2020년 4월 18일 16시,토요일,서울특별시 중랑구 망우동,중상사고,0,1,1,0,차대차 - 측면충돌,신호위반,건조,맑음,단일로 - 터널,승용,남,19세,상해없음,승용,남,44세,경상
2020042900100032,2020년 4월 29일 03시,수요일,경기도 남양주시 별내동,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,32세,상해없음,특수,남,43세,중상
2020050300100344,2020년 5월 3일 19시,일요일,경기도 의정부시 낙양동,중상사고,0,5,1,0,차대차 - 추돌,차로위반,건조,맑음,단일로 - 기타,승용,남,46세,상해없음,승용,남,66세,중상
2020051700100248,2020년 5월 17일 15시,일요일,경기도 의정부시 민락동,중상사고,0,1,1,1,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,65세,부상신고,승용,여,45세,경상
2020052200100502,2020년 5월 22일 18시,금요일,경기도 구리시 토평동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 터널,화물,여,55세,상해없음,승용,남,62세,경상
2020053000100115,2020년 5월 30일 08시,토요일,경기도 남양주시 별내동,중상사고,0,1,0,0,차대차 - 기타,기타,건조,맑음,단일로 - 기타,화물,남,59세,상해없음,승용,남,40세,중상
2020053100100465,2020년 5월 31일 22시,일요일,경기도 의정부시 낙양동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,기타불명,기타불명,미분류,기타불명,승용,여,40세,경상
2020060300100593,2020년 6월 3일 22시,수요일,서울특별시 중랑구 신내동,중상사고,0,1,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,72세,상해없음,승용,여,36세,경상
2020060500100518,2020년 6월 5일 18시,금요일,경기도 포천시 소흘읍,중상사고,0,1,6,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,30세,경상,승용,여,60세,경상
2020060600100579,2020년 6월 6일 22시,토요일,경기도 의정부시 산곡동,경상사고,0,0,1,0,차대차 - 기타,기타,건조,맑음,단일로 - 기타,화물,기타불명,미분류,기타불명,승용,여,40세,상해없음
2020062000100133,2020년 6월 20일 09시,토요일,경기도 포천시 소흘읍,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,63세,상해없음,화물,남,60세,경상
