사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2019032700100056,2019년 3월 27일 03시,수요일,경상남도 창원시 의창구 동정동,중상사고,0,1,0,0,차대사람 - 차도통행중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,47세,상해없음,보행자,남,79세,중상
2019061700100454,2019년 6월 17일 16시,월요일,경상남도 창원시 마산회원구 회성동,경상사고,0,0,1,0,차대차 - 기타,기타,건조,맑음,단일로 - 기타,화물,남,26세,상해없음,승용,여,28세,경상
2019073000100401,2019년 7월 30일 15시,화요일,경상남도 창원시 마산회원구 합성동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,건조,맑음,단일로 - 기타,화물,남,60세,상해없음,승용,남,58세,경상
2019081600100257,2019년 8월 16일 11시,금요일,경상남도 창원시 의창구 소계동,중상사고,0,6,24,13,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 기타,승합,남,59세,상해없음,승용,남,58세,경상
2019081800100273,2019년 8월 18일 15시,일요일,경상남도 창원시 의창구 동정동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,51세,상해없음,화물,남,33세,경상
2019083000100547,2019년 8월 30일 17시,금요일,경상남도 창원시 마산회원구 합성동,중상사고,0,2,1,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,64세,기타불명,승용,남,60세,중상
2019100800100588,2019년 10월 8일 18시,화요일,경상남도 창원시 마산회원구 회성동,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,58세,상해없음,승용,남,45세,중상
2019111600100348,2019년 11월 16일 13시,토요일,경상남도 창원시 의창구 소계동,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,47세,상해없음,승용,여,26세,상해없음
2019112900100774,2019년 11월 29일 21시,금요일,경상남도 창원시 마산회원구 내서읍,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,68세,상해없음,보행자,남,52세,중상
2019121300100568,2019년 12월 13일 18시,금요일,경상남도 창원시 마산회원구 회원동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,51세,상해없음,승용,남,26세,경상
2019122500100428,2019년 12월 25일 21시,수요일,경상남도 창원시 마산회원구 회원동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,22세,상해없음,승용,남,32세,경상
