사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2020011600100293,2020년 1월 16일 14시,목요일,충청남도 천안시 동남구 광덕면,중상사고,0,2,3,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 터널,승용,여,60세,상해없음,승용,남,22세,중상
2020011600100362,2020년 1월 16일 16시,목요일,충청남도 공주시 정안면,중상사고,0,1,1,0,차대차 - 기타,신호위반,건조,맑음,단일로 - 기타,승용,여,46세,상해없음,승합,남,62세,경상
2020012000100484,2020년 1월 20일 17시,월요일,충청남도 천안시 동남구 광덕면,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,흐림,단일로 - 터널,화물,남,39세,상해없음,승용,남,59세,경상
2020020300100245,2020년 2월 3일 12시,월요일,충청남도 천안시 동남구 광덕면,사망사고,1,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 터널,화물,남,50세,사망,화물,남,64세,상해없음
2020022000100333,2020년 2월 20일 14시,목요일,충청남도 공주시 정안면,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승합,남,32세,상해없음,승용,남,51세,경상
2020022300100150,2020년 2월 23일 13시,일요일,충청남도 공주시 정안면,경상사고,0,0,9,0,차대차 - 추돌,안전운전불이행,건조,맑음,기타 - 기타,승용,남,47세,상해없음,승용,여,47세,경상
2020022300100359,2020년 2월 23일 23시,일요일,충청남도 공주시 우성면,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,26세,상해없음,승합,남,54세,중상
2020022700100431,2020년 2월 27일 23시,목요일,충청남도 논산시 채운면,중상사고,0,4,1,0,차대차 - 기타,과속,건조,맑음,단일로 - 기타,승용,남,61세,상해없음,승용,남,49세,중상
2020032700100175,2020년 3월 27일 11시,금요일,충청남도 천안시 동남구 광덕면,경상사고,0,0,3,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,36세,상해없음,승용,여,37세,경상
2020040100100134,2020년 4월 1일 10시,수요일,충청남도 천안시 동남구 광덕면,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 터널,승용,남,42세,기타불명,승용,여,61세,경상
2020040500100191,2020년 4월 5일 13시,일요일,충청남도 공주시 정안면,경상사고,0,0,6,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,52세,상해없음,승용,남,54세,경상
2020040700100356,2020년 4월 7일 17시,화요일,충청남도 천안시 동남구 광덕면,경상사고,0,0,7,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,30세,경상,승용,남,45세,경상
2020041200100024,2020년 4월 12일 01시,일요일,충청남도 천안시 동남구 풍세면,중상사고,0,1,4,0,차대차 - 정면충돌,안전운전불이행,건조,맑음,기타 - 기타,승용,여,48세,상해없음,승용,남,41세,경상
2020041300100049,2020년 4월 13일 07시,월요일,충청남도 천안시 동남구 광덕면,중상사고,0,3,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,32세,상해없음,승용,여,36세,중상
2020041400100344,2020년 4월 14일 16시,화요일,충청남도 천안시 동남구 광덕면,경상사고,0,0,2,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,50세,상해없음,승용,남,57세,경상
2020042900100260,2020년 4월 29일 13시,수요일,충청남도 공주시 우성면,사망사고,1,0,2,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 기타,화물,남,63세,사망,화물,남,53세,경상
2020051300100260,2020년 5월 13일 12시,수요일,충청남도 천안시 동남구 풍세면,경상사고,0,0,2,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 터널,승용,남,32세,상해없음,승용,여,44세,경상
2020051900100008,2020년 5월 19일 00시,화요일,충청남도 천안시 동남구 광덕면,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,46세,상해없음,화물,남,67세,경상
2020052100100010,2020년 5월 21일 01시,목요일,충청남도 천안시 동남구 광덕면,경상사고,0,0,2,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,34세,상해없음,승용,남,30세,경상
2020060900100439,2020년 6월 9일 16시,화요일,충청남도 천안시 동남구 풍세면,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,특수,남,42세,상해없음,화물,남,54세,중상
2020061900100060,2020년 6월 19일 06시,금요일,충청남도 천안시 동남구 풍세면,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,52세,상해없음,승용,남,29세,중상
2020061900100493,2020년 6월 19일 17시,금요일,충청남도 천안시 동남구 목천읍,중상사고,0,1,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,63세,상해없음,승용,남,49세,경상
2020062100100147,2020년 6월 21일 10시,일요일,충청남도 천안시 동남구 광덕면,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,기타 - 기타,승용,남,50세,상해없음,승용,남,28세,경상
2020070500100097,2020년 7월 5일 08시,일요일,충청남도 천안시 동남구 풍세면,경상사고,0,0,3,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,74세,상해없음,승용,남,55세,경상
2020071000100303,2020년 7월 10일 14시,금요일,충청남도 천안시 동남구 광덕면,경상사고,0,0,3,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,29세,상해없음,승용,남,45세,경상
2020072000100031,2020년 7월 20일 04시,월요일,충청남도 공주시 정안면,중상사고,0,2,0,0,차대차 - 기타,안전운전불이행,젖음/습기,비,단일로 - 기타,승용,남,29세,중상,승용,남,40세,상해없음
2020073000100107,2020년 7월 30일 08시,목요일,충청남도 천안시 동남구 풍세면,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,52세,상해없음,승용,여,55세,경상
2020080900100263,2020년 8월 9일 16시,일요일,충청남도 천안시 동남구 광덕면,경상사고,0,0,16,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 터널,승용,남,41세,경상,승용,남,46세,경상
2020081000100172,2020년 8월 10일 11시,월요일,충청남도 천안시 동남구 광덕면,경상사고,0,0,3,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,58세,상해없음,승용,남,54세,경상
2020081800100688,2020년 8월 18일 23시,화요일,충청남도 천안시 동남구 광덕면,사망사고,2,2,0,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,42세,중상,화물,남,50세,기타불명
2020081900100168,2020년 8월 19일 10시,수요일,충청남도 공주시 우성면,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,32세,상해없음,승용,여,27세,경상
