사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2018042700100338,2018년 4월 27일 15시,금요일,경상북도 상주시 화서면,사망사고,1,2,7,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승합,남,63세,상해없음,승용,여,44세,중상
2018052200100254,2018년 5월 22일 12시,화요일,경상북도 상주시 낙동면,경상사고,0,0,2,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,63세,상해없음,승용,여,47세,경상
2018071500100272,2018년 7월 15일 15시,일요일,경상북도 의성군 단촌면,중상사고,0,2,1,0,차대차 - 측면충돌,과속,건조,맑음,단일로 - 기타,승용,남,60세,상해없음,승용,남,54세,중상
2018080100100088,2018년 8월 1일 06시,수요일,경상북도 상주시 화서면,중상사고,0,2,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,42세,상해없음,승용,남,35세,중상
2018090800100211,2018년 9월 8일 10시,토요일,경상북도 상주시 화서면,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,45세,상해없음,승용,남,25세,경상
2018122200100014,2018년 12월 22일 00시,토요일,경상북도 상주시 낙동면,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,53세,상해없음,특수,남,40세,경상
2019010900100482,2019년 1월 9일 20시,수요일,경상북도 상주시 화서면,중상사고,0,1,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,기타불명,기타불명,미분류,기타불명,승용,남,26세,중상
2019011300100022,2019년 1월 13일 00시,일요일,충청북도 청주시 상당구 문의면,경상사고,0,0,5,0,차대차 - 기타,중앙선침범,건조,맑음,단일로 - 기타,승용,여,42세,경상,승용,남,40세,경상
2019011800100592,2019년 1월 18일 21시,금요일,충청남도 예산군 신양면,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,22세,상해없음,화물,남,57세,경상
2019020500100120,2019년 2월 5일 12시,화요일,충청남도 당진시 사기소리,경상사고,0,0,1,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,46세,상해없음,승용,여,50세,경상
2019021300100508,2019년 2월 13일 20시,수요일,충청북도 보은군 마로면,중상사고,0,1,4,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,58세,경상,승용,남,30세,중상
2019021800100538,2019년 2월 18일 22시,월요일,세종특별자치시 세종특별자치시 금남면,중상사고,0,1,0,0,차대차 - 측면충돌,기타,젖음/습기,비,단일로 - 기타,화물,남,35세,상해없음,승용,남,49세,중상
2019022200100078,2019년 2월 22일 05시,금요일,충청남도 공주시 유구읍,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,42세,상해없음,화물,남,54세,경상
2019022500100037,2019년 2월 25일 02시,월요일,세종특별자치시 세종특별자치시 장군면,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,46세,상해없음,화물,남,68세,중상
2019030100100268,2019년 3월 1일 14시,금요일,충청북도 보은군 회인면,경상사고,0,0,1,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,32세,상해없음,승용,남,29세,경상
2019030400100549,2019년 3월 4일 23시,월요일,충청북도 보은군 마로면,중상사고,0,1,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,28세,중상,화물,남,53세,경상
2019030500100029,2019년 3월 5일 00시,화요일,충청북도 보은군 마로면,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,58세,상해없음,화물,남,35세,경상
2019030800100036,2019년 3월 8일 01시,금요일,충청북도 청주시 상당구 문의면,중상사고,0,1,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,34세,경상,화물,남,60세,중상
2019032100100589,2019년 3월 21일 21시,목요일,충청남도 공주시 유구읍,사망사고,1,0,0,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 터널,승용,남,39세,사망,화물,남,43세,상해없음
2019040300100268,2019년 4월 3일 12시,수요일,경상북도 상주시 내서면,사망사고,1,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,53세,사망,화물,남,37세,경상
2019040700100382,2019년 4월 7일 17시,일요일,충청남도 예산군 오가면,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,기타 - 기타,승용,남,20세,상해없음,승용,남,25세,경상
2019042700100559,2019년 4월 27일 18시,토요일,경상북도 상주시 화서면,중상사고,0,3,0,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,42세,상해없음,승용,여,31세,중상
2019051000100465,2019년 5월 10일 16시,금요일,충청북도 보은군 회인면,경상사고,0,0,5,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,28세,경상,승용,여,37세,경상
