사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2018011000100107,2018년 1월 10일 08시,수요일,충청남도 예산군 신양면,중상사고,0,1,0,0,차량단독 - 전도전복 - 전도,안전운전불이행,적설,흐림,단일로 - 기타,승용,남,48세,상해없음,미분류,미분류,미분류,미분류
2018021000100561,2018년 2월 10일 23시,토요일,세종특별자치시 세종특별자치시 금남면,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,기타 - 기타,승용,남,46세,상해없음,승용,남,46세,경상
2018031900100366,2018년 3월 19일 17시,월요일,충청남도 공주시 의당면,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,젖음/습기,흐림,단일로 - 기타,승용,여,30세,상해없음,승용,남,58세,경상
2018041400100178,2018년 4월 14일 09시,토요일,충청남도 공주시 의당면,중상사고,0,1,7,0,차대차 - 추돌,안전운전불이행,젖음/습기,비,단일로 - 기타,승용,남,50세,상해없음,승합,남,41세,경상
2018042300100065,2018년 4월 23일 06시,월요일,충청남도 공주시 유구읍,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,젖음/습기,비,기타 - 기타,승용,여,32세,상해없음,특수,남,56세,경상
2018050500100264,2018년 5월 5일 12시,토요일,세종특별자치시 세종특별자치시 장군면,경상사고,0,0,2,0,차대차 - 기타,기타,건조,맑음,기타 - 기타,승용,남,43세,상해없음,승용,남,41세,경상
2018050900100580,2018년 5월 9일 21시,수요일,세종특별자치시 세종특별자치시 장군면,경상사고,0,0,4,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,56세,경상,승용,남,26세,상해없음
2018061200100034,2018년 6월 12일 04시,화요일,대전광역시 유성구 반석동,중상사고,0,6,1,0,차대차 - 기타,안전운전불이행,젖음/습기,흐림,단일로 - 기타,화물,남,63세,경상,화물,남,42세,상해없음
2018061900100330,2018년 6월 19일 15시,화요일,대전광역시 유성구 자운동,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,젖음/습기,비,단일로 - 기타,특수,남,48세,상해없음,승용,남,73세,중상
2018071900100328,2018년 7월 19일 13시,목요일,충청남도 공주시 유구읍,경상사고,0,0,2,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,기타 - 기타,화물,남,68세,상해없음,승용,남,46세,경상
2018071900100686,2018년 7월 19일 22시,목요일,충청남도 공주시 우성면,경상사고,0,0,1,0,차대차 - 기타,중앙선침범,건조,맑음,단일로 - 기타,기타불명,기타불명,미분류,기타불명,승용,여,28세,상해없음
2018081400100507,2018년 8월 14일 18시,화요일,대전광역시 유성구 자운동,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,기타 - 기타,승용,남,20세,상해없음,승용,남,36세,경상
2018083100100459,2018년 8월 31일 18시,금요일,충청남도 공주시 사곡면,경상사고,0,0,3,1,차대차 - 추돌,안전거리미확보,건조,맑음,기타 - 기타,승용,남,24세,경상,승용,남,60세,경상
2018092300100350,2018년 9월 23일 18시,일요일,충청남도 예산군 오가면,중상사고,0,4,0,0,차대차 - 추돌,안전운전불이행,건조,흐림,단일로 - 기타,승용,남,26세,상해없음,승용,남,50세,중상
2018100500100063,2018년 10월 5일 05시,금요일,세종특별자치시 세종특별자치시 금남면,중상사고,0,1,1,0,차대차 - 추돌,안전운전불이행,젖음/습기,비,단일로 - 기타,승용,남,78세,중상,승용,남,43세,경상
2018101000100124,2018년 10월 10일 09시,수요일,충청남도 공주시 우성면,중상사고,0,2,0,0,차대차 - 기타,안전거리미확보,건조,맑음,기타 - 기타,화물,남,46세,상해없음,승용,남,39세,중상
2018110100100425,2018년 11월 1일 16시,목요일,대전광역시 유성구 반석동,중상사고,0,2,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,기타 - 기타,화물,남,31세,중상,화물,남,48세,중상
2018112700100401,2018년 11월 27일 17시,화요일,대전광역시 유성구 자운동,경상사고,0,0,1,0,차대차 - 추돌,안전거리미확보,건조,맑음,기타 - 기타,승용,남,24세,상해없음,승용,여,38세,경상
