사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2018032000100152,2018년 3월 20일 09시,화요일,경상남도 함안군 칠원읍,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 터널,승용,남,33세,경상,승용,남,64세,상해없음
2018040700100292,2018년 4월 7일 13시,토요일,경상남도 함안군 칠원읍,경상사고,0,0,4,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,24세,경상,승용,남,45세,경상
2018040700100464,2018년 4월 7일 17시,토요일,경상남도 함안군 칠원읍,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,28세,상해없음,승용,남,31세,경상
2018041500100157,2018년 4월 15일 11시,일요일,경상남도 함안군 칠원읍,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,33세,상해없음,승용,여,37세,상해없음
2018060300100352,2018년 6월 3일 17시,일요일,경상남도 함안군 칠원읍,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 터널,승용,남,52세,상해없음,승용,남,34세,상해없음
2018061500100206,2018년 6월 15일 11시,금요일,경상남도 창원시 의창구 동읍,경상사고,0,0,4,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,71세,상해없음,승용,남,51세,상해없음
2018070100100236,2018년 7월 1일 15시,일요일,경상남도 창원시 의창구 동읍,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승합,남,52세,상해없음,승용,남,33세,중상
2018080500100252,2018년 8월 5일 14시,일요일,경상남도 창원시 의창구 동읍,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 터널,승용,여,20세,상해없음,승용,남,46세,상해없음
2018082500100232,2018년 8월 25일 11시,토요일,경상남도 함안군 칠원읍,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,흐림,단일로 - 터널,승용,남,56세,상해없음,화물,남,66세,상해없음
2018090200100290,2018년 9월 2일 16시,일요일,경상남도 함안군 칠원읍,사망사고,2,0,4,0,차대차 - 추돌,안전운전불이행,젖음/습기,흐림,단일로 - 기타,특수,남,50세,상해없음,승용,남,46세,사망
2018100100100446,2018년 10월 1일 17시,월요일,경상남도 함안군 칠원읍,경상사고,0,0,3,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,29세,상해없음,승용,남,39세,경상
2018102800100222,2018년 10월 28일 12시,일요일,경상남도 함안군 칠원읍,경상사고,0,0,3,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,45세,상해없음,승용,남,59세,상해없음
2018110900100395,2018년 11월 9일 15시,금요일,경상남도 창원시 의창구 동읍,중상사고,0,4,3,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 터널,승용,남,36세,상해없음,승용,남,63세,중상
