사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2018120500100463,2018년 12월 5일 18시,수요일,광주광역시 광산구 운수동,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,15세,상해없음,승용,여,47세,경상
2019012200100101,2019년 1월 22일 06시,화요일,광주광역시 광산구 동산동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,특수,남,40세,상해없음,화물,남,64세,경상
2019030300100074,2019년 3월 3일 06시,일요일,전라남도 나주시 문평면,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 터널,승용,남,21세,상해없음,화물,남,47세,중상
2019030800100611,2019년 3월 8일 19시,금요일,광주광역시 광산구 동산동,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,33세,상해없음,승용,남,26세,경상
2019050500100346,2019년 5월 5일 15시,일요일,전라남도 나주시 문평면,경상사고,0,0,3,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,33세,상해없음,화물,남,26세,경상
2019050900100430,2019년 5월 9일 16시,목요일,광주광역시 광산구 운수동,중상사고,0,5,0,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,68세,상해없음,승합,남,58세,중상
2019051000100565,2019년 5월 10일 18시,금요일,전라남도 나주시 노안면,경상사고,0,0,3,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,26세,상해없음,승용,남,48세,경상
2019052000100654,2019년 5월 20일 21시,월요일,광주광역시 광산구 운수동,중상사고,0,1,3,0,차대차 - 기타,과속,건조,맑음,기타 - 기타,승용,남,27세,경상,승용,여,37세,경상
2019060800100597,2019년 6월 8일 21시,토요일,광주광역시 광산구 지죽동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,42세,상해없음,승용,여,36세,경상
2019061400100649,2019년 6월 14일 21시,금요일,광주광역시 광산구 지죽동,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,기타 - 기타,승용,남,71세,상해없음,승용,여,61세,경상
2019072500100301,2019년 7월 25일 13시,목요일,전라남도 나주시 노안면,중상사고,0,1,4,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,40세,경상,승용,남,69세,경상
2019072800100132,2019년 7월 28일 10시,일요일,전라남도 함평군 대동면,경상사고,0,0,1,0,차대차 - 기타,차로위반,젖음/습기,비,기타 - 기타,승용,남,21세,기타불명,승용,남,33세,상해없음
2019080200100477,2019년 8월 2일 17시,금요일,전라남도 나주시 문평면,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,31세,상해없음,화물,남,27세,경상
2019081700100206,2019년 8월 17일 11시,토요일,전라남도 함평군 엄다면,경상사고,0,0,3,1,차대차 - 기타,차로위반,건조,맑음,기타 - 기타,승용,남,20세,상해없음,승용,여,39세,경상
2019090100100181,2019년 9월 1일 11시,일요일,전라남도 함평군 함평읍,경상사고,0,0,1,0,차대차 - 기타,신호위반,건조,맑음,단일로 - 터널,화물,남,67세,상해없음,화물,남,39세,경상
2019100200100381,2019년 10월 2일 14시,수요일,광주광역시 광산구 동산동,경상사고,0,0,4,0,차대차 - 추돌,과속,젖음/습기,비,단일로 - 기타,승용,남,52세,상해없음,승용,남,62세,경상
2019100200100874,2019년 10월 2일 22시,수요일,전라남도 함평군 함평읍,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,젖음/습기,비,기타 - 기타,승용,남,50세,상해없음,승용,남,24세,경상
2019101300100369,2019년 10월 13일 17시,일요일,전라남도 나주시 문평면,경상사고,0,0,3,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,28세,상해없음,승용,남,28세,경상
2019102000100356,2019년 10월 20일 16시,일요일,전라남도 함평군 학교면,경상사고,0,0,3,2,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 터널,승용,여,39세,상해없음,승용,남,70세,상해없음
2019102400100292,2019년 10월 24일 12시,목요일,광주광역시 광산구 지죽동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 터널,승용,남,57세,상해없음,화물,남,38세,경상
2020041100100103,2020년 4월 11일 08시,토요일,전라남도 나주시 노안면,경상사고,0,0,2,0,차대차 - 기타,안전거리미확보,건조,맑음,기타 - 기타,승용,남,43세,상해없음,승용,남,34세,경상
2020042500100508,2020년 4월 25일 20시,토요일,전라남도 함평군 엄다면,중상사고,0,1,6,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,42세,중상,화물,남,50세,경상
2020052200100461,2020년 5월 22일 17시,금요일,전라남도 나주시 문평면,경상사고,0,0,1,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 터널,승용,남,47세,상해없음,승용,남,30세,경상
2020070300100386,2020년 7월 3일 16시,금요일,전라남도 나주시 문평면,경상사고,0,0,2,0,차대차 - 측면충돌,신호위반,젖음/습기,비,단일로 - 교량,특수,남,59세,경상,승용,여,34세,경상
2020072600100040,2020년 7월 26일 02시,일요일,광주광역시 광산구 서봉동,경상사고,0,0,3,0,차대차 - 추돌,안전거리미확보,젖음/습기,흐림,기타 - 기타,승용,남,52세,경상,승용,남,51세,경상
2020080200100273,2020년 8월 2일 17시,일요일,광주광역시 광산구 운수동,경상사고,0,0,3,0,차대차 - 기타,안전거리미확보,건조,맑음,기타 - 기타,화물,남,49세,상해없음,승용,여,32세,경상
2020092200100085,2020년 9월 22일 07시,화요일,광주광역시 광산구 광산동,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,건조,맑음,기타 - 기타,화물,남,71세,상해없음,승용,남,53세,경상
2020093000100218,2020년 9월 30일 12시,수요일,전라남도 나주시 노안면,경상사고,0,0,3,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,27세,상해없음,승용,남,49세,경상
2020101800100300,2020년 10월 18일 15시,일요일,전라남도 나주시 노안면,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,60세,상해없음,승용,남,30세,경상
2020110100100252,2020년 11월 1일 14시,일요일,광주광역시 광산구 운수동,중상사고,0,3,2,0,차대차 - 정면충돌,중앙선침범,젖음/습기,맑음,단일로 - 기타,승용,남,50세,상해없음,승용,남,42세,경상
2020110200100514,2020년 11월 2일 18시,월요일,전라남도 나주시 노안면,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,47세,상해없음,승용,남,21세,경상
2020111600100155,2020년 11월 16일 09시,월요일,광주광역시 광산구 운수동,경상사고,0,0,1,0,차대차 - 추돌,안전거리미확보,건조,맑음,기타 - 기타,승용,남,58세,상해없음,승용,남,29세,경상
