사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2018010600100091,2018년 1월 6일 06시,토요일,충청남도 당진시 송악읍,중상사고,0,2,0,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,52세,상해없음,승용,남,63세,중상
2018010700100030,2018년 1월 7일 01시,일요일,경기도 시흥시 조남동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,여,36세,상해없음,특수,남,54세,경상
2018010800100034,2018년 1월 8일 04시,월요일,충청남도 당진시 송악읍,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,젖음/습기,비,단일로 - 기타,승용,남,37세,상해없음,화물,남,45세,경상
2018010900100110,2018년 1월 9일 07시,화요일,경기도 광명시 일직동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,34세,상해없음,승용,남,46세,경상
2018011000100325,2018년 1월 10일 14시,수요일,경기도 화성시 비봉면,경상사고,0,0,4,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승합,여,67세,상해없음,승용,여,27세,경상
2018011000100372,2018년 1월 10일 15시,수요일,전라북도 부안군 백산면,중상사고,0,2,1,0,차대사람 - 기타,안전운전불이행,적설,눈,단일로 - 기타,승용,남,56세,상해없음,보행자,여,48세,경상
2018011000100373,2018년 1월 10일 15시,수요일,전라북도 부안군 주산면,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,서리/결빙,눈,단일로 - 기타,승용,남,57세,상해없음,승용,여,36세,경상
2018011100100597,2018년 1월 11일 22시,목요일,경기도 안산시 상록구 팔곡일동,사망사고,1,0,0,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,48세,상해없음,보행자,남,61세,사망
2018011200100076,2018년 1월 12일 05시,금요일,경기도 안양시 만안구 박달동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,50세,상해없음,승용,남,55세,경상
2018011200100714,2018년 1월 12일 23시,금요일,충청남도 당진시 용연리,사망사고,1,1,1,1,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,60세,사망,건설기계,남,58세,중상
2018011800100411,2018년 1월 18일 18시,목요일,전라북도 군산시 성산면,경상사고,0,0,2,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,50세,상해없음,승용,남,45세,경상
2018011800100424,2018년 1월 18일 18시,목요일,경기도 안양시 만안구 박달동,중상사고,0,1,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,건설기계,남,44세,경상,화물,남,57세,중상
2018011900100053,2018년 1월 19일 03시,금요일,서울특별시 금천구 시흥동,사망사고,1,0,1,0,차대사람 - 차도통행중,과속,건조,맑음,단일로 - 기타,승용,남,70세,상해없음,보행자,남,63세,사망
