사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2018010100100176,2018년 1월 1일 10시,월요일,강원도 강릉시 성산면,경상사고,0,0,2,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 기타,승합,남,39세,상해없음,승용,남,48세,경상
2018010100100258,2018년 1월 1일 15시,월요일,경기도 용인시 처인구 양지면,경상사고,0,0,4,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 터널,승용,남,35세,상해없음,승용,여,56세,경상
2018010700100024,2018년 1월 7일 01시,일요일,강원도 횡성군 안흥면,사망사고,1,0,0,0,차량단독 - 전도전복 - 전도,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,27세,사망,미분류,미분류,미분류,미분류
2018010700100105,2018년 1월 7일 08시,일요일,경기도 안산시 단원구 선부동,경상사고,0,0,5,0,차대차 - 기타,차로위반,건조,맑음,단일로 - 기타,기타불명,기타불명,미분류,기타불명,화물,남,60세,경상
2018010800100262,2018년 1월 8일 13시,월요일,경기도 이천시 호법면,사망사고,1,1,0,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,46세,상해없음,승용,남,79세,중상
2018011000100103,2018년 1월 10일 08시,수요일,경기도 수원시 장안구 파장동,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,건조,맑음,기타 - 기타,승합,남,42세,상해없음,승용,여,45세,경상
2018011100100499,2018년 1월 11일 19시,목요일,경기도 수원시 장안구 송죽동,경상사고,0,0,1,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,60세,기타불명,승용,여,47세,경상
2018011200100056,2018년 1월 12일 03시,금요일,경기도 용인시 처인구 유방동,중상사고,0,1,0,1,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,58세,중상,화물,남,60세,부상신고
2018011400100248,2018년 1월 14일 15시,일요일,경기도 용인시 처인구 유방동,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,28세,상해없음,승합,남,63세,경상
2018011400100288,2018년 1월 14일 17시,일요일,경기도 이천시 부발읍,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,35세,상해없음,승용,남,38세,경상
2018011500100405,2018년 1월 15일 16시,월요일,경기도 이천시 부발읍,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,기타 - 기타,화물,남,49세,상해없음,승용,여,44세,경상
