사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2018020200100349,2018년 2월 2일 15시,금요일,울산광역시 울주군 언양읍,경상사고,0,0,2,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,69세,경상,화물,남,51세,상해없음
2018033000100459,2018년 3월 30일 18시,금요일,울산광역시 울주군 언양읍,경상사고,0,0,3,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,48세,상해없음,승용,여,24세,경상
2018041600100556,2018년 4월 16일 21시,월요일,울산광역시 울주군 범서읍,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승합,남,71세,상해없음,승용,남,26세,경상
2018060700100089,2018년 6월 7일 08시,목요일,울산광역시 울주군 언양읍,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,37세,상해없음,승용,남,38세,경상
2018070200100637,2018년 7월 2일 23시,월요일,울산광역시 울주군 범서읍,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,젖음/습기,비,단일로 - 기타,승용,남,36세,상해없음,승용,여,45세,경상
2018083100100210,2018년 8월 31일 11시,금요일,울산광역시 울주군 언양읍,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,젖음/습기,비,기타 - 기타,승용,여,44세,상해없음,화물,남,47세,경상
2018090500100240,2018년 9월 5일 11시,수요일,울산광역시 울주군 언양읍,사망사고,1,0,0,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,66세,사망,화물,남,49세,상해없음
2018092100100661,2018년 9월 21일 19시,금요일,울산광역시 울주군 언양읍,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,젖음/습기,맑음,단일로 - 기타,화물,남,25세,상해없음,승용,남,46세,경상
2018101000100137,2018년 10월 10일 10시,수요일,울산광역시 울주군 언양읍,중상사고,0,1,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,특수,남,59세,상해없음,화물,남,28세,중상
2018122800100049,2018년 12월 28일 04시,금요일,울산광역시 울주군 범서읍,경상사고,0,0,2,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,화물,남,55세,상해없음,화물,남,43세,경상
2019011300100063,2019년 1월 13일 03시,일요일,울산광역시 울주군 언양읍,경상사고,0,0,5,0,차대차 - 측면충돌,중앙선침범,건조,맑음,단일로 - 기타,승용,남,27세,상해없음,승합,남,39세,경상
2019011300100163,2019년 1월 13일 12시,일요일,울산광역시 울주군 범서읍,중상사고,0,2,1,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,60세,중상,승용,남,35세,중상
2019013000100283,2019년 1월 30일 14시,수요일,울산광역시 울주군 범서읍,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,특수,남,52세,상해없음,승용,남,35세,경상
2019021000100130,2019년 2월 10일 11시,일요일,울산광역시 중구 다운동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,화물,남,45세,상해없음,승용,여,54세,경상
2019031800100474,2019년 3월 18일 19시,월요일,울산광역시 울주군 범서읍,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,46세,상해없음,승용,남,48세,경상
2019032100100268,2019년 3월 21일 12시,목요일,울산광역시 울주군 범서읍,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,42세,상해없음,승용,남,37세,경상
2019032600100085,2019년 3월 26일 06시,화요일,울산광역시 울주군 삼남면,중상사고,0,1,0,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,기타불명,기타불명,미분류,기타불명,화물,남,67세,상해없음
2019051400100252,2019년 5월 14일 12시,화요일,울산광역시 울주군 언양읍,중상사고,0,1,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,38세,경상,화물,남,45세,중상
2019051600100102,2019년 5월 16일 06시,목요일,울산광역시 울주군 언양읍,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,32세,상해없음,화물,남,54세,중상
2019070500100346,2019년 7월 5일 14시,금요일,울산광역시 울주군 언양읍,중상사고,0,2,2,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,화물,남,48세,상해없음,승합,남,45세,중상
2019090200100296,2019년 9월 2일 12시,월요일,울산광역시 중구 다운동,경상사고,0,0,1,1,차대차 - 추돌,안전운전불이행,젖음/습기,비,단일로 - 교량,승용,여,46세,부상신고,화물,남,57세,경상
2020051100100230,2020년 5월 11일 11시,월요일,울산광역시 울주군 언양읍,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,27세,상해없음,승용,남,65세,경상
2020052700100282,2020년 5월 27일 13시,수요일,울산광역시 울주군 언양읍,경상사고,0,0,2,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,화물,남,49세,상해없음,승용,남,37세,경상
2020062700100047,2020년 6월 27일 02시,토요일,울산광역시 울주군 언양읍,사망사고,1,0,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,35세,상해없음,보행자,남,62세,사망
2020062700100416,2020년 6월 27일 17시,토요일,울산광역시 울주군 범서읍,경상사고,0,0,2,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,26세,상해없음,승용,여,39세,경상
2020092000100405,2020년 9월 20일 18시,일요일,울산광역시 울주군 범서읍,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,특수,남,33세,상해없음,승용,남,29세,경상
2020100400100188,2020년 10월 4일 14시,일요일,울산광역시 울주군 범서읍,경상사고,0,0,4,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,28세,상해없음,승용,남,42세,경상
2020112900100207,2020년 11월 29일 15시,일요일,울산광역시 울주군 언양읍,경상사고,0,0,2,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,57세,상해없음,승용,남,56세,경상
