사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2018011000100329,2018년 1월 10일 14시,수요일,경기도 안성시 일죽면,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승합,남,70세,상해없음,화물,남,43세,중상
2018011900100034,2018년 1월 19일 01시,금요일,경기도 광주시 남한산성면,중상사고,0,1,0,0,차량단독 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,30세,중상,,,,
2018011900100438,2018년 1월 19일 18시,금요일,경상남도 함양군 서하면,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,46세,상해없음,승용,남,46세,중상
2018012500100027,2018년 1월 25일 03시,목요일,경기도 이천시 마장면,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,28세,상해없음,화물,남,25세,경상
2018012500100329,2018년 1월 25일 16시,목요일,경기도 광주시 남한산성면,경상사고,0,0,3,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,64세,상해없음,승용,여,49세,경상
2018012600100354,2018년 1월 26일 16시,금요일,경기도 이천시 모가면,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,63세,상해없음,승용,남,41세,경상
2018012600100629,2018년 1월 26일 23시,금요일,경상남도 산청군 금서면,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,기타 - 기타,특수,남,40세,상해없음,화물,남,58세,경상
2018012700100134,2018년 1월 27일 09시,토요일,경기도 안성시 일죽면,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,42세,상해없음,승용,남,33세,중상
2018012800100265,2018년 1월 28일 17시,일요일,경기도 광주시 초월읍,부상신고사고,0,0,0,1,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,35세,상해없음,승용,남,48세,부상신고
2018013100100385,2018년 1월 31일 17시,수요일,경기도 하남시 하산곡동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,화물,남,57세,상해없음,승용,남,37세,경상
2018020200100575,2018년 2월 2일 21시,금요일,경기도 하남시 상산곡동,경상사고,0,0,1,0,차대차 - 기타,기타,건조,맑음,기타 - 기타,승용,남,23세,경상,화물,남,54세,상해없음
2018020300100024,2018년 2월 3일 00시,토요일,충청북도 음성군 삼성면,사망사고,1,1,4,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 기타,특수,남,37세,경상,화물,남,45세,경상
2018020300100395,2018년 2월 3일 14시,토요일,충청북도 청주시 청원구 오창읍,경상사고,0,0,2,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,45세,상해없음,승용,남,25세,경상
2018020300100668,2018년 2월 3일 21시,토요일,경기도 이천시 마장면,중상사고,0,4,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,70세,상해없음,화물,남,54세,중상
2018020800100015,2018년 2월 8일 00시,목요일,경기도 하남시 천현동,경상사고,0,0,4,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,45세,상해없음,승용,남,55세,경상
2018020800100264,2018년 2월 8일 11시,목요일,경기도 하남시 하산곡동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,화물,남,51세,상해없음,화물,남,30세,경상
2018020900100253,2018년 2월 9일 11시,금요일,경상남도 함양군 지곡면,중상사고,0,2,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,65세,상해없음,화물,남,60세,중상
2018021000100462,2018년 2월 10일 19시,토요일,경기도 하남시 덕풍동,중상사고,0,1,3,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,26세,중상,승용,남,41세,경상
2018021200100168,2018년 2월 12일 09시,월요일,충청북도 청주시 흥덕구 신성동,경상사고,0,0,1,0,차대차 - 측면충돌,교차로운행방법위반,건조,맑음,단일로 - 기타,승합,남,63세,상해없음,화물,남,49세,경상
2018021400100099,2018년 2월 14일 05시,수요일,경기도 이천시 마장면,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,건조,흐림,단일로 - 기타,승용,남,20세,상해없음,승용,남,20세,상해없음
2018021500100105,2018년 2월 15일 05시,목요일,충청북도 음성군 금왕읍,사망사고,1,0,0,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,60세,상해없음,보행자,남,46세,사망
