사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2018010300100019,2018년 1월 3일 02시,수요일,강원도 횡성군 공근면,중상사고,0,1,0,0,차량단독 - 공작물충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,37세,중상,,,,
2018010300100425,2018년 1월 3일 20시,수요일,강원도 원주시 판부면,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,54세,상해없음,승용,남,51세,경상
2018010500100516,2018년 1월 5일 22시,금요일,경상북도 안동시 풍산읍,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,44세,상해없음,승용,남,47세,중상
2018010800100225,2018년 1월 8일 12시,월요일,경상남도 김해시 대동면,중상사고,0,1,0,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,51세,상해없음,화물,남,40세,중상
2018011300100125,2018년 1월 13일 06시,토요일,경상북도 안동시 남후면,중상사고,0,2,2,0,차대차 - 정면충돌,기타,젖음/습기,흐림,단일로 - 기타,승용,남,40세,상해없음,화물,남,59세,중상
2018011300100548,2018년 1월 13일 23시,토요일,부산광역시 강서구 대저1동,중상사고,0,1,2,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 고가도로위,승용,남,44세,경상,승용,남,43세,상해없음
2018011900100080,2018년 1월 19일 06시,금요일,강원도 원주시 지정면,중상사고,0,1,4,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,24세,경상,승용,남,62세,경상
2018012200100256,2018년 1월 22일 14시,월요일,부산광역시 강서구 대저1동,중상사고,0,4,3,0,차대차 - 추돌,안전운전불이행,젖음/습기,흐림,기타 - 기타,승용,남,43세,상해없음,승용,여,41세,중상
2018012300100099,2018년 1월 23일 08시,화요일,경상북도 예천군 보문면,중상사고,0,1,0,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 기타,화물,남,47세,상해없음,승용,남,34세,중상
2018012500100004,2018년 1월 25일 00시,목요일,충청북도 단양군 대강면,중상사고,0,1,1,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 터널,화물,남,56세,중상,건설기계,남,44세,상해없음
