사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2018012000100167,2018년 1월 20일 09시,토요일,전라북도 전주시 덕진구 용정동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,여,39세,상해없음,화물,남,28세,경상
2018012400100167,2018년 1월 24일 10시,수요일,광주광역시 광산구 수완동,중상사고,0,1,3,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,46세,상해없음,승용,남,31세,경상
2018012700100488,2018년 1월 27일 21시,토요일,전라북도 정읍시 정우면,경상사고,0,0,3,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,28세,경상,승용,남,60세,경상
2018020800100303,2018년 2월 8일 12시,목요일,전라북도 익산시 왕궁면,사망사고,1,0,0,0,차량단독 - 공작물충돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,65세,사망,,,,
2018020900100470,2018년 2월 9일 17시,금요일,전라북도 완주군 이서면,경상사고,0,0,2,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,27세,상해없음,승용,남,35세,경상
2018021100100473,2018년 2월 11일 23시,일요일,전라북도 익산시 왕궁면,경상사고,0,0,3,0,차대차 - 추돌,안전운전불이행,적설,눈,단일로 - 기타,승용,여,29세,경상,화물,남,39세,경상
2018021200100008,2018년 2월 12일 00시,월요일,전라북도 정읍시 입암면,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,47세,상해없음,승용,남,27세,경상
2018021200100404,2018년 2월 12일 15시,월요일,전라북도 익산시 여산면,사망사고,1,0,0,0,차대차 - 측면충돌,안전운전불이행,적설,눈,단일로 - 기타,화물,남,69세,사망,승용,남,54세,상해없음
2018021200100728,2018년 2월 12일 22시,월요일,전라북도 익산시 여산면,중상사고,0,1,1,0,차대차 - 기타,안전운전불이행,적설,눈,단일로 - 기타,화물,남,50세,중상,승용,남,59세,경상
2018021800100293,2018년 2월 18일 20시,일요일,전라남도 담양군 대덕면,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,23세,상해없음,승용,남,53세,경상
2018022200100330,2018년 2월 22일 15시,목요일,전라북도 완주군 이서면,경상사고,0,0,2,2,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 기타,화물,남,20세,상해없음,승용,남,51세,경상
2018022700100118,2018년 2월 27일 09시,화요일,광주광역시 북구 매곡동,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,34세,상해없음,승용,여,35세,경상
2018030200100461,2018년 3월 2일 18시,금요일,광주광역시 북구 매곡동,경상사고,0,0,2,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,여,39세,상해없음,승용,여,58세,경상
2018031900100115,2018년 3월 19일 08시,월요일,광주광역시 북구 운암동,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,27세,상해없음,승용,여,35세,경상
2018031900100490,2018년 3월 19일 20시,월요일,전라남도 장성군 남면,경상사고,0,0,1,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 기타,승합,남,57세,상해없음,승용,남,49세,경상
2018032000100034,2018년 3월 20일 04시,화요일,전라남도 순천시 승주읍,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,32세,상해없음,화물,남,64세,경상
2018032300100030,2018년 3월 23일 03시,금요일,전라북도 정읍시 태인면,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,50세,상해없음,화물,남,27세,중상
2018040600100362,2018년 4월 6일 15시,금요일,전라북도 전주시 덕진구 용정동,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,63세,상해없음,승용,남,52세,경상
2018040700100059,2018년 4월 7일 02시,토요일,전라북도 익산시 여산면,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,41세,상해없음,승용,남,53세,경상
2018040800100346,2018년 4월 8일 17시,일요일,전라북도 익산시 여산면,경상사고,0,0,2,1,차대차 - 측면충돌,안전운전불이행,건조,맑음,기타 - 기타,승용,남,30세,상해없음,승용,여,20세,경상
2018041400100343,2018년 4월 14일 14시,토요일,전라남도 순천시 승주읍,중상사고,0,1,0,1,차대차 - 기타,안전운전불이행,젖음/습기,비,단일로 - 기타,승용,남,19세,부상신고,승용,남,26세,상해없음
2018041700100564,2018년 4월 17일 21시,화요일,전라남도 순천시 승주읍,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,60세,상해없음,화물,남,35세,상해없음
2018041700100606,2018년 4월 17일 23시,화요일,전라남도 순천시 승주읍,사망사고,1,0,0,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,38세,사망,건설기계,남,48세,상해없음
2018042600100204,2018년 4월 26일 11시,목요일,전라남도 순천시 서면,중상사고,0,1,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,특수,남,36세,상해없음,승용,남,57세,경상
2018042800100054,2018년 4월 28일 02시,토요일,광주광역시 북구 장등동,경상사고,0,0,2,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,27세,상해없음,승용,남,60세,경상
2018042900100154,2018년 4월 29일 10시,일요일,전라북도 익산시 여산면,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,기타 - 기타,승용,여,63세,상해없음,보행자,여,53세,경상
2018050500100413,2018년 5월 5일 16시,토요일,광주광역시 북구 연제동,경상사고,0,0,5,0,차대차 - 측면충돌,차로위반,건조,맑음,단일로 - 기타,승용,남,43세,경상,화물,남,78세,경상
2018051000100303,2018년 5월 10일 13시,목요일,전라북도 익산시 여산면,사망사고,1,0,0,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,특수,남,38세,상해없음,보행자,남,51세,사망
2018051000100498,2018년 5월 10일 18시,목요일,광주광역시 북구 동림동,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,49세,상해없음,승용,여,27세,중상
2018051400100075,2018년 5월 14일 07시,월요일,전라남도 순천시 승주읍,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,기타 - 기타,화물,남,33세,상해없음,승용,남,63세,경상
2018051400100449,2018년 5월 14일 18시,월요일,광주광역시 북구 동림동,경상사고,0,0,1,0,차대차 - 기타,차로위반,건조,맑음,교차로 - 교차로안,승용,남,71세,상해없음,승용,여,40세,경상
2018051900100442,2018년 5월 19일 15시,토요일,전라남도 장성군 장성읍,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,승용,여,51세,상해없음,승용,여,34세,경상
2018052100100175,2018년 5월 21일 10시,월요일,광주광역시 북구 용봉동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,19세,상해없음,승용,남,48세,경상
2018052800100486,2018년 5월 28일 18시,월요일,전라북도 익산시 여산면,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,31세,상해없음,승용,여,52세,중상
2018053100100581,2018년 5월 31일 19시,목요일,전라북도 익산시 여산면,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,55세,상해없음,화물,남,62세,경상
2018060900100550,2018년 6월 9일 20시,토요일,전라남도 담양군 창평면,중상사고,0,4,0,0,차대차 - 기타,안전운전불이행,젖음/습기,비,단일로 - 기타,승용,여,39세,중상,승용,남,65세,상해없음
2018061000100136,2018년 6월 10일 09시,일요일,전라남도 담양군 고서면,경상사고,0,0,3,0,차대차 - 추돌,기타,건조,맑음,단일로 - 기타,화물,남,38세,상해없음,승용,남,28세,상해없음
2018061000100483,2018년 6월 10일 23시,일요일,전라남도 담양군 고서면,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,젖음/습기,비,단일로 - 기타,승용,여,52세,상해없음,승용,남,30세,경상
2018061500100446,2018년 6월 15일 17시,금요일,광주광역시 광산구 수완동,경상사고,0,0,1,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 기타,승합,남,28세,상해없음,승용,여,53세,경상
2018062000100054,2018년 6월 20일 05시,수요일,전라남도 장성군 장성읍,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,23세,상해없음,화물,남,42세,경상
2018062100100183,2018년 6월 21일 10시,목요일,전라북도 정읍시 태인면,경상사고,0,0,1,0,차대차 - 기타,기타,건조,맑음,단일로 - 기타,승용,남,42세,상해없음,화물,남,59세,경상
2018062200100360,2018년 6월 22일 14시,금요일,광주광역시 북구 동림동,경상사고,0,0,2,0,차대차 - 기타,차로위반,건조,맑음,교차로 - 교차로안,승용,남,62세,경상,승용,남,39세,상해없음
2018062600100031,2018년 6월 26일 02시,화요일,전라북도 정읍시 입암면,사망사고,1,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,42세,사망,화물,남,46세,경상
2018062800100006,2018년 6월 28일 00시,목요일,전라북도 익산시 왕궁면,경상사고,0,0,2,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,화물,남,53세,경상,승용,남,57세,경상
2018062900100640,2018년 6월 29일 23시,금요일,전라남도 장성군 장성읍,경상사고,0,0,2,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,49세,상해없음,승용,남,48세,경상
2018071300100285,2018년 7월 13일 13시,금요일,전라남도 순천시 서면,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,건설기계,남,48세,상해없음,특수,남,26세,경상
2018071400100367,2018년 7월 14일 15시,토요일,광주광역시 북구 장등동,사망사고,1,3,9,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 고가도로위,승용,남,40세,경상,승용,남,44세,경상
2018071700100634,2018년 7월 17일 21시,화요일,광주광역시 북구 매곡동,경상사고,0,0,3,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,화물,남,65세,상해없음,승용,남,35세,경상
2018071900100184,2018년 7월 19일 09시,목요일,전라남도 순천시 주암면,경상사고,0,0,3,0,차대차 - 기타,과속,건조,맑음,단일로 - 기타,승용,여,35세,경상,화물,남,55세,상해없음
2018081200100048,2018년 8월 12일 03시,일요일,전라남도 장성군 남면,경상사고,0,0,1,0,차대차 - 기타,차로위반,건조,맑음,단일로 - 기타,승용,여,46세,경상,승용,남,33세,상해없음
2018082600100088,2018년 8월 26일 04시,일요일,광주광역시 북구 문흥동,중상사고,0,1,0,0,차량단독 - 기타,안전운전불이행,젖음/습기,비,단일로 - 기타,승용,남,34세,상해없음,,,,
2018090300100388,2018년 9월 3일 16시,월요일,전라북도 김제시 금구면,중상사고,0,1,2,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,60세,상해없음,승용,남,63세,경상
2018090800100209,2018년 9월 8일 10시,토요일,전라남도 장성군 장성읍,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 터널,승용,남,41세,상해없음,승용,남,33세,상해없음
2018090900100009,2018년 9월 9일 00시,일요일,광주광역시 북구 문흥동,경상사고,0,0,3,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,68세,상해없음,승용,여,34세,경상
2018091600100027,2018년 9월 16일 01시,일요일,전라북도 완주군 이서면,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,25세,상해없음,승용,여,39세,경상
2018091700100314,2018년 9월 17일 14시,월요일,광주광역시 북구 용봉동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,55세,상해없음,승용,남,31세,경상
2018092100100248,2018년 9월 21일 10시,금요일,전라북도 익산시 왕궁면,경상사고,0,0,5,0,차대차 - 기타,안전운전불이행,젖음/습기,비,단일로 - 기타,화물,남,51세,상해없음,승용,남,35세,경상
2018092200100148,2018년 9월 22일 08시,토요일,광주광역시 광산구 수완동,경상사고,0,0,3,1,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,32세,상해없음,승용,남,34세,경상
2018092400100108,2018년 9월 24일 11시,월요일,전라북도 전주시 덕진구 용정동,경상사고,0,0,3,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,32세,상해없음,승용,여,35세,경상
2018092400100431,2018년 9월 24일 23시,월요일,광주광역시 북구 동림동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,38세,상해없음,승용,여,44세,경상
2018092500100006,2018년 9월 25일 00시,화요일,전라북도 익산시 여산면,중상사고,0,6,3,1,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,31세,중상,승용,남,65세,상해없음
2018100400100183,2018년 10월 4일 09시,목요일,광주광역시 북구 용봉동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,33세,상해없음,승용,여,46세,경상
2018100600100148,2018년 10월 6일 04시,토요일,전라남도 담양군 대덕면,중상사고,0,3,0,0,차량단독 - 공작물충돌,안전운전불이행,젖음/습기,비,단일로 - 터널,승합,남,60세,상해없음,,,,
