사고부문,사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
노선버스사고,2020010400100251,2020년 1월 4일 14시,토요일,부산광역시 동래구 온천동,중상사고,0,1,0,0,차대사람 - 기타,기타,건조,맑음,단일로 - 기타,승합,남,60세,상해없음,보행자,여,63세,중상
노선버스사고,2020010400100314,2020년 1월 4일 16시,토요일,부산광역시 부산진구 당감동,경상사고,0,0,1,0,차량단독 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승합,남,61세,상해없음,,,,
노선버스사고,2020010400100516,2020년 1월 4일 23시,토요일,부산광역시 북구 화명동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,승합,남,55세,상해없음,보행자,여,52세,중상
노선버스사고,2020010500100093,2020년 1월 5일 09시,일요일,부산광역시 금정구 금사동,경상사고,0,0,4,0,차대차 - 측면충돌,기타,건조,맑음,교차로 - 교차로안,승합,남,59세,경상,승용,여,51세,경상
노선버스사고,2020010600100149,2020년 1월 6일 10시,월요일,부산광역시 중구 남포동2가,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승합,남,54세,상해없음,보행자,여,76세,경상
노선버스사고,2.02001E+15,2020년 1월 6일 10시,월요일,부산광역시 동래구 사직동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승합,남,56세,상해없음,승용,남,43세,경상
노선버스사고,2020010600100433,2020년 1월 6일 18시,월요일,부산광역시 해운대구 재송동,경상사고,0,0,2,0,차대차 - 측면충돌,안전운전불이행,젖음/습기,비,단일로 - 기타,승합,남,52세,상해없음,화물,남,49세,상해없음
노선버스사고,2020010600100436,2020년 1월 6일 18시,월요일,부산광역시 사하구 장림동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,젖음/습기,비,단일로 - 기타,승합,남,66세,상해없음,이륜,남,32세,경상
노선버스사고,2020010700100247,2020년 1월 7일 12시,화요일,부산광역시 동래구 온천동,경상사고,0,0,2,0,차대차 - 추돌,안전거리미확보,젖음/습기,비,단일로 - 기타,승합,남,25세,상해없음,승용,여,55세,경상
노선버스사고,2020010800100591,2020년 1월 8일 23시,수요일,부산광역시 동구 초량동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승합,남,58세,상해없음,보행자,남,38세,경상
