사고부문,사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
뺑소니사고,2020010100100137,2020년 1월 1일 11시,수요일,부산광역시 사하구 하단동,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,71세,상해없음,자전거,남,77세,중상
뺑소니사고,2020010100100261,2020년 1월 1일 18시,수요일,부산광역시 부산진구 개금동,경상사고,0,0,1,0,차대사람 - 횡단중,신호위반,건조,맑음,단일로 - 기타,승용,남,47세,상해없음,보행자,남,18세,경상
뺑소니사고,2020010300100039,2020년 1월 3일 04시,금요일,부산광역시 부산진구 부전동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,21세,상해없음,이륜,여,32세,경상
뺑소니사고,2020010300100524,2020년 1월 3일 20시,금요일,부산광역시 부산진구 부전동,경상사고,0,0,1,0,차대사람 - 횡단중,신호위반,건조,맑음,교차로 - 교차로횡단보도내,승용,남,33세,상해없음,보행자,여,26세,경상
뺑소니사고,2020010300100554,2020년 1월 3일 21시,금요일,부산광역시 금정구 구서동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,기타 - 기타,승용,여,27세,상해없음,보행자,남,36세,경상
뺑소니사고,2020010300100596,2020년 1월 3일 23시,금요일,부산광역시 부산진구 양정동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,38세,상해없음,승용,남,41세,경상
뺑소니사고,2020010400100058,2020년 1월 4일 04시,토요일,부산광역시 부산진구 부전동,중상사고,0,1,1,0,차대차 - 측면충돌,신호위반,건조,맑음,단일로 - 기타,승용,여,73세,상해없음,승용,남,43세,중상
뺑소니사고,2020010500100149,2020년 1월 5일 12시,일요일,부산광역시 북구 덕천동,경상사고,0,0,2,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,화물,남,48세,상해없음,승용,여,48세,상해없음
뺑소니사고,2020010600100632,2020년 1월 6일 22시,월요일,부산광역시 중구 보수동2가,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,젖음/습기,비,단일로 - 지하차도(도로)내,승용,남,73세,상해없음,이륜,남,37세,중상
뺑소니사고,2020010700100652,2020년 1월 7일 21시,화요일,부산광역시 동래구 온천동,경상사고,0,0,2,0,차대차 - 측면충돌,안전운전불이행,젖음/습기,비,단일로 - 기타,승용,남,64세,상해없음,승용,남,41세,경상
뺑소니사고,2020010800100522,2020년 1월 8일 20시,수요일,부산광역시 서구 충무동1가,중상사고,0,1,0,0,차대사람 - 차도통행중,안전운전불이행,건조,맑음,교차로 - 교차로부근,이륜,남,59세,상해없음,보행자,여,73세,중상
뺑소니사고,2020010800100574,2020년 1월 8일 22시,수요일,부산광역시 사하구 하단동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,교차로 - 교차로횡단보도내,승용,남,47세,상해없음,보행자,남,15세,중상
뺑소니사고,2020010900100122,2020년 1월 9일 09시,목요일,부산광역시 금정구 청룡동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,기타 - 기타,승용,여,61세,상해없음,보행자,남,46세,경상
뺑소니사고,2020010900100318,2020년 1월 9일 16시,목요일,부산광역시 금정구 장전동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,기타 - 기타,승용,여,67세,상해없음,보행자,남,60세,경상
뺑소니사고,2020011000100058,2020년 1월 10일 06시,금요일,부산광역시 부산진구 부암동,중상사고,0,1,0,0,차대차 - 정면충돌,교차로운행방법위반,건조,맑음,교차로 - 교차로부근,승용,남,27세,상해없음,승용,남,58세,중상
뺑소니사고,2020011000100594,2020년 1월 10일 22시,금요일,부산광역시 사하구 장림동,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,45세,상해없음,승용,남,40세,경상
뺑소니사고,2020011200100182,2020년 1월 12일 14시,일요일,부산광역시 연제구 연산동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,57세,상해없음,보행자,여,68세,경상
뺑소니사고,2020011300100252,2020년 1월 13일 14시,월요일,부산광역시 사상구 엄궁동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,화물,남,63세,상해없음,승용,남,31세,경상
뺑소니사고,2020011400100018,2020년 1월 14일 01시,화요일,부산광역시 금정구 장전동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로부근,이륜,남,18세,상해없음,승용,남,59세,경상
뺑소니사고,2.02001E+15,2020년 1월 14일 07시,화요일,부산광역시 사상구 모라동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,51세,상해없음,승합,남,48세,경상
뺑소니사고,2020011600100117,2020년 1월 16일 09시,목요일,부산광역시 부산진구 연지동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,59세,기타불명,보행자,여,57세,경상
뺑소니사고,2020011600100543,2020년 1월 16일 20시,목요일,부산광역시 부산진구 초읍동,경상사고,0,0,3,0,차대차 - 측면충돌,중앙선침범,건조,맑음,교차로 - 교차로부근,승용,남,63세,상해없음,승용,남,61세,경상
뺑소니사고,2.02001E+15,2020년 1월 17일 07시,금요일,부산광역시 사상구 엄궁동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,기타 - 기타,화물,남,61세,상해없음,승용,남,70세,경상
뺑소니사고,2020011800100074,2020년 1월 18일 06시,토요일,부산광역시 사상구 엄궁동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,젖음/습기,비,교차로 - 교차로부근,화물,남,72세,상해없음,승용,남,41세,경상
뺑소니사고,2020011900100191,2020년 1월 19일 13시,일요일,부산광역시 금정구 회동동,부상신고사고,0,0,0,3,차대차 - 측면충돌,안전운전불이행,건조,맑음,기타 - 기타,건설기계,남,63세,상해없음,승용,남,49세,부상신고
뺑소니사고,2020012000100217,2020년 1월 20일 11시,월요일,부산광역시 부산진구 범천동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로부근,화물,남,75세,상해없음,보행자,여,50세,경상
뺑소니사고,2020012000100293,2020년 1월 20일 13시,월요일,부산광역시 중구 남포동4가,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 지하차도(도로)내,이륜,남,26세,상해없음,보행자,남,53세,중상
뺑소니사고,2020012000100337,2020년 1월 20일 14시,월요일,부산광역시 북구 구포동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,이륜,남,18세,상해없음,보행자,남,68세,경상
뺑소니사고,2.02001E+15,2020년 1월 21일 18시,화요일,부산광역시 금정구 장전동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,22세,상해없음,보행자,여,20세,경상
뺑소니사고,2020012300100115,2020년 1월 23일 08시,목요일,부산광역시 사상구 학장동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,젖음/습기,비,단일로 - 고가도로위,승용,남,29세,상해없음,승용,남,44세,경상
뺑소니사고,2020012400100282,2020년 1월 24일 16시,금요일,부산광역시 부산진구 가야동,경상사고,0,0,1,0,차대사람 - 차도통행중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,56세,상해없음,보행자,여,60세,경상
뺑소니사고,2020012400100324,2020년 1월 24일 18시,금요일,부산광역시 북구 만덕동,중상사고,0,1,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,60세,상해없음,승용,남,76세,경상
뺑소니사고,2020012600100045,2020년 1월 26일 05시,일요일,부산광역시 동래구 낙민동,중상사고,0,2,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,27세,상해없음,화물,남,59세,중상
