사고부문,사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
어린이사고,2020010300100143,2020년 1월 3일 10시,금요일,부산광역시 중구 중앙동4가,경상사고,0,0,6,0,차대차 - 측면충돌,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,남,46세,상해없음,승용,여,42세,경상
어린이사고,2020010400100123,2020년 1월 4일 09시,토요일,부산광역시 해운대구 재송동,경상사고,0,0,2,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,64세,상해없음,승용,남,42세,경상
어린이사고,2020010500100286,2020년 1월 5일 17시,일요일,부산광역시 부산진구 당감동,중상사고,0,2,11,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,여,55세,기타불명,승용,남,69세,중상
어린이사고,2020010500100413,2020년 1월 5일 23시,일요일,부산광역시 기장군 정관읍,경상사고,0,0,2,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,39세,상해없음,승용,남,38세,경상
어린이사고,2020010700100247,2020년 1월 7일 12시,화요일,부산광역시 동래구 온천동,경상사고,0,0,2,0,차대차 - 추돌,안전거리미확보,젖음/습기,비,단일로 - 기타,승합,남,25세,상해없음,승용,여,55세,경상
어린이사고,2020010800100128,2020년 1월 8일 08시,수요일,부산광역시 해운대구 중동,경상사고,0,0,2,2,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,여,39세,상해없음,승용,남,36세,경상
어린이사고,2020010800100433,2020년 1월 8일 18시,수요일,부산광역시 사하구 장림동,중상사고,0,4,0,0,차대차 - 기타,차로위반,건조,맑음,단일로 - 기타,승용,여,46세,상해없음,승용,남,36세,중상
어린이사고,2020010900100351,2020년 1월 9일 17시,목요일,부산광역시 부산진구 양정동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,이륜,남,28세,상해없음,승용,남,35세,기타불명
어린이사고,2020011000100343,2020년 1월 10일 15시,금요일,부산광역시 북구 화명동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,교차로 - 교차로부근,승용,여,70세,상해없음,보행자,남,10세,경상
어린이사고,2.02001E+15,2020년 1월 11일 20시,토요일,부산광역시 부산진구 부전동,중상사고,0,1,3,0,차대차 - 기타,중앙선침범,건조,맑음,교차로 - 교차로안,승용,남,60세,상해없음,승용,남,64세,상해없음
어린이사고,2020011300100188,2020년 1월 13일 12시,월요일,부산광역시 부산진구 가야동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,단일로 - 기타,승용,남,70세,상해없음,보행자,여,11세,경상
어린이사고,2020011300100332,2020년 1월 13일 16시,월요일,부산광역시 부산진구 전포동,경상사고,0,0,5,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,화물,남,62세,상해없음,승용,여,60세,경상
어린이사고,2020011400100161,2020년 1월 14일 10시,화요일,부산광역시 기장군 정관읍,경상사고,0,0,2,0,차대차 - 측면충돌,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,남,69세,상해없음,승용,남,44세,경상
어린이사고,2020011400100441,2020년 1월 14일 18시,화요일,부산광역시 북구 화명동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,단일로 - 기타,승용,남,38세,상해없음,보행자,남,12세,경상
어린이사고,2.02001E+15,2020년 1월 15일 15시,수요일,부산광역시 수영구 망미동,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 고가도로위,승용,남,49세,상해없음,승용,여,40세,경상
어린이사고,2020011500100392,2020년 1월 15일 17시,수요일,부산광역시 서구 아미동2가,중상사고,0,1,0,1,차대차 - 측면충돌,기타,건조,맑음,교차로 - 교차로안,승용,여,42세,중상,승용,여,60세,상해없음
어린이사고,2020011600100498,2020년 1월 16일 19시,목요일,부산광역시 부산진구 범천동,중상사고,0,1,1,0,차대차 - 측면충돌,신호위반,건조,기타,교차로 - 교차로안,승용,남,19세,기타불명,승용,남,44세,중상
어린이사고,2020011600100542,2020년 1월 16일 20시,목요일,부산광역시 동래구 사직동,중상사고,0,1,0,0,차대사람 - 차도통행중,안전운전불이행,건조,맑음,단일로 - 기타,이륜,남,47세,상해없음,보행자,남,5세,중상
어린이사고,2020011800100211,2020년 1월 18일 12시,토요일,부산광역시 동래구 온천동,경상사고,0,0,3,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,화물,남,69세,상해없음,승용,남,39세,경상
어린이사고,2020011800100214,2020년 1월 18일 12시,토요일,부산광역시 부산진구 양정동,경상사고,0,0,2,0,차대차 - 측면충돌,차로위반,건조,맑음,단일로 - 기타,승용,남,31세,상해없음,승용,여,35세,경상
어린이사고,2.02001E+15,2020년 1월 18일 19시,토요일,부산광역시 연제구 연산동,경상사고,0,0,3,2,차대차 - 기타,차로위반,건조,맑음,교차로 - 교차로안,승용,남,67세,상해없음,승용,남,36세,경상
어린이사고,2020011900100191,2020년 1월 19일 13시,일요일,부산광역시 금정구 회동동,부상신고사고,0,0,0,3,차대차 - 측면충돌,안전운전불이행,건조,맑음,기타 - 기타,건설기계,남,63세,상해없음,승용,남,49세,부상신고
어린이사고,2020011900100292,2020년 1월 19일 17시,일요일,부산광역시 동래구 온천동,경상사고,0,0,3,0,차대차 - 정면충돌,불법유턴,건조,맑음,교차로 - 교차로부근,승용,여,62세,상해없음,승용,남,36세,경상
어린이사고,2020012000100382,2020년 1월 20일 15시,월요일,부산광역시 부산진구 초읍동,경상사고,0,0,1,0,차대사람 - 기타,신호위반,건조,맑음,교차로 - 교차로횡단보도내,승합,여,36세,상해없음,보행자,남,6세,경상
어린이사고,2020012100100357,2020년 1월 21일 14시,화요일,부산광역시 동래구 온천동,중상사고,0,2,4,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,73세,상해없음,승용,여,43세,중상
