사고부문,사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
어린이보호구역 내 어린이 사고,2020012000100382,2020년 1월 20일 15시,월요일,부산광역시 부산진구 초읍동,경상사고,0,0,1,0,차대사람 - 기타,신호위반,건조,맑음,교차로 - 교차로횡단보도내,승합,여,36세,상해없음,보행자,남,6세,경상
어린이보호구역 내 어린이 사고,2020012900100088,2020년 1월 29일 08시,수요일,부산광역시 사하구 장림동,중상사고,0,1,0,0,차대사람 - 횡단중,기타,건조,맑음,단일로 - 기타,승용,여,27세,상해없음,보행자,여,9세,중상
어린이보호구역 내 어린이 사고,2020021400100249,2020년 2월 14일 13시,금요일,부산광역시 연제구 연산동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,단일로 - 기타,이륜,남,68세,상해없음,보행자,여,7세,경상
어린이보호구역 내 어린이 사고,2020033100100102,2020년 3월 31일 09시,화요일,부산광역시 수영구 망미동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,교차로 - 교차로횡단보도내,승용,남,31세,상해없음,보행자,여,12세,경상
어린이보호구역 내 어린이 사고,2020040700100137,2020년 4월 7일 10시,화요일,부산광역시 사하구 다대동,경상사고,0,0,2,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,기타 - 기타,승용,남,59세,상해없음,보행자,여,42세,경상
어린이보호구역 내 어린이 사고,2020042400100609,2020년 4월 24일 22시,금요일,부산광역시 영도구 동삼동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,단일로 - 기타,승용,남,54세,상해없음,보행자,여,8세,중상
어린이보호구역 내 어린이 사고,2020042700100321,2020년 4월 27일 15시,월요일,부산광역시 강서구 명지동,경상사고,0,0,1,0,차대사람 - 기타,보행자보호의무위반,건조,맑음,교차로 - 교차로부근,승용,여,66세,상해없음,보행자,남,5세,경상
어린이보호구역 내 어린이 사고,2020050100100226,2020년 5월 1일 13시,금요일,부산광역시 영도구 신선동2가,중상사고,0,1,0,0,차대사람 - 차도통행중,보행자보호의무위반,건조,맑음,단일로 - 기타,화물,남,46세,상해없음,보행자,남,4세,중상
어린이보호구역 내 어린이 사고,2020050100100307,2020년 5월 1일 15시,금요일,부산광역시 연제구 연산동,중상사고,0,1,0,0,차대사람 - 기타,기타,건조,맑음,단일로 - 기타,승용,남,56세,상해없음,보행자,여,4세,중상
어린이보호구역 내 어린이 사고,2020051400100325,2020년 5월 14일 15시,목요일,부산광역시 연제구 거제동,경상사고,0,0,1,0,차대사람 - 기타,기타,건조,맑음,단일로 - 기타,승용,남,38세,상해없음,보행자,남,4세,경상
어린이보호구역 내 어린이 사고,2020060100100381,2020년 6월 1일 15시,월요일,부산광역시 기장군 기장읍,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,교차로 - 교차로안,승용,여,37세,상해없음,보행자,남,8세,경상
어린이보호구역 내 어린이 사고,2020060300100317,2020년 6월 3일 15시,수요일,부산광역시 동래구 명장동,경상사고,0,0,1,0,차대사람 - 보도통행중,보행자보호의무위반,건조,맑음,교차로 - 교차로부근,승용,여,46세,상해없음,보행자,남,11세,경상
어린이보호구역 내 어린이 사고,2020060700100391,2020년 6월 7일 18시,일요일,부산광역시 북구 덕천동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,65세,상해없음,보행자,남,11세,경상
어린이보호구역 내 어린이 사고,2020060800100359,2020년 6월 8일 14시,월요일,부산광역시 연제구 거제동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,교차로 - 교차로부근,화물,남,52세,상해없음,보행자,여,5세,중상
어린이보호구역 내 어린이 사고,2020061100100209,2020년 6월 11일 11시,목요일,부산광역시 사상구 엄궁동,중상사고,0,1,1,0,차대사람 - 보도통행중,신호위반,건조,맑음,기타 - 기타,승용,여,46세,상해없음,보행자,여,8세,경상
어린이보호구역 내 어린이 사고,2020061100100277,2020년 6월 11일 13시,목요일,부산광역시 영도구 청학동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,단일로 - 기타,승용,남,70세,상해없음,보행자,남,7세,경상
어린이보호구역 내 어린이 사고,2020061500100324,2020년 6월 15일 14시,월요일,부산광역시 기장군 기장읍,경상사고,0,0,1,0,차대차 - 측면충돌,기타,건조,맑음,교차로 - 교차로안,승용,남,53세,상해없음,자전거,남,8세,경상
어린이보호구역 내 어린이 사고,2020061500100376,2020년 6월 15일 15시,월요일,부산광역시 해운대구 재송동,사망사고,1,2,1,0,차대차 - 측면충돌,중앙선침범,건조,맑음,단일로 - 기타,승용,남,71세,상해없음,승용,여,60세,경상
어린이보호구역 내 어린이 사고,2020061600100275,2020년 6월 16일 13시,화요일,부산광역시 남구 대연동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,57세,상해없음,보행자,남,10세,경상
어린이보호구역 내 어린이 사고,2020061700100498,2020년 6월 17일 19시,수요일,부산광역시 북구 화명동,경상사고,0,0,1,0,차대차 - 측면충돌,보행자보호의무위반,건조,맑음,단일로 - 지하차도(도로)내,이륜,남,18세,상해없음,자전거,남,8세,경상
어린이보호구역 내 어린이 사고,2020061900100368,2020년 6월 19일 15시,금요일,부산광역시 남구 문현동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,42세,상해없음,보행자,남,4세,중상
어린이보호구역 내 어린이 사고,2020062000100614,2020년 6월 20일 21시,토요일,부산광역시 금정구 남산동,경상사고,0,0,1,0,차대사람 - 기타,기타,건조,맑음,교차로 - 교차로안,승용,남,48세,상해없음,보행자,남,11세,경상
어린이보호구역 내 어린이 사고,2020062700100335,2020년 6월 27일 15시,토요일,부산광역시 남구 대연동,경상사고,0,0,1,0,차대사람 - 보도통행중,기타,건조,맑음,교차로 - 교차로부근,승용,남,50세,상해없음,보행자,남,8세,경상
어린이보호구역 내 어린이 사고,2020063000100313,2020년 6월 30일 15시,화요일,부산광역시 금정구 장전동,경상사고,0,0,1,0,차대사람 - 횡단중,신호위반,건조,맑음,교차로 - 교차로횡단보도내,승용,남,51세,상해없음,보행자,여,7세,경상
어린이보호구역 내 어린이 사고,2020070100100307,2020년 7월 1일 15시,수요일,부산광역시 금정구 장전동,부상신고사고,0,0,0,1,차대사람 - 기타,보행자보호의무위반,건조,맑음,교차로 - 교차로부근,승합,남,65세,상해없음,보행자,여,9세,부상신고
어린이보호구역 내 어린이 사고,2020070800100259,2020년 7월 8일 13시,수요일,부산광역시 서구 서대신동3가,경상사고,0,0,1,0,차대사람 - 기타,보행자보호의무위반,건조,맑음,단일로 - 기타,승용,여,47세,상해없음,보행자,남,11세,경상
