사고부문,사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
음주운전,2020010200100115,2020년 1월 2일 09시,목요일,부산광역시 동구 좌천동,경상사고,0,0,1,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 기타,이륜,남,28세,상해없음,승용,남,59세,경상
음주운전,2020010200100474,2020년 1월 2일 20시,목요일,부산광역시 기장군 정관읍,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,39세,상해없음,승용,남,29세,경상
음주운전,2.02001E+15,2020년 1월 5일 01시,일요일,부산광역시 기장군 기장읍,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,60세,상해없음,승용,남,64세,경상
음주운전,2020010500100391,2020년 1월 5일 21시,일요일,부산광역시 사상구 감전동,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 지하차도(도로)내,승용,남,45세,상해없음,승용,남,42세,중상
음주운전,2020010700100005,2020년 1월 7일 00시,화요일,부산광역시 남구 감만동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,젖음/습기,비,교차로 - 교차로안,승용,남,61세,상해없음,승용,남,52세,경상
음주운전,2020010700100008,2020년 1월 7일 00시,화요일,부산광역시 연제구 거제동,경상사고,0,0,2,0,차대차 - 측면충돌,안전거리미확보,젖음/습기,비,단일로 - 기타,승용,남,67세,상해없음,승용,남,61세,경상
음주운전,2020010700100062,2020년 1월 7일 06시,화요일,부산광역시 북구 덕천동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,젖음/습기,비,단일로 - 기타,승용,남,45세,상해없음,승용,남,67세,경상
음주운전,2020010700100652,2020년 1월 7일 21시,화요일,부산광역시 동래구 온천동,경상사고,0,0,2,0,차대차 - 측면충돌,안전운전불이행,젖음/습기,비,단일로 - 기타,승용,남,64세,상해없음,승용,남,41세,경상
음주운전,2020010700100653,2020년 1월 7일 21시,화요일,부산광역시 동래구 온천동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,젖음/습기,비,단일로 - 기타,승용,남,41세,상해없음,승용,남,38세,경상
음주운전,2020010800100035,2020년 1월 8일 02시,수요일,부산광역시 부산진구 부전동,경상사고,0,0,1,0,차대사람 - 횡단중,신호위반,건조,맑음,단일로 - 기타,승용,남,29세,상해없음,보행자,남,23세,경상
