사고부문,사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
자전거사고,2020010200100221,2020년 1월 2일 13시,목요일,부산광역시 해운대구 반여동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,자전거,남,78세,경상,승용,남,61세,상해없음
자전거사고,2020010300100208,2020년 1월 3일 12시,금요일,부산광역시 동래구 수안동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,자전거,남,81세,경상,화물,남,56세,상해없음
자전거사고,2020010400100124,2020년 1월 4일 09시,토요일,부산광역시 해운대구 우동,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,자전거,남,48세,중상,승합,남,47세,상해없음
자전거사고,2020011000100307,2020년 1월 10일 14시,금요일,부산광역시 영도구 남항동3가,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,자전거,여,49세,상해없음,보행자,여,65세,중상
자전거사고,2020011100100285,2020년 1월 11일 14시,토요일,부산광역시 사상구 모라동,부상신고사고,0,0,0,1,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,자전거,남,78세,부상신고,화물,남,56세,기타불명
자전거사고,2.02001E+15,2020년 1월 17일 17시,금요일,부산광역시 연제구 연산동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,자전거,여,58세,경상,승용,여,34세,상해없음
자전거사고,2020012800100092,2020년 1월 28일 08시,화요일,부산광역시 동래구 안락동,부상신고사고,0,0,0,1,차량단독 - 전도전복 - 전도,안전운전불이행,젖음/습기,흐림,단일로 - 기타,자전거,남,51세,부상신고,,,,
자전거사고,2020012900100089,2020년 1월 29일 08시,수요일,부산광역시 연제구 연산동,경상사고,0,0,1,0,차대차 - 측면충돌,중앙선침범,건조,맑음,단일로 - 기타,자전거,남,79세,경상,승용,남,35세,상해없음
자전거사고,2020013100100112,2020년 1월 31일 09시,금요일,부산광역시 금정구 부곡동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,자전거,여,64세,경상,승용,여,67세,상해없음
자전거사고,2020013100100232,2020년 1월 31일 13시,금요일,부산광역시 연제구 거제동,부상신고사고,0,0,0,1,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,자전거,남,11세,부상신고,화물,남,44세,상해없음
자전거사고,2020020100100141,2020년 2월 1일 11시,토요일,부산광역시 수영구 민락동,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,자전거,남,64세,중상,자전거,남,59세,상해없음
