사고부문,사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
택시사고,2020010200100162,2020년 1월 2일 11시,목요일,부산광역시 남구 용당동,경상사고,0,0,5,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 지하차도(도로)내,승용,남,66세,상해없음,승용,여,28세,경상
택시사고,2020010300100476,2020년 1월 3일 19시,금요일,부산광역시 북구 구포동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,70세,상해없음,승용,남,35세,경상
택시사고,2020010400100034,2020년 1월 4일 02시,토요일,부산광역시 북구 덕천동,중상사고,0,3,1,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,남,60세,상해없음,승용,남,35세,중상
택시사고,2020010400100048,2020년 1월 4일 03시,토요일,부산광역시 부산진구 가야동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,59세,상해없음,이륜,남,18세,경상
택시사고,2020010400100168,2020년 1월 4일 11시,토요일,부산광역시 서구 서대신동2가,경상사고,0,0,4,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,남,62세,경상,승용,남,66세,경상
택시사고,2020010500100019,2020년 1월 5일 01시,일요일,부산광역시 부산진구 개금동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,67세,상해없음,보행자,남,22세,경상
택시사고,2020010500100215,2020년 1월 5일 14시,일요일,부산광역시 기장군 기장읍,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,63세,상해없음,승용,남,35세,경상
택시사고,2020010500100286,2020년 1월 5일 17시,일요일,부산광역시 부산진구 당감동,중상사고,0,2,11,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,여,55세,기타불명,승용,남,69세,중상
택시사고,2020010500100317,2020년 1월 5일 18시,일요일,부산광역시 수영구 수영동,경상사고,0,0,3,0,차대차 - 측면충돌,차로위반,건조,맑음,단일로 - 기타,승용,남,59세,상해없음,이륜,남,21세,경상
택시사고,2020010600100025,2020년 1월 6일 05시,월요일,부산광역시 강서구 대저2동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,52세,상해없음,승용,여,34세,경상
택시사고,2020010600100122,2020년 1월 6일 09시,월요일,부산광역시 남구 대연동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,젖음/습기,비,교차로 - 교차로횡단보도내,승용,남,60세,상해없음,보행자,여,26세,중상
택시사고,2020010600100506,2020년 1월 6일 19시,월요일,부산광역시 사상구 모라동,중상사고,0,1,0,0,차대차 - 기타,기타,건조,맑음,단일로 - 기타,승용,남,62세,상해없음,이륜,남,25세,중상
택시사고,2020010600100632,2020년 1월 6일 22시,월요일,부산광역시 중구 보수동2가,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,젖음/습기,비,단일로 - 지하차도(도로)내,승용,남,73세,상해없음,이륜,남,37세,중상
택시사고,2020010600100633,2020년 1월 6일 22시,월요일,부산광역시 중구 남포동6가,중상사고,0,1,0,0,차대사람 - 차도통행중,안전운전불이행,젖음/습기,비,교차로 - 교차로안,승용,남,56세,상해없음,보행자,여,67세,중상
택시사고,2.02001E+15,2020년 1월 7일 08시,화요일,부산광역시 사하구 장림동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,젖음/습기,비,단일로 - 기타,승용,남,59세,상해없음,승용,남,36세,경상
택시사고,2.02001E+15,2020년 1월 7일 14시,화요일,부산광역시 수영구 망미동,중상사고,0,1,0,0,차대차 - 측면충돌,교차로운행방법위반,젖음/습기,맑음,교차로 - 교차로안,승용,남,60세,상해없음,이륜,남,48세,중상
택시사고,2020010700100336,2020년 1월 7일 15시,화요일,부산광역시 해운대구 반여동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,젖음/습기,흐림,단일로 - 기타,승용,남,70세,상해없음,승용,남,60세,경상
택시사고,2020010700100468,2020년 1월 7일 18시,화요일,부산광역시 서구 서대신동3가,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,젖음/습기,비,단일로 - 기타,승용,남,57세,상해없음,승용,남,29세,경상
택시사고,2020010700100738,2020년 1월 7일 23시,화요일,부산광역시 사상구 괘법동,중상사고,0,1,0,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,남,66세,상해없음,승용,남,60세,상해없음
택시사고,2020010800100166,2020년 1월 8일 09시,수요일,부산광역시 사하구 괴정동,경상사고,0,0,1,0,차대사람 - 기타,신호위반,건조,맑음,단일로 - 지하차도(도로)내,승용,남,67세,상해없음,보행자,여,35세,경상
택시사고,2.02001E+15,2020년 1월 8일 21시,수요일,부산광역시 금정구 금사동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,64세,상해없음,보행자,남,53세,경상
택시사고,2020010800100593,2020년 1월 8일 23시,수요일,부산광역시 사하구 다대동,경상사고,0,0,1,0,차대사람 - 기타,보행자보호의무위반,건조,맑음,교차로 - 교차로횡단보도내,승용,남,61세,상해없음,보행자,남,22세,경상
택시사고,2020010900100319,2020년 1월 9일 16시,목요일,부산광역시 수영구 망미동,중상사고,0,1,0,0,차대차 - 측면충돌,신호위반,건조,맑음,단일로 - 기타,승용,남,72세,상해없음,이륜,남,68세,중상
