사고부문,사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
횡단보도외횡단중사고,2020010100100261,2020년 1월 1일 18시,수요일,부산광역시 부산진구 개금동,경상사고,0,0,1,0,차대사람 - 횡단중,신호위반,건조,맑음,단일로 - 기타,승용,남,47세,상해없음,보행자,남,18세,경상
횡단보도외횡단중사고,2.02001E+15,2020년 1월 1일 19시,수요일,부산광역시 강서구 강동동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,55세,상해없음,보행자,남,68세,경상
횡단보도외횡단중사고,2020010200100317,2020년 1월 2일 16시,목요일,부산광역시 연제구 연산동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,여,58세,상해없음,보행자,여,54세,중상
횡단보도외횡단중사고,2020010300100553,2020년 1월 3일 21시,금요일,부산광역시 동래구 안락동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,여,39세,상해없음,보행자,여,45세,중상
횡단보도외횡단중사고,2020010300100555,2020년 1월 3일 21시,금요일,부산광역시 사상구 감전동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,60세,상해없음,보행자,남,60세,경상
횡단보도외횡단중사고,2020010400100466,2020년 1월 4일 21시,토요일,부산광역시 해운대구 중동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,기타,맑음,단일로 - 기타,이륜,남,42세,상해없음,보행자,여,70세,중상
횡단보도외횡단중사고,2020010400100516,2020년 1월 4일 23시,토요일,부산광역시 북구 화명동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,승합,남,55세,상해없음,보행자,여,52세,중상
횡단보도외횡단중사고,2020010500100316,2020년 1월 5일 18시,일요일,부산광역시 부산진구 전포동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,70세,상해없음,보행자,여,78세,중상
횡단보도외횡단중사고,2020010600100236,2020년 1월 6일 13시,월요일,부산광역시 부산진구 부전동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,젖음/습기,맑음,교차로 - 교차로안,승용,남,53세,상해없음,보행자,남,27세,중상
횡단보도외횡단중사고,2020010700100309,2020년 1월 7일 14시,화요일,부산광역시 금정구 서동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,젖음/습기,흐림,교차로 - 교차로안,화물,남,59세,상해없음,보행자,여,66세,중상
횡단보도외횡단중사고,2020010800100035,2020년 1월 8일 02시,수요일,부산광역시 부산진구 부전동,경상사고,0,0,1,0,차대사람 - 횡단중,신호위반,건조,맑음,단일로 - 기타,승용,남,29세,상해없음,보행자,남,23세,경상
횡단보도외횡단중사고,2020011100100025,2020년 1월 11일 01시,토요일,부산광역시 영도구 동삼동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,여,65세,상해없음,보행자,남,23세,경상
